0:00:00.066802: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27025.251953125
0:00:00.183461: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27026.0234375
0:00:00.274808: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27026.603515625
0:00:00.378826: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27027.259765625
0:00:00.483326: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27027.916015625
0:00:00.586715: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27028.572265625
0:00:00.690686: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27029.228515625
0:00:00.794748: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27029.884765625
0:00:00.886554: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27030.46484375
0:00:00.989983: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27031.12109375
0:00:01.093891: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27031.77734375
0:00:01.198188: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27032.43359375
0:00:01.289339: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27033.013671875
0:00:01.393200: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27033.669921875
0:00:01.497229: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27034.326171875
0:00:01.601419: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27034.982421875
0:00:01.705308: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27035.64453125
0:00:01.796992: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27036.21875
0:00:01.900998: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27036.875
0:00:02.004998: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27037.537109375
0:00:02.109028: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27038.193359375
0:00:02.213044: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27038.849609375
0:00:02.317090: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27039.505859375
0:00:02.408517: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27040.0859375
0:00:02.512767: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27040.7421875
0:00:02.616701: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27041.3984375
0:00:02.720724: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27042.0546875
0:00:02.824611: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27042.716796875
0:00:02.916020: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27043.291015625
0:00:03.020712: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27043.947265625
0:00:03.124607: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27044.609375
0:00:03.228147: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27045.265625
0:00:03.332123: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27045.921875
0:00:03.423554: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27046.49609375
0:00:03.527372: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27047.158203125
0:00:03.631350: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27047.814453125
