0:00:00.097934: {Acceleration: {Time: 42, Status: 0, Value: (-0.00390625,-0.00390625,-0.005859375)},Gyroscope: {Time: 1, Status: 3, Value: (0.05078125,-0.08203125,-0.15234375)},Magnetic: {Time: 5, Status: 2, Value: (-3.875,-25.0,-36.9375)},Gravity: {Time: 266467, Status: 3, Value: (0.421875,-0.03125,9.8515625)}, Rotation: {Time: 38, Status: 0, Value: (-0.0211181640625,0.00054931640625,-0.998291015625, 0.05474853515625)}}
0:00:00.203352: {Acceleration: {Time: 139, Status: 0, Value: (0.00390625,0.005859375,-0.001953125)},Gyroscope: {Time: 113, Status: 3, Value: (0.01171875,-0.07421875,-0.046875)},Magnetic: {Time: 127, Status: 2, Value: (-3.25,-26.0,-37.5)},Gravity: {Time: 110, Status: 3, Value: (0.421875,-0.0390625,9.859375)}, Rotation: {Time: 142, Status: 0, Value: (-0.02117919921875,0.00054931640625,-0.998291015625, 0.0548095703125)}}
0:00:00.280382: {Acceleration: {Time: 226, Status: 0, Value: (0.00390625,0.001953125,-0.00390625)},Gyroscope: {Time: 191, Status: 3, Value: (0.01953125,0.00390625,0.06640625)},Magnetic: {Time: 194, Status: 2, Value: (-5.1875,-27.3125,-38.4375)},Gravity: {Time: 187, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 228, Status: 0, Value: (-0.021240234375,0.0006103515625,-0.998291015625, 0.0548095703125)}}
0:00:00.380793: {Acceleration: {Time: 313, Status: 0, Value: (-0.0078125,-0.005859375,-0.001953125)},Gyroscope: {Time: 277, Status: 3, Value: (-0.01953125,0.00390625,0.03125)},Magnetic: {Time: 279, Status: 2, Value: (-3.125,-25.4375,-38.5)},Gravity: {Time: 274, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 315, Status: 0, Value: (-0.021240234375,0.0006103515625,-0.998291015625, 0.0548095703125)}}
0:00:00.471756: {Acceleration: {Time: 403, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 412, Status: 3, Value: (-0.01953125,0.0390625,-0.046875)},Magnetic: {Time: 348, Status: 2, Value: (-4.625,-26.4375,-37.8125)},Gravity: {Time: 409, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 406, Status: 0, Value: (-0.021240234375,0.00054931640625,-0.998291015625, 0.0548095703125)}}
0:00:00.564128: {Acceleration: {Time: 503, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 495, Status: 3, Value: (0.01953125,0.00390625,-0.015625)},Magnetic: {Time: 498, Status: 2, Value: (-3.375,-25.125,-38.25)},Gravity: {Time: 492, Status: 3, Value: (0.4140625,-0.0390625,9.8671875)}, Rotation: {Time: 505, Status: 0, Value: (-0.02130126953125,0.00054931640625,-0.998291015625, 0.0548095703125)}}
0:00:00.649076: {Acceleration: {Time: 590, Status: 0, Value: (-0.00390625,-0.00390625,-0.00390625)},Gyroscope: {Time: 580, Status: 3, Value: (-0.01953125,0.03125,-0.046875)},Magnetic: {Time: 583, Status: 2, Value: (-4.25,-27.625,-36.375)},Gravity: {Time: 566, Status: 3, Value: (0.4140625,-0.03125,9.859375)}, Rotation: {Time: 592, Status: 0, Value: (-0.02130126953125,0.00048828125,-0.998291015625, 0.0548095703125)}}
0:00:00.770599: {Acceleration: {Time: 707, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 700, Status: 3, Value: (-0.05859375,0.03125,0.05859375)},Magnetic: {Time: 703, Status: 2, Value: (-2.625,-24.9375,-37.5625)},Gravity: {Time: 697, Status: 3, Value: (0.4140625,-0.03125,9.8671875)}, Rotation: {Time: 709, Status: 0, Value: (-0.021240234375,0.0003662109375,-0.998291015625, 0.05474853515625)}}
0:00:00.857598: {Acceleration: {Time: 793, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 767, Status: 3, Value: (0.01953125,-0.04296875,-0.015625)},Magnetic: {Time: 781, Status: 2, Value: (-4.25,-27.5,-37.4375)},Gravity: {Time: 765, Status: 3, Value: (0.4140625,-0.03125,9.8671875)}, Rotation: {Time: 795, Status: 0, Value: (-0.02130126953125,0.00042724609375,-0.998291015625, 0.05474853515625)}}
0:00:00.938819: {Acceleration: {Time: 881, Status: 0, Value: (-0.005859375,-0.00390625,0.0)},Gyroscope: {Time: 843, Status: 3, Value: (-0.05859375,0.0390625,0.0234375)},Magnetic: {Time: 846, Status: 2, Value: (-3.5,-24.875,-37.25)},Gravity: {Time: 840, Status: 3, Value: (0.4140625,-0.0390625,9.8671875)}, Rotation: {Time: 877, Status: 0, Value: (-0.021240234375,0.00042724609375,-0.998291015625, 0.0548095703125)}}
0:00:01.091324: {Acceleration: {Time: 1033, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 1008, Status: 3, Value: (0.01953125,-0.04296875,-0.046875)},Magnetic: {Time: 1022, Status: 2, Value: (-3.375,-25.125,-38.5625)},Gravity: {Time: 1006, Status: 3, Value: (0.4140625,-0.03125,9.859375)}, Rotation: {Time: 1035, Status: 0, Value: (-0.02130126953125,0.00048828125,-0.998291015625, 0.0548095703125)}}
