0:00:00.085569: {Acceleration: {Time: 65, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 30, Status: 3, Value: (-0.01171875,-0.046875,-0.03515625)},Magnetic: {Time: 32, Status: 1, Value: (-30.25,29.1875,-16.6875)},Gravity: {Time: 28, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 60, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:00.177352: {Acceleration: {Time: 155, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 120, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 123, Status: 1, Value: (-30.8125,28.8125,-17.75)},Gravity: {Time: 106, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 148, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
0:00:00.289845: {Acceleration: {Time: 267, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 228, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 231, Status: 1, Value: (-31.5,28.3125,-15.4375)},Gravity: {Time: 214, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 270, Status: 0, Value: (-0.01556396484375,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
0:00:00.377149: {Acceleration: {Time: 348, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 357, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 293, Status: 1, Value: (-31.0625,28.875,-16.25)},Gravity: {Time: 355, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 350, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:00.474248: {Acceleration: {Time: 445, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 454, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 390, Status: 1, Value: (-30.6875,29.5,-16.1875)},Gravity: {Time: 451, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 448, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:00.576513: {Acceleration: {Time: 554, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 547, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 550, Status: 1, Value: (-31.8125,28.625,-16.5625)},Gravity: {Time: 543, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 557, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:00.692081: {Acceleration: {Time: 672, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 632, Status: 3, Value: (-0.01171875,-0.0546875,0.04296875)},Magnetic: {Time: 635, Status: 1, Value: (-29.875,28.5,-15.9375)},Gravity: {Time: 618, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 669, Status: 0, Value: (-0.01556396484375,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
0:00:00.778400: {Acceleration: {Time: 759, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 718, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 721, Status: 1, Value: (-30.5625,28.5,-16.6875)},Gravity: {Time: 704, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 753, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
0:00:00.875825: {Acceleration: {Time: 847, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 856, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 792, Status: 1, Value: (-30.375,29.8125,-16.25)},Gravity: {Time: 853, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 850, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39697265625, 0.917724609375)}}
0:00:00.997290: {Acceleration: {Time: 978, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 939, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 942, Status: 1, Value: (-30.6875,28.875,-15.875)},Gravity: {Time: 936, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 972, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39697265625, 0.917724609375)}}
0:00:01.095614: {Acceleration: {Time: 1067, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1076, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1010, Status: 1, Value: (-31.125,29.5,-16.1875)},Gravity: {Time: 1073, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1070, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39697265625, 0.917724609375)}}
