0:00:00.085462: {Acceleration: {Time: 39, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 33, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 36, Status: 1, Value: (-28.3125,27.5,-15.1875)},Gravity: {Time: 29, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 43, Status: 0, Value: (-0.01568603515625,-0.00323486328125,-0.3751220703125, 0.92681884765625)}}
0:00:00.192381: {Acceleration: {Time: 147, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 141, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 144, Status: 1, Value: (-29.0625,28.4375,-15.8125)},Gravity: {Time: 137, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 150, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.375244140625, 0.9267578125)}}
0:00:00.304958: {Acceleration: {Time: 259, Status: 0, Value: (0.001953125,0.001953125,0.00390625)},Gyroscope: {Time: 252, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 256, Status: 1, Value: (-27.4375,29.25,-16.75)},Gravity: {Time: 249, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 262, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.375244140625, 0.9267578125)}}
0:00:00.392312: {Acceleration: {Time: 347, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 336, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 340, Status: 1, Value: (-27.75,26.75,-15.6875)},Gravity: {Time: 322, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 350, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.375244140625, 0.92681884765625)}}
0:00:00.505950: {Acceleration: {Time: 458, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 426, Status: 3, Value: (0.01953125,-0.01171875,-0.00390625)},Magnetic: {Time: 428, Status: 1, Value: (-28.4375,28.125,-14.375)},Gravity: {Time: 463, Status: 3, Value: (0.171875,-0.265625,9.65625)}, Rotation: {Time: 460, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38421630859375, 0.923095703125)}}
0:00:00.604499: {Acceleration: {Time: 553, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 562, Status: 3, Value: (0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 499, Status: 1, Value: (-29.3125,28.0625,-16.9375)},Gravity: {Time: 559, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 555, Status: 0, Value: (-0.01611328125,-0.0029296875,-0.38458251953125, 0.92291259765625)}}
0:00:00.704796: {Acceleration: {Time: 654, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 663, Status: 3, Value: (-0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 622, Status: 1, Value: (-28.1875,27.6875,-16.375)},Gravity: {Time: 659, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 656, Status: 0, Value: (-0.01611328125,-0.0029296875,-0.38458251953125, 0.92291259765625)}}
0:00:00.792046: {Acceleration: {Time: 750, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 714, Status: 3, Value: (0.01953125,-0.00390625,-0.04296875)},Magnetic: {Time: 717, Status: 1, Value: (-28.5625,28.6875,-16.625)},Gravity: {Time: 710, Status: 3, Value: (0.171875,-0.265625,9.65625)}, Rotation: {Time: 747, Status: 0, Value: (-0.01611328125,-0.00286865234375,-0.386962890625, 0.92193603515625)}}
0:00:00.905558: {Acceleration: {Time: 864, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 829, Status: 3, Value: (0.01953125,-0.00390625,-0.02734375)},Magnetic: {Time: 831, Status: 1, Value: (-27.4375,28.0,-16.0625)},Gravity: {Time: 826, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 858, Status: 0, Value: (-0.01611328125,-0.00286865234375,-0.386962890625, 0.92193603515625)}}
0:00:00.998294: {Acceleration: {Time: 947, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 956, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 922, Status: 1, Value: (-27.625,28.875,-18.25)},Gravity: {Time: 954, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 950, Status: 0, Value: (-0.01617431640625,-0.00286865234375,-0.38653564453125, 0.922119140625)}}
0:00:01.119591: {Acceleration: {Time: 1075, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1013, Status: 3, Value: (0.01171875,-0.01171875,0.04296875)},Magnetic: {Time: 1016, Status: 1, Value: (-28.1875,28.0,-16.6875)},Gravity: {Time: 1078, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 1071, Status: 0, Value: (-0.01593017578125,-0.00341796875,-0.38580322265625, 0.92242431640625)}}
