0:00:00.071773: {Acceleration: {Time: 37, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 44, Status: 3, Value: (-0.02734375,-0.01171875,-0.03515625)},Magnetic: {Time: 482527, Status: 1, Value: (-27.4375,27.0625,-15.375)},Gravity: {Time: 41, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 39, Status: 0, Value: (-0.015869140625,-0.00341796875,-0.38519287109375, 0.92266845703125)}}
0:00:00.164244: {Acceleration: {Time: 134, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 126, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 128, Status: 1, Value: (-28.6875,28.75,-15.875)},Gravity: {Time: 123, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 136, Status: 0, Value: (-0.015869140625,-0.00341796875,-0.38519287109375, 0.92266845703125)}}
0:00:00.271956: {Acceleration: {Time: 244, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 206, Status: 3, Value: (0.01953125,0.06640625,0.05078125)},Magnetic: {Time: 209, Status: 1, Value: (-27.0,27.9375,-16.125)},Gravity: {Time: 202, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 240, Status: 0, Value: (-0.015869140625,-0.00341796875,-0.3851318359375, 0.9227294921875)}}
0:00:00.371379: {Acceleration: {Time: 334, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 343, Status: 3, Value: (-0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 303, Status: 1, Value: (-28.625,29.0625,-16.25)},Gravity: {Time: 340, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 337, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.38519287109375, 0.9227294921875)}}
0:00:00.463010: {Acceleration: {Time: 433, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 425, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 429, Status: 1, Value: (-30.4375,29.25,-15.25)},Gravity: {Time: 422, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 435, Status: 0, Value: (-0.015869140625,-0.00347900390625,-0.3851318359375, 0.9227294921875)}}
0:00:00.575475: {Acceleration: {Time: 546, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 538, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 540, Status: 1, Value: (-29.375,28.125,-16.5625)},Gravity: {Time: 535, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 548, Status: 0, Value: (-0.01568603515625,-0.00347900390625,-0.3851318359375, 0.9227294921875)}}
0:00:00.692035: {Acceleration: {Time: 661, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 621, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 624, Status: 1, Value: (-28.4375,28.125,-14.75)},Gravity: {Time: 607, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 665, Status: 0, Value: (-0.015625,-0.00347900390625,-0.38507080078125, 0.9227294921875)}}
0:00:00.776432: {Acceleration: {Time: 747, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 712, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 715, Status: 1, Value: (-27.5625,28.375,-15.25)},Gravity: {Time: 708, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 749, Status: 0, Value: (-0.01568603515625,-0.00347900390625,-0.3851318359375, 0.9227294921875)}}
0:00:00.885473: {Acceleration: {Time: 858, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 820, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 823, Status: 1, Value: (-28.25,28.0625,-15.9375)},Gravity: {Time: 806, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 855, Status: 0, Value: (-0.0157470703125,-0.00347900390625,-0.3851318359375, 0.9227294921875)}}
0:00:00.981939: {Acceleration: {Time: 951, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 915, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 891, Status: 1, Value: (-27.4375,27.4375,-15.3125)},Gravity: {Time: 912, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 955, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.38177490234375, 0.92413330078125)}}
0:00:01.089231: {Acceleration: {Time: 1062, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1026, Status: 3, Value: (0.02734375,0.01953125,0.04296875)},Magnetic: {Time: 1029, Status: 1, Value: (-28.125,27.0625,-16.375)},Gravity: {Time: 1022, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1059, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38177490234375, 0.92413330078125)}}
0:00:01.196195: {Acceleration: {Time: 1161, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1169, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 1108, Status: 1, Value: (-28.3125,28.75,-15.875)},Gravity: {Time: 1167, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1164, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38177490234375, 0.92413330078125)}}
0:00:01.284376: {Acceleration: {Time: 1255, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1247, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1250, Status: 1, Value: (-28.5,28.8125,-14.6875)},Gravity: {Time: 1244, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1257, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38177490234375, 0.92413330078125)}}
0:00:01.399800: {Acceleration: {Time: 1371, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1345, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 1359, Status: 1, Value: (-28.1875,27.0625,-16.0625)},Gravity: {Time: 1341, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1373, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38177490234375, 0.92413330078125)}}
0:00:01.486113: {Acceleration: {Time: 1457, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1430, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1444, Status: 1, Value: (-28.6875,28.75,-15.875)},Gravity: {Time: 1428, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1459, Status: 0, Value: (-0.01556396484375,-0.003662109375,-0.38177490234375, 0.92413330078125)}}
0:00:01.596510: {Acceleration: {Time: 1562, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1570, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1510, Status: 1, Value: (-27.6875,29.125,-14.8125)},Gravity: {Time: 1568, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1565, Status: 0, Value: (-0.01556396484375,-0.003662109375,-0.38177490234375, 0.92413330078125)}}
0:00:01.682925: {Acceleration: {Time: 1656, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1619, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1621, Status: 1, Value: (-28.1875,27.4375,-15.9375)},Gravity: {Time: 1616, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1652, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.37591552734375, 0.926513671875)}}
0:00:01.796522: {Acceleration: {Time: 1762, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1770, Status: 3, Value: (0.05859375,-0.0546875,0.01953125)},Magnetic: {Time: 1704, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 1768, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 1764, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.37591552734375, 0.926513671875)}}
