0:00:00.037930: {Acceleration: {Time: 15, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 11010, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 11012, Status: 1, Value: (-30.0625,28.625,-14.375)},Gravity: {Time: 11006, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 11, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:00.123454: {Acceleration: {Time: 101, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 60, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 63, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 46, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 98, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:00.239337: {Acceleration: {Time: 217, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 205, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 208, Status: 1, Value: (-28.6875,28.75,-15.625)},Gravity: {Time: 202, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 211, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.3836669921875, 0.92333984375)}}
0:00:00.337210: {Acceleration: {Time: 306, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 315, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 250, Status: 1, Value: (-28.3125,29.0625,-15.6875)},Gravity: {Time: 311, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 308, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3836669921875, 0.92333984375)}}
0:00:00.430794: {Acceleration: {Time: 406, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 399, Status: 3, Value: (0.02734375,-0.02734375,0.00390625)},Magnetic: {Time: 401, Status: 1, Value: (-28.6875,27.75,-15.375)},Gravity: {Time: 395, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 409, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3836669921875, 0.92333984375)}}
0:00:00.539149: {Acceleration: {Time: 517, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 467, Status: 3, Value: (0.02734375,-0.02734375,0.00390625)},Magnetic: {Time: 481, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 464, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 513, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3836669921875, 0.92333984375)}}
0:00:00.636842: {Acceleration: {Time: 606, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 615, Status: 3, Value: (0.02734375,-0.02734375,0.00390625)},Magnetic: {Time: 549, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 611, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 608, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:00.728638: {Acceleration: {Time: 704, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 697, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 700, Status: 1, Value: (-29.5,27.8125,-15.25)},Gravity: {Time: 693, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 707, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38360595703125, 0.92333984375)}}
0:00:00.839640: {Acceleration: {Time: 815, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 809, Status: 3, Value: (-0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 811, Status: 1, Value: (-29.6875,28.5625,-14.4375)},Gravity: {Time: 805, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 818, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:00.951647: {Acceleration: {Time: 930, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 874, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 888, Status: 1, Value: (-29.4375,27.5,-15.625)},Gravity: {Time: 871, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 927, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:01.049472: {Acceleration: {Time: 1028, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 988, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 991, Status: 1, Value: (-28.75,29.125,-15.25)},Gravity: {Time: 985, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1023, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38372802734375, 0.92333984375)}}
