0:00:00.084182: {Acceleration: {Time: 41, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 15, Status: 3, Value: (-0.01953125,-0.1796875,-0.0625)},Magnetic: {Time: 30, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 13, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 43, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.39581298828125, 0.918212890625)}}
0:00:00.193188: {Acceleration: {Time: 150, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 124, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 138, Status: 1, Value: (-28.5625,28.0625,-16.125)},Gravity: {Time: 122, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 152, Status: 0, Value: (-0.01513671875,-0.00274658203125,-0.39581298828125, 0.918212890625)}}
0:00:00.280494: {Acceleration: {Time: 239, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 200, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 203, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 196, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 234, Status: 0, Value: (-0.01513671875,-0.002685546875,-0.39581298828125, 0.918212890625)}}
0:00:00.406950: {Acceleration: {Time: 364, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 338, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 352, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 334, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 366, Status: 0, Value: (-0.01513671875,-0.002685546875,-0.39581298828125, 0.918212890625)}}
0:00:00.492572: {Acceleration: {Time: 450, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 424, Status: 3, Value: (0.05859375,-0.02734375,-0.02734375)},Magnetic: {Time: 438, Status: 1, Value: (-30.0,27.9375,-14.4375)},Gravity: {Time: 421, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 452, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.39581298828125, 0.918212890625)}}
0:00:00.601092: {Acceleration: {Time: 555, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 524, Status: 3, Value: (0.09765625,-0.0546875,0.01953125)},Magnetic: {Time: 527, Status: 1, Value: (-29.0625,28.4375,-16.0)},Gravity: {Time: 561, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 557, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.39581298828125, 0.918212890625)}}
0:00:00.698339: {Acceleration: {Time: 658, Status: 0, Value: (0.0,0.00390625,0.001953125)},Gyroscope: {Time: 621, Status: 3, Value: (0.01171875,0.09765625,-0.01953125)},Magnetic: {Time: 623, Status: 1, Value: (-29.1875,28.8125,-15.1875)},Gravity: {Time: 617, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 654, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39581298828125, 0.918212890625)}}
0:00:00.811388: {Acceleration: {Time: 762, Status: 0, Value: (-0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 771, Status: 3, Value: (0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 713, Status: 1, Value: (-30.625,28.5625,-15.875)},Gravity: {Time: 769, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 765, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.39581298828125, 0.918212890625)}}
0:00:00.909714: {Acceleration: {Time: 866, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 829, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 804, Status: 1, Value: (-29.6875,29.5625,-15.0625)},Gravity: {Time: 826, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 870, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.39581298828125, 0.918212890625)}}
0:00:00.986697: {Acceleration: {Time: 944, Status: 0, Value: (0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 892, Status: 3, Value: (0.05078125,0.01953125,0.01171875)},Magnetic: {Time: 894, Status: 1, Value: (-29.75,28.625,-14.0)},Gravity: {Time: 889, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 938, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.395751953125, 0.918212890625)}}
0:00:01.100666: {Acceleration: {Time: 1053, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 1061, Status: 3, Value: (-0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 1023, Status: 1, Value: (-29.125,27.8125,-14.875)},Gravity: {Time: 1058, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1055, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.395751953125, 0.918212890625)}}
0:00:01.199131: {Acceleration: {Time: 1156, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 1127, Status: 3, Value: (-0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1130, Status: 1, Value: (-29.0,28.125,-16.0)},Gravity: {Time: 1124, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1159, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.395751953125, 0.918212890625)}}
0:00:01.307331: {Acceleration: {Time: 1265, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1245, Status: 3, Value: (-0.01953125,-0.02734375,-0.01953125)},Magnetic: {Time: 1259, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 1243, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1239, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.395751953125, 0.918212890625)}}
0:00:01.391984: {Acceleration: {Time: 1350, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1342, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 1346, Status: 1, Value: (-29.125,29.125,-15.5625)},Gravity: {Time: 1339, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1352, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.395751953125, 0.918212890625)}}
0:00:01.501245: {Acceleration: {Time: 1462, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1411, Status: 3, Value: (0.01953125,-0.02734375,-0.01953125)},Magnetic: {Time: 1425, Status: 1, Value: (-28.875,28.1875,-14.125)},Gravity: {Time: 1407, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1458, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39569091796875, 0.91827392578125)}}
0:00:01.610530: {Acceleration: {Time: 1571, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1532, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1535, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 1528, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1567, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
