0:00:00.127584: {Acceleration: {Time: 98, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 72, Status: 3, Value: (-0.02734375,0.01171875,-0.05859375)},Magnetic: {Time: 86, Status: 1, Value: (-29.0625,27.8125,-15.3125)},Gravity: {Time: 68, Status: 3, Value: (0.1796875,-0.2421875,9.671875)}, Rotation: {Time: 100, Status: 0, Value: (-0.01519775390625,-0.0030517578125,-0.38909912109375, 0.92108154296875)}}
0:00:00.213922: {Acceleration: {Time: 183, Status: 0, Value: (0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 157, Status: 3, Value: (-0.01953125,-0.02734375,-0.04296875)},Magnetic: {Time: 171, Status: 1, Value: (-29.75,29.625,-14.375)},Gravity: {Time: 155, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 186, Status: 0, Value: (-0.01513671875,-0.0030517578125,-0.3890380859375, 0.92108154296875)}}
0:00:00.324597: {Acceleration: {Time: 286, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 293, Status: 3, Value: (-0.05859375,-0.02734375,-0.00390625)},Magnetic: {Time: 295, Status: 1, Value: (-30.25,29.0,-13.5625)},Gravity: {Time: 290, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 298, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38909912109375, 0.92108154296875)}}
0:00:00.411242: {Acceleration: {Time: 382, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 372, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 375, Status: 1, Value: (-30.125,29.625,-14.6875)},Gravity: {Time: 358, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 384, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38909912109375, 0.92108154296875)}}
0:00:00.523251: {Acceleration: {Time: 496, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 440, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 455, Status: 1, Value: (-29.1875,27.5625,-14.5625)},Gravity: {Time: 438, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 492, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38909912109375, 0.92108154296875)}}
0:00:00.619117: {Acceleration: {Time: 583, Status: 0, Value: (-0.00390625,0.001953125,-0.009765625)},Gyroscope: {Time: 592, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 530, Status: 1, Value: (-29.3125,28.0625,-16.75)},Gravity: {Time: 589, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 586, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:00.712127: {Acceleration: {Time: 683, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 648, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 652, Status: 1, Value: (-29.1875,28.8125,-15.25)},Gravity: {Time: 634, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 677, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:00.826164: {Acceleration: {Time: 797, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 758, Status: 3, Value: (0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 761, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 744, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 799, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:00.915642: {Acceleration: {Time: 887, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 848, Status: 3, Value: (0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 850, Status: 1, Value: (-29.4375,26.875,-15.3125)},Gravity: {Time: 889, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 882, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:01.023964: {Acceleration: {Time: 995, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 988, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 990, Status: 1, Value: (-29.875,27.5625,-15.5625)},Gravity: {Time: 984, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 998, Status: 0, Value: (-0.0152587890625,-0.00299072265625,-0.38922119140625, 0.9210205078125)}}
0:00:01.139993: {Acceleration: {Time: 1107, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1055, Status: 3, Value: (-0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 1069, Status: 1, Value: (-28.0,27.75,-14.625)},Gravity: {Time: 1114, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1109, Status: 0, Value: (-0.0152587890625,-0.00299072265625,-0.3892822265625, 0.9210205078125)}}
