0:00:00.054952: {Acceleration: {Time: 17, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 88890, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 88894, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 88887, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 12, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.3841552734375, 0.92315673828125)}}
0:00:00.144220: {Acceleration: {Time: 104, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 98, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 100, Status: 1, Value: (-29.8125,28.125,-16.3125)},Gravity: {Time: 95, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 106, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.3841552734375, 0.92315673828125)}}
0:00:00.233779: {Acceleration: {Time: 192, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 166, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 180, Status: 1, Value: (-30.3125,28.875,-15.875)},Gravity: {Time: 163, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 196, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.3841552734375, 0.92315673828125)}}
0:00:00.344773: {Acceleration: {Time: 296, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 301, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 304, Status: 1, Value: (-29.6875,28.625,-14.0625)},Gravity: {Time: 299, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 307, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3841552734375, 0.92315673828125)}}
0:00:00.460763: {Acceleration: {Time: 421, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 414, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 417, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 411, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 423, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3841552734375, 0.92315673828125)}}
0:00:00.548366: {Acceleration: {Time: 508, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 481, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 495, Status: 1, Value: (-29.4375,28.5,-16.0)},Gravity: {Time: 479, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 511, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3841552734375, 0.92315673828125)}}
0:00:00.660201: {Acceleration: {Time: 620, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 614, Status: 3, Value: (-0.05078125,0.02734375,0.01171875)},Magnetic: {Time: 617, Status: 1, Value: (-29.0,28.125,-16.0625)},Gravity: {Time: 610, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 623, Status: 0, Value: (-0.015625,-0.00262451171875,-0.39093017578125, 0.9202880859375)}}
0:00:00.742460: {Acceleration: {Time: 699, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 680, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 694, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 678, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 702, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:00.858435: {Acceleration: {Time: 813, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 821, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 755, Status: 1, Value: (-28.4375,29.125,-14.875)},Gravity: {Time: 819, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 815, Status: 0, Value: (-0.01507568359375,-0.00238037109375,-0.39093017578125, 0.9202880859375)}}
0:00:00.956843: {Acceleration: {Time: 909, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 920, Status: 3, Value: (0.03515625,0.01953125,0.01171875)},Magnetic: {Time: 855, Status: 1, Value: (-29.0625,28.8125,-16.0)},Gravity: {Time: 917, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 912, Status: 0, Value: (-0.01507568359375,-0.00238037109375,-0.39093017578125, 0.9202880859375)}}
0:00:01.056338: {Acceleration: {Time: 1011, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1019, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 953, Status: 1, Value: (-31.25,29.6875,-14.875)},Gravity: {Time: 1016, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1013, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.147022: {Acceleration: {Time: 1108, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1100, Status: 3, Value: (-0.01953125,-0.03515625,-0.02734375)},Magnetic: {Time: 1103, Status: 1, Value: (-30.8125,30.5625,-15.6875)},Gravity: {Time: 1097, Status: 3, Value: (0.171875,-0.234375,9.640625)}, Rotation: {Time: 1110, Status: 0, Value: (-0.0146484375,-0.00347900390625,-0.39093017578125, 0.9202880859375)}}
0:00:01.255271: {Acceleration: {Time: 1218, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1168, Status: 3, Value: (-0.01953125,-0.02734375,-0.01953125)},Magnetic: {Time: 1182, Status: 1, Value: (-29.625,28.875,-15.125)},Gravity: {Time: 1165, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1214, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39093017578125, 0.9202880859375)}}
0:00:01.355061: {Acceleration: {Time: 1309, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1318, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1278, Status: 1, Value: (-29.0,27.75,-16.0625)},Gravity: {Time: 1315, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1311, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.455771: {Acceleration: {Time: 1410, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1419, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1382, Status: 1, Value: (-29.5,29.125,-15.9375)},Gravity: {Time: 1416, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1412, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.546602: {Acceleration: {Time: 1507, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1500, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1503, Status: 1, Value: (-29.875,28.5,-15.9375)},Gravity: {Time: 1496, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1510, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
