0:00:00.108018: {Acceleration: {Time: 64, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 57, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 60, Status: 1, Value: (-28.75,29.75,-16.0)},Gravity: {Time: 53, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 67, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.217352: {Acceleration: {Time: 176, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 137, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 139, Status: 1, Value: (-30.0625,28.9375,-14.6875)},Gravity: {Time: 133, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 171, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.315505: {Acceleration: {Time: 265, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 274, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 209, Status: 1, Value: (-29.5625,29.8125,-15.875)},Gravity: {Time: 271, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 268, Status: 0, Value: (-0.0150146484375,-0.0029296875,-0.3907470703125, 0.92034912109375)}}
0:00:00.415198: {Acceleration: {Time: 365, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 374, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 338, Status: 1, Value: (-28.8125,29.75,-15.1875)},Gravity: {Time: 371, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 368, Status: 0, Value: (-0.0150146484375,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.504812: {Acceleration: {Time: 464, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 449, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 452, Status: 1, Value: (-28.3125,28.125,-14.9375)},Gravity: {Time: 435, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 460, Status: 0, Value: (-0.0150146484375,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.622357: {Acceleration: {Time: 571, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 577, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 579, Status: 1, Value: (-30.8125,29.625,-15.375)},Gravity: {Time: 575, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 582, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.706924: {Acceleration: {Time: 664, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 657, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 660, Status: 1, Value: (-30.6875,28.75,-12.8125)},Gravity: {Time: 654, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 666, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.822910: {Acceleration: {Time: 782, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 742, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 745, Status: 1, Value: (-28.0,29.0625,-15.375)},Gravity: {Time: 728, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 779, Status: 0, Value: (-0.0150146484375,-0.00299072265625,-0.3907470703125, 0.92034912109375)}}
0:00:00.907602: {Acceleration: {Time: 867, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 833, Status: 3, Value: (-0.01171875,-0.02734375,-0.03515625)},Magnetic: {Time: 836, Status: 1, Value: (-29.0625,27.8125,-15.3125)},Gravity: {Time: 831, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 863, Status: 0, Value: (-0.0150146484375,-0.0029296875,-0.3907470703125, 0.92034912109375)}}
0:00:01.033697: {Acceleration: {Time: 991, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 965, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 979, Status: 1, Value: (-29.25,29.1875,-14.875)},Gravity: {Time: 962, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 993, Status: 0, Value: (-0.0150146484375,-0.0029296875,-0.39080810546875, 0.92034912109375)}}
0:00:01.121340: {Acceleration: {Time: 1079, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1022, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1037, Status: 1, Value: (-28.6875,27.75,-15.375)},Gravity: {Time: 1020, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1081, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.39080810546875, 0.92034912109375)}}
