0:00:00.106880: Frequency: 0.0, Amplitude: 82.99991607666016, Offset: 127.99982452392578, Phase Shift: 1.961817850054744e-44, Phase: 127886.390625
0:00:00.216362: Frequency: 0.0, Amplitude: 74.31452941894531, Offset: 125.97058868408203, Phase Shift: 1.961817850054744e-44, Phase: 127887.078125
0:00:00.314420: Frequency: 0.0, Amplitude: 67.2623062133789, Offset: 124.236083984375, Phase Shift: 1.8216880036222622e-44, Phase: 127887.703125
0:00:00.414106: Frequency: 0.0, Amplitude: 60.75222396850586, Offset: 122.55193328857422, Phase Shift: 1.6815581571897805e-44, Phase: 127888.3359375
0:00:00.503673: Frequency: 0.0, Amplitude: 55.44673538208008, Offset: 121.10893249511719, Phase Shift: 1.6815581571897805e-44, Phase: 127888.8984375
0:00:00.621237: Frequency: 0.0, Amplitude: 49.18208694458008, Offset: 119.31288146972656, Phase Shift: 1.5414283107572988e-44, Phase: 127889.640625
0:00:00.705820: Frequency: 0.0, Amplitude: 45.165245056152344, Offset: 118.098876953125, Phase Shift: 1.5414283107572988e-44, Phase: 127890.1640625
0:00:00.821827: Frequency: 0.0, Amplitude: 40.149261474609375, Offset: 116.50419616699219, Phase Shift: 1.5414283107572988e-44, Phase: 127890.8984375
0:00:00.906380: Frequency: 0.0, Amplitude: 36.83210372924805, Offset: 115.39361572265625, Phase Shift: 1.5414283107572988e-44, Phase: 127891.4375
0:00:01.032703: Frequency: 0.0, Amplitude: 32.40386962890625, Offset: 113.83084106445312, Phase Shift: 1.5414283107572988e-44, Phase: 127892.234375
0:00:01.120356: Frequency: 0.0, Amplitude: 29.635147094726562, Offset: 112.7975845336914, Phase Shift: 1.5414283107572988e-44, Phase: 127892.78125
0:00:01.235364: Frequency: 0.0, Amplitude: 26.37107276916504, Offset: 111.5146713256836, Phase Shift: 1.5414283107572988e-44, Phase: 127893.515625
0:00:01.317048: Frequency: 0.0, Amplitude: 24.266691207885742, Offset: 110.64445495605469, Phase Shift: 1.5414283107572988e-44, Phase: 127894.03125
0:00:01.425309: Frequency: 0.0, Amplitude: 21.749834060668945, Offset: 109.55196380615234, Phase Shift: 1.5414283107572988e-44, Phase: 127894.7109375
0:00:01.526031: Frequency: 0.0, Amplitude: 19.624849319458008, Offset: 108.580810546875, Phase Shift: 1.5414283107572988e-44, Phase: 127895.34375
0:00:01.616872: Frequency: 0.0, Amplitude: 17.890907287597656, Offset: 107.74773406982422, Phase Shift: 1.5414283107572988e-44, Phase: 127895.9140625
0:00:01.726099: Frequency: 0.0, Amplitude: 16.018844604492188, Offset: 106.80001831054688, Phase Shift: 1.5414283107572988e-44, Phase: 127896.6015625
0:00:01.824220: Frequency: 0.0, Amplitude: 14.483789443969727, Offset: 105.9818115234375, Phase Shift: 1.5414283107572988e-44, Phase: 127897.2265625
0:00:01.924825: Frequency: 0.0, Amplitude: 13.082165718078613, Offset: 105.19568634033203, Phase Shift: 1.5414283107572988e-44, Phase: 127897.859375
0:00:02.016830: Frequency: 0.0, Amplitude: 11.913861274719238, Offset: 104.50697326660156, Phase Shift: 1.5414283107572988e-44, Phase: 127898.4375
0:00:02.126619: Frequency: 0.0, Amplitude: 10.656292915344238, Offset: 103.72535705566406, Phase Shift: 1.5414283107572988e-44, Phase: 127899.125
0:00:02.235857: Frequency: 0.0, Amplitude: 9.531427383422852, Offset: 102.98584747314453, Phase Shift: 1.5414283107572988e-44, Phase: 127899.8125
0:00:02.335606: Frequency: 0.0, Amplitude: 8.609293937683105, Offset: 102.34717559814453, Phase Shift: 1.5414283107572988e-44, Phase: 127900.4375
0:00:02.423196: Frequency: 0.0, Amplitude: 7.881772041320801, Offset: 101.81781005859375, Phase Shift: 1.5414283107572988e-44, Phase: 127900.9921875
0:00:02.531519: Frequency: 0.0, Amplitude: 7.05704927444458, Offset: 101.18675231933594, Phase Shift: 1.5414283107572988e-44, Phase: 127901.671875
0:00:02.645583: Frequency: 0.0, Amplitude: 9.78138542175293, Offset: 100.5625991821289, Phase Shift: 1.5414283107572988e-44, Phase: 127902.3828125
0:00:02.747144: Frequency: 0.0, Amplitude: 11.973203659057617, Offset: 100.03280639648438, Phase Shift: 1.5414283107572988e-44, Phase: 127903.0234375
