0:00:00.042624: {Acceleration: {Time: 15, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 13082, Status: 3, Value: (0.02734375,0.01171875,0.01171875)},Magnetic: {Time: 13084, Status: 1, Value: (-29.125,28.5,-15.1875)},Gravity: {Time: 13079, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 11, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.139435: {Acceleration: {Time: 103, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 112, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 48, Status: 1, Value: (-29.3125,28.875,-14.375)},Gravity: {Time: 108, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 105, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.237011: {Acceleration: {Time: 209, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 200, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 204, Status: 1, Value: (-29.625,29.5,-15.5)},Gravity: {Time: 197, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 206, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.350166: {Acceleration: {Time: 319, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 291, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 294, Status: 1, Value: (-28.5,27.6875,-16.5)},Gravity: {Time: 289, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 322, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.441680: {Acceleration: {Time: 404, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 414, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 382, Status: 1, Value: (-30.8125,28.3125,-14.6875)},Gravity: {Time: 412, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 406, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.562430: {Acceleration: {Time: 533, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 512, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 526, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 509, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 506, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.651039: {Acceleration: {Time: 620, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 594, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 608, Status: 1, Value: (-29.0625,28.8125,-15.9375)},Gravity: {Time: 591, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 624, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.761258: {Acceleration: {Time: 734, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 696, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 699, Status: 1, Value: (-29.0625,27.8125,-15.25)},Gravity: {Time: 692, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 730, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.39312744140625, 0.91937255859375)}}
0:00:00.855299: {Acceleration: {Time: 826, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 794, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 798, Status: 1, Value: (-28.125,28.0,-16.5)},Gravity: {Time: 791, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 819, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:00.964546: {Acceleration: {Time: 935, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 903, Status: 3, Value: (-0.01953125,-0.01171875,-0.00390625)},Magnetic: {Time: 906, Status: 1, Value: (-30.3125,28.5625,-15.875)},Gravity: {Time: 899, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 929, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.071875: {Acceleration: {Time: 1042, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1035, Status: 3, Value: (-0.01171875,-0.01953125,-0.04296875)},Magnetic: {Time: 1038, Status: 1, Value: (-29.4375,28.5,-15.9375)},Gravity: {Time: 1031, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1045, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
