0:00:00.041066: {Acceleration: {Time: 7, Status: 0, Value: (0.009765625,-0.001953125,0.0)},Gyroscope: {Time: 16, Status: 3, Value: (0.05859375,-0.02734375,0.02734375)},Magnetic: {Time: 4776, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 14, Status: 3, Value: (0.171875,-0.2421875,9.6640625)}, Rotation: {Time: 10, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38238525390625, 0.92388916015625)}}
0:00:00.154964: {Acceleration: {Time: 130, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 116, Status: 3, Value: (-0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 119, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 102, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 126, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38238525390625, 0.92388916015625)}}
0:00:00.256181: {Acceleration: {Time: 221, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 231, Status: 3, Value: (-0.05859375,0.01953125,-0.03515625)},Magnetic: {Time: 193, Status: 1, Value: (-29.6875,28.75,-17.4375)},Gravity: {Time: 228, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 224, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38238525390625, 0.92388916015625)}}
0:00:00.355520: {Acceleration: {Time: 327, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 301, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 315, Status: 1, Value: (-29.875,27.875,-15.5625)},Gravity: {Time: 298, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 331, Status: 0, Value: (-0.01513671875,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:00.468526: {Acceleration: {Time: 441, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 415, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 429, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 413, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 444, Status: 0, Value: (-0.01513671875,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:00.555061: {Acceleration: {Time: 527, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 464, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 467, Status: 1, Value: (-30.0625,28.9375,-14.6875)},Gravity: {Time: 531, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 524, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38226318359375, 0.92388916015625)}}
0:00:00.654694: {Acceleration: {Time: 630, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 616, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 619, Status: 1, Value: (-29.0,27.5,-15.6875)},Gravity: {Time: 602, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 626, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.38232421875, 0.92388916015625)}}
0:00:00.777024: {Acceleration: {Time: 745, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 753, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 692, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 750, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 747, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.38232421875, 0.92388916015625)}}
0:00:00.876420: {Acceleration: {Time: 852, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 812, Status: 3, Value: (-0.01171875,0.01953125,0.08984375)},Magnetic: {Time: 815, Status: 1, Value: (-29.9375,28.5,-15.5)},Gravity: {Time: 808, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 847, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:00.967481: {Acceleration: {Time: 941, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 933, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 937, Status: 1, Value: (-29.125,28.5,-15.25)},Gravity: {Time: 930, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 943, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:01.056060: {Acceleration: {Time: 1029, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 1003, Status: 3, Value: (-0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 1017, Status: 1, Value: (-30.875,29.0,-14.625)},Gravity: {Time: 999, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 1032, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
