0:00:00.088844: {Acceleration: {Time: 62, Status: 0, Value: (-0.00390625,-0.001953125,0.00390625)},Gyroscope: {Time: 70, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 8, Status: 1, Value: (-25.75,-20.375,-7.875)},Gravity: {Time: 67, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 64, Status: 0, Value: (-0.00994873046875,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.186971: {Acceleration: {Time: 158, Status: 0, Value: (0.0,0.0,0.00390625)},Gyroscope: {Time: 168, Status: 3, Value: (-0.02734375,0.03515625,0.01171875)},Magnetic: {Time: 104, Status: 1, Value: (-25.8125,-21.0,-7.125)},Gravity: {Time: 166, Status: 3, Value: (0.140625,-0.1875,9.640625)}, Rotation: {Time: 160, Status: 0, Value: (-0.010009765625,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.285283: {Acceleration: {Time: 258, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 266, Status: 3, Value: (0.01953125,-0.00390625,-0.03515625)},Magnetic: {Time: 201, Status: 1, Value: (-26.1875,-21.9375,-6.8125)},Gravity: {Time: 263, Status: 3, Value: (0.1328125,-0.1875,9.6484375)}, Rotation: {Time: 261, Status: 0, Value: (-0.01007080078125,-0.00689697265625,0.00341796875, 0.99993896484375)}}
0:00:00.378811: {Acceleration: {Time: 358, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 350, Status: 3, Value: (0.01953125,0.00390625,0.01171875)},Magnetic: {Time: 352, Status: 1, Value: (-26.4375,-21.6875,-7.875)},Gravity: {Time: 347, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 360, Status: 0, Value: (-0.0101318359375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.495480: {Acceleration: {Time: 473, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 433, Status: 3, Value: (-0.01953125,0.00390625,-0.02734375)},Magnetic: {Time: 436, Status: 1, Value: (-25.375,-22.0,-6.8125)},Gravity: {Time: 419, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 477, Status: 0, Value: (-0.01019287109375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.580850: {Acceleration: {Time: 560, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 524, Status: 3, Value: (0.01953125,0.00390625,0.01171875)},Magnetic: {Time: 527, Status: 1, Value: (-25.3125,-21.75,-7.625)},Gravity: {Time: 520, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 562, Status: 0, Value: (-0.01019287109375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.692456: {Acceleration: {Time: 671, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 665, Status: 3, Value: (0.01171875,0.00390625,-0.02734375)},Magnetic: {Time: 668, Status: 1, Value: (-26.0625,-21.0625,-8.25)},Gravity: {Time: 662, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 674, Status: 0, Value: (-0.01019287109375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.780843: {Acceleration: {Time: 760, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 732, Status: 3, Value: (-0.02734375,0.00390625,0.01171875)},Magnetic: {Time: 746, Status: 1, Value: (-25.4375,-21.0625,-7.1875)},Gravity: {Time: 762, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 756, Status: 0, Value: (-0.0101318359375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.893506: {Acceleration: {Time: 873, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 847, Status: 3, Value: (-0.02734375,0.00390625,-0.02734375)},Magnetic: {Time: 861, Status: 1, Value: (-25.8125,-21.375,-6.8125)},Gravity: {Time: 843, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 875, Status: 0, Value: (-0.01019287109375,-0.00689697265625,0.00335693359375, 0.99993896484375)}}
0:00:00.976843: {Acceleration: {Time: 950, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 958, Status: 3, Value: (-0.01953125,0.00390625,-0.02734375)},Magnetic: {Time: 898, Status: 1, Value: (-25.5,-21.375,-6.4375)},Gravity: {Time: 956, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 953, Status: 0, Value: (-0.01019287109375,-0.0068359375,0.00335693359375, 0.99993896484375)}}
0:00:01.101013: {Acceleration: {Time: 1080, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 1067, Status: 3, Value: (0.01953125,0.00390625,0.01171875)},Magnetic: {Time: 1071, Status: 1, Value: (-25.5625,-19.75,-7.0625)},Gravity: {Time: 1052, Status: 3, Value: (0.1328125,-0.1953125,9.640625)}, Rotation: {Time: 1083, Status: 0, Value: (-0.01025390625,-0.00677490234375,0.0032958984375, 0.99993896484375)}}
0:00:01.182746: {Acceleration: {Time: 1162, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1142, Status: 3, Value: (0.01171875,0.00390625,-0.0625)},Magnetic: {Time: 1156, Status: 1, Value: (-25.625,-21.4375,-7.9375)},Gravity: {Time: 1140, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 1136, Status: 0, Value: (-0.01025390625,-0.00677490234375,0.0032958984375, 0.99993896484375)}}
0:00:01.296316: {Acceleration: {Time: 1278, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1240, Status: 3, Value: (0.01171875,0.00390625,0.05078125)},Magnetic: {Time: 1242, Status: 1, Value: (-26.1875,-21.625,-6.75)},Gravity: {Time: 1237, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 1273, Status: 0, Value: (-0.01025390625,-0.0068359375,0.0032958984375, 0.99993896484375)}}
0:00:01.394788: {Acceleration: {Time: 1368, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1377, Status: 3, Value: (0.00390625,0.04296875,0.01953125)},Magnetic: {Time: 1336, Status: 1, Value: (-26.3125,-19.0,-7.375)},Gravity: {Time: 1373, Status: 3, Value: (0.1484375,-0.1953125,9.6328125)}, Rotation: {Time: 1370, Status: 0, Value: (-0.01025390625,-0.0068359375,0.0032958984375, 0.99993896484375)}}
