0:00:00.096429: {Acceleration: {Time: 42, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 17, Status: 3, Value: (0.04296875,-0.03515625,0.03125)},Magnetic: {Time: 31, Status: 2, Value: (-25.4375,-13.0625,-29.625)},Gravity: {Time: 14, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 44, Status: 0, Value: (0.0115966796875,-0.01318359375,-0.87420654296875, 0.48516845703125)}}
0:00:00.194615: {Acceleration: {Time: 133, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 117, Status: 3, Value: (0.12109375,0.00390625,-0.0078125)},Magnetic: {Time: 120, Status: 2, Value: (-25.0,-13.625,-30.5)},Gravity: {Time: 103, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 128, Status: 0, Value: (0.0115966796875,-0.01318359375,-0.87420654296875, 0.48516845703125)}}
0:00:00.261934: {Acceleration: {Time: 205, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 193, Status: 3, Value: (0.00390625,0.00390625,0.03125)},Magnetic: {Time: 197, Status: 2, Value: (-25.5,-14.25,-30.5)},Gravity: {Time: 190, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 199, Status: 0, Value: (0.0115966796875,-0.01318359375,-0.87420654296875, 0.48516845703125)}}
0:00:00.393042: {Acceleration: {Time: 329, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 303, Status: 3, Value: (0.03515625,-0.03515625,-0.0078125)},Magnetic: {Time: 317, Status: 2, Value: (-25.625,-14.75,-30.125)},Gravity: {Time: 300, Status: 3, Value: (-0.0625,0.34375,9.859375)}, Rotation: {Time: 331, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.465565: {Acceleration: {Time: 406, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 352, Status: 3, Value: (-0.0390625,0.0390625,-0.0078125)},Magnetic: {Time: 355, Status: 2, Value: (-24.0,-13.3125,-30.125)},Gravity: {Time: 349, Status: 3, Value: (-0.0625,0.34375,9.859375)}, Rotation: {Time: 400, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.577279: {Acceleration: {Time: 513, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 505, Status: 3, Value: (-0.00390625,0.0390625,-0.0078125)},Magnetic: {Time: 508, Status: 2, Value: (-23.3125,-13.0625,-30.1875)},Gravity: {Time: 502, Status: 3, Value: (-0.0625,0.34375,9.859375)}, Rotation: {Time: 515, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.677574: {Acceleration: {Time: 604, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 613, Status: 3, Value: (-0.03125,0.0390625,-0.0078125)},Magnetic: {Time: 550, Status: 2, Value: (-24.3125,-14.5625,-30.4375)},Gravity: {Time: 610, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 606, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.760581: {Acceleration: {Time: 705, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 673, Status: 3, Value: (0.04296875,-0.03515625,-0.046875)},Magnetic: {Time: 676, Status: 2, Value: (-25.375,-13.75,-30.5)},Gravity: {Time: 669, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 699, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.860399: {Acceleration: {Time: 804, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 673, Status: 3, Value: (0.04296875,-0.03515625,-0.046875)},Magnetic: {Time: 744, Status: 2, Value: (-24.3125,-13.3125,-31.5)},Gravity: {Time: 736, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 806, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:00.960182: {Acceleration: {Time: 903, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 864, Status: 3, Value: (0.00390625,0.00390625,-0.0078125)},Magnetic: {Time: 867, Status: 2, Value: (-24.5625,-14.3125,-30.4375)},Gravity: {Time: 860, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 899, Status: 0, Value: (0.01153564453125,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:01.077223: {Acceleration: {Time: 999, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 963, Status: 3, Value: (0.01171875,0.0390625,-0.0078125)},Magnetic: {Time: 966, Status: 2, Value: (-23.6875,-13.1875,-30.5)},Gravity: {Time: 960, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 1001, Status: 0, Value: (0.01153564453125,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
