0:00:00.095268: {Acceleration: {Time: 8, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 16, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 1502575, Status: 2, Value: (-3.6875,-26.75,-34.75)},Gravity: {Time: 14, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 10, Status: 0, Value: (0.03076171875,0.028076171875,0.97674560546875, 0.210205078125)}}
0:00:00.194376: {Acceleration: {Time: 110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 73, Status: 3, Value: (0.01171875,0.01171875,-0.03125)},Magnetic: {Time: 49, Status: 2, Value: (-2.3125,-25.0,-35.75)},Gravity: {Time: 69, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 113, Status: 0, Value: (0.03076171875,0.02801513671875,0.976806640625, 0.210205078125)}}
0:00:00.283444: {Acceleration: {Time: 198, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 161, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 164, Status: 2, Value: (-2.5,-25.875,-35.375)},Gravity: {Time: 157, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 200, Status: 0, Value: (0.03070068359375,0.02801513671875,0.976806640625, 0.210205078125)}}
0:00:00.379682: {Acceleration: {Time: 286, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 248, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 250, Status: 2, Value: (-3.125,-27.0,-34.625)},Gravity: {Time: 288, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 281, Status: 0, Value: (0.03070068359375,0.02801513671875,0.976806640625, 0.210205078125)}}
0:00:00.479425: {Acceleration: {Time: 385, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 347, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 349, Status: 2, Value: (-1.9375,-24.875,-35.4375)},Gravity: {Time: 343, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 380, Status: 0, Value: (0.0306396484375,0.0279541015625,0.976806640625, 0.210205078125)}}
0:00:00.569675: {Acceleration: {Time: 475, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 484, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 418, Status: 2, Value: (-1.9375,-24.875,-35.4375)},Gravity: {Time: 481, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 478, Status: 0, Value: (0.0306396484375,0.02789306640625,0.976806640625, 0.210205078125)}}
0:00:00.676407: {Acceleration: {Time: 574, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 584, Status: 3, Value: (0.00390625,0.01171875,0.0078125)},Magnetic: {Time: 547, Status: 2, Value: (-3.25,-26.125,-35.375)},Gravity: {Time: 581, Status: 3, Value: (0.46875,0.640625,9.84375)}, Rotation: {Time: 577, Status: 0, Value: (0.03057861328125,0.02783203125,0.976806640625, 0.210205078125)}}
0:00:00.761567: {Acceleration: {Time: 677, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 639, Status: 3, Value: (0.00390625,-0.02734375,0.0078125)},Magnetic: {Time: 642, Status: 2, Value: (-2.75,-26.8125,-35.0)},Gravity: {Time: 625, Status: 3, Value: (0.46875,0.640625,9.84375)}, Rotation: {Time: 674, Status: 0, Value: (0.03057861328125,0.02783203125,0.976806640625, 0.210205078125)}}
0:00:00.861430: {Acceleration: {Time: 771, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 734, Status: 3, Value: (0.00390625,0.01171875,-0.03125)},Magnetic: {Time: 710, Status: 2, Value: (-2.0625,-24.125,-35.5)},Gravity: {Time: 731, Status: 3, Value: (0.46875,0.640625,9.84375)}, Rotation: {Time: 775, Status: 0, Value: (0.03057861328125,0.02777099609375,0.976806640625, 0.210205078125)}}
0:00:00.979551: {Acceleration: {Time: 887, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 822, Status: 3, Value: (0.01171875,0.01171875,0.046875)},Magnetic: {Time: 825, Status: 2, Value: (-1.4375,-25.0625,-36.375)},Gravity: {Time: 818, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 884, Status: 0, Value: (0.03057861328125,0.02777099609375,0.976806640625, 0.210205078125)}}
0:00:01.046292: {Acceleration: {Time: 955, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 945, Status: 3, Value: (0.046875,0.05078125,-0.03125)},Magnetic: {Time: 921, Status: 2, Value: (-3.125,-26.875,-35.6875)},Gravity: {Time: 942, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 952, Status: 0, Value: (0.030517578125,0.0277099609375,0.976806640625, 0.210205078125)}}
0:00:01.146112: {Acceleration: {Time: 1051, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1014, Status: 3, Value: (-0.02734375,0.05078125,0.0078125)},Magnetic: {Time: 1017, Status: 2, Value: (-2.0625,-25.3125,-35.75)},Gravity: {Time: 1010, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1048, Status: 0, Value: (0.030517578125,0.0277099609375,0.976806640625, 0.210205078125)}}
0:00:01.229644: {Acceleration: {Time: 1141, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1134, Status: 3, Value: (0.01171875,0.05078125,0.046875)},Magnetic: {Time: 1138, Status: 2, Value: (-2.3125,-25.0625,-34.8125)},Gravity: {Time: 1131, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1143, Status: 0, Value: (0.03045654296875,0.02764892578125,0.976806640625, 0.210205078125)}}
0:00:01.329338: {Acceleration: {Time: 1234, Status: 0, Value: (0.0,0.00390625,-0.00390625)},Gyroscope: {Time: 1243, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 1204, Status: 2, Value: (-3.9375,-27.5625,-36.25)},Gravity: {Time: 1240, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1237, Status: 0, Value: (0.0303955078125,0.027587890625,0.976806640625, 0.210205078125)}}
