0:00:00.137851: Frequency: 0.0, Amplitude: 39.999961853027344, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29164.359375
0:00:00.224170: Frequency: 0.0, Amplitude: 35.77780532836914, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29165.05078125
0:00:00.312376: Frequency: 0.0, Amplitude: 32.61614990234375, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29165.623046875
0:00:00.411344: Frequency: 0.0, Amplitude: 29.798442840576172, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29166.181640625
0:00:00.511488: Frequency: 0.0, Amplitude: 26.859352111816406, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29166.822265625
0:00:00.610835: Frequency: 0.0, Amplitude: 24.260799407958984, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29167.451171875
0:00:00.753383: Frequency: 0.0, Amplitude: 21.322023391723633, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29168.248046875
0:00:00.843184: Frequency: 0.0, Amplitude: 19.0126953125, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29168.958984375
0:00:00.927062: Frequency: 0.0, Amplitude: 17.45987319946289, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29169.486328125
0:00:01.016543: Frequency: 0.0, Amplitude: 16.000951766967773, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29170.025390625
0:00:01.110464: Frequency: 0.0, Amplitude: 14.482712745666504, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29170.640625
0:00:01.211867: Frequency: 0.0, Amplitude: 13.108348846435547, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29171.255859375
0:00:01.304462: Frequency: 0.0, Amplitude: 12.025381088256836, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29171.791015625
0:00:01.393584: Frequency: 0.0, Amplitude: 10.88433837890625, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29172.408203125
0:00:01.503622: Frequency: 0.0, Amplitude: 9.820916175842285, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29173.04296875
0:00:01.587733: Frequency: 0.0, Amplitude: 8.934666633605957, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29173.626953125
0:00:01.740646: Frequency: 0.0, Amplitude: 7.640462875366211, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29174.595703125
0:00:01.827167: Frequency: 0.0, Amplitude: 7.00917387008667, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29175.130859375
0:00:01.866515: Frequency: 0.0, Amplitude: 6.721797943115234, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29175.388671875
0:00:01.994514: Frequency: 0.0, Amplitude: 5.913729190826416, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29176.1796875
0:00:02.058972: Frequency: 0.0, Amplitude: 5.558491230010986, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29176.564453125
0:00:02.177053: Frequency: 0.0, Amplitude: 4.9203200340271, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29177.318359375
0:00:02.260879: Frequency: 0.0, Amplitude: 4.537038803100586, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29177.822265625
0:00:02.350060: Frequency: 0.0, Amplitude: 4.145097255706787, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29178.380859375
0:00:02.427693: Frequency: 0.0, Amplitude: 3.7948145866394043, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29178.927734375
0:00:02.555105: Frequency: 0.0, Amplitude: 3.3803420066833496, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29179.64453125
0:00:02.636025: Frequency: 0.0, Amplitude: 3.0978825092315674, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29180.185546875
0:00:02.726374: Frequency: 0.0, Amplitude: 2.8331804275512695, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29180.73828125
0:00:02.811674: Frequency: 0.0, Amplitude: 2.5749638080596924, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29181.330078125
0:00:02.912690: Frequency: 0.0, Amplitude: 2.357365608215332, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29181.876953125
0:00:02.995373: Frequency: 0.0, Amplitude: 2.1380515098571777, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29182.48046875
0:00:03.094056: Frequency: 0.0, Amplitude: 1.92915940284729, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29183.115234375
0:00:03.198064: Frequency: 0.0, Amplitude: 1.732616901397705, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29183.78125
0:00:03.289481: Frequency: 0.0, Amplitude: 1.5796756744384766, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29184.353515625
0:00:03.384507: Frequency: 0.0, Amplitude: 1.4387378692626953, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29184.931640625
0:00:03.485407: Frequency: 0.0, Amplitude: 1.3144453763961792, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29185.490234375
0:00:03.570248: Frequency: 0.0, Amplitude: 1.20088791847229, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29186.05078125
0:00:03.662696: Frequency: 0.0, Amplitude: 1.0785541534423828, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29186.716796875
0:00:03.754685: Frequency: 0.0, Amplitude: 0.9904677271842957, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29187.244140625
0:00:03.846150: Frequency: 0.0, Amplitude: 0.9067592620849609, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29187.791015625
0:00:03.963192: Frequency: 0.0, Amplitude: 0.7985821962356567, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29188.576171875
0:00:04.067709: Frequency: 0.0, Amplitude: 0.7250006198883057, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29189.173828125
0:00:04.145737: Frequency: 0.0, Amplitude: 0.6637363433837891, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29189.720703125
0:00:04.245596: Frequency: 0.0, Amplitude: 0.5995219945907593, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29190.349609375
0:00:04.345611: Frequency: 0.0, Amplitude: 0.5482957363128662, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29190.904296875
0:00:04.444977: Frequency: 0.0, Amplitude: 0.4904244840145111, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29191.595703125
0:00:04.546341: Frequency: 0.0, Amplitude: 0.4420470595359802, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29192.236328125
0:00:04.645522: Frequency: 0.0, Amplitude: 0.40256786346435547, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29192.814453125
0:00:04.745524: Frequency: 0.0, Amplitude: 0.3647453784942627, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29193.423828125
0:00:04.812942: Frequency: 0.0, Amplitude: 0.33893856406211853, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29193.875
0:00:04.926593: Frequency: 0.0, Amplitude: 0.3000352382659912, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29194.62890625
0:00:04.996128: Frequency: 0.0, Amplitude: 0.2788068354129791, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29195.080078125
0:00:05.086724: Frequency: 0.0, Amplitude: 0.252355694770813, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29195.6953125
0:00:05.196155: Frequency: 0.0, Amplitude: 0.22981904447078705, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29196.2734375
0:00:05.295695: Frequency: 0.0, Amplitude: 0.20597995817661285, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29196.951171875
0:00:05.391380: Frequency: 0.0, Amplitude: 0.1871953159570694, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29197.541015625
0:00:05.479312: Frequency: 0.0, Amplitude: 0.1713763326406479, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29198.087890625
0:00:05.576163: Frequency: 0.0, Amplitude: 0.15495365858078003, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29198.708984375
0:00:05.669091: Frequency: 0.0, Amplitude: 0.14111551642417908, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29199.287109375
0:00:05.780617: Frequency: 0.0, Amplitude: 0.12544278800487518, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29200.017578125
0:00:05.902304: Frequency: 0.0, Amplitude: 0.11254927515983582, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29200.69140625
0:00:05.958388: Frequency: 0.0, Amplitude: 0.10502198338508606, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29201.119140625
0:00:06.063234: Frequency: 0.0, Amplitude: 0.09505816549062729, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29201.736328125
0:00:06.145797: Frequency: 0.0, Amplitude: 0.08656852692365646, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29202.314453125
0:00:06.279949: Frequency: 0.0, Amplitude: 0.07616019994020462, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29203.107421875
0:00:06.379567: Frequency: 0.0, Amplitude: 0.06886079907417297, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29203.728515625
0:00:06.480033: Frequency: 0.0, Amplitude: 0.06251955032348633, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29204.326171875
0:00:06.563576: Frequency: 0.0, Amplitude: 0.056529149413108826, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29204.94921875
0:00:06.632044: Frequency: 0.0, Amplitude: 0.05290936306118965, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29205.357421875
0:00:06.749846: Frequency: 0.0, Amplitude: 0.04688391834497452, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29206.10546875
0:00:06.829526: Frequency: 0.0, Amplitude: 0.04379333183169365, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29206.52734375
0:00:06.945957: Frequency: 0.0, Amplitude: 0.03856709972023964, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29207.314453125
0:00:07.047185: Frequency: 0.0, Amplitude: 0.03498004004359245, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29207.91796875
0:00:07.146429: Frequency: 0.0, Amplitude: 0.03175880387425423, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29208.515625
0:00:07.246544: Frequency: 0.0, Amplitude: 0.028523702174425125, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29209.181640625
0:00:07.306040: Frequency: 0.0, Amplitude: 0.02658865414559841, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29209.615234375
0:00:07.393588: Frequency: 0.0, Amplitude: 0.024316806346178055, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29210.16796875
0:00:07.503053: Frequency: 0.0, Amplitude: 0.021963931620121002, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29210.796875
0:00:07.595635: Frequency: 0.0, Amplitude: 0.019818030297756195, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29211.4296875
0:00:07.695927: Frequency: 0.0, Amplitude: 0.01790020242333412, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29212.056640625
0:00:07.813267: Frequency: 0.0, Amplitude: 0.0161683838814497, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29212.685546875
0:00:07.889869: Frequency: 0.0, Amplitude: 0.014603942632675171, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29213.314453125
0:00:07.987707: Frequency: 0.0, Amplitude: 0.013285784050822258, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29213.8984375
0:00:08.056934: Frequency: 0.0, Amplitude: 0.012526368722319603, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29214.263671875
0:00:08.171786: Frequency: 0.0, Amplitude: 0.011076876893639565, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29215.0234375
0:00:08.275291: Frequency: 0.0, Amplitude: 0.01001554075628519, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29215.64453125
0:00:08.346189: Frequency: 0.0, Amplitude: 0.009374205954372883, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29216.052734375
0:00:08.479842: Frequency: 0.0, Amplitude: 0.008255626074969769, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29216.83984375
0:00:08.563505: Frequency: 0.0, Amplitude: 0.007526204455643892, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29217.412109375
0:00:08.681506: Frequency: 0.0, Amplitude: 0.006628059782087803, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29218.197265625
0:00:08.780238: Frequency: 0.0, Amplitude: 0.006011517718434334, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29218.80078125
0:00:08.862180: Frequency: 0.0, Amplitude: 0.005457935854792595, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29219.3984375
0:00:08.943956: Frequency: 0.0, Amplitude: 0.00503283366560936, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29219.90234375
0:00:09.047571: Frequency: 0.0, Amplitude: 0.004510893486440182, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29220.58203125
0:00:09.179898: Frequency: 0.0, Amplitude: 0.00396865326911211, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29221.373046875
0:00:09.246440: Frequency: 0.0, Amplitude: 0.0036956099793314934, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29221.814453125
0:00:09.346843: Frequency: 0.0, Amplitude: 0.003365623764693737, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29222.392578125
0:00:09.449040: Frequency: 1.649999976158142, Amplitude: 0.0030011185444891453, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29223.1015625
0:00:09.562050: Frequency: 1.649999976158142, Amplitude: 0.002722094301134348, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29223.705078125
0:00:09.644533: Frequency: 1.649999976158142, Amplitude: 0.00250345841050148, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29224.220703125
0:00:09.728752: Frequency: 1.649999976158142, Amplitude: 0.002304784022271633, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29224.73046875
0:00:09.845411: Frequency: 1.649999976158142, Amplitude: 0.0020391230937093496, Offset: 89.9998550415039, Phase Shift: 0.0, Phase: 29225.484375
