0:00:00.046362: {Acceleration: {Time: 11, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (0.02734375,-0.0390625,-0.0078125)},Magnetic: {Time: 7, Status: 2, Value: (11.4375,-6.25,-33.9375)},Gravity: {Time: 1, Status: 3, Value: (0.0234375,0.4609375,9.859375)}, Rotation: {Time: 14, Status: 0, Value: (0.015380859375,0.01776123046875,0.79034423828125, 0.6121826171875)}}
0:00:00.146680: {Acceleration: {Time: 100, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 58, Status: 3, Value: (-0.05859375,0.0078125,0.0234375)},Magnetic: {Time: 62, Status: 2, Value: (12.9375,-4.25,-33.0625)},Gravity: {Time: 103, Status: 3, Value: (0.03125,0.453125,9.8671875)}, Rotation: {Time: 95, Status: 0, Value: (0.015380859375,0.01776123046875,0.79034423828125, 0.6121826171875)}}
0:00:00.229979: {Acceleration: {Time: 194, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 173, Status: 3, Value: (-0.01953125,0.0078125,0.0234375)},Magnetic: {Time: 187, Status: 2, Value: (12.625,-4.125,-35.0625)},Gravity: {Time: 170, Status: 3, Value: (0.03125,0.453125,9.8671875)}, Rotation: {Time: 167, Status: 0, Value: (0.015380859375,0.0177001953125,0.79034423828125, 0.6121826171875)}}
0:00:00.349274: {Acceleration: {Time: 314, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 323, Status: 3, Value: (-0.05859375,-0.14453125,0.13671875)},Magnetic: {Time: 285, Status: 2, Value: (12.25,-4.375,-34.0625)},Gravity: {Time: 320, Status: 3, Value: (0.03125,0.453125,9.8671875)}, Rotation: {Time: 316, Status: 0, Value: (0.015380859375,0.0177001953125,0.79034423828125, 0.6121826171875)}}
0:00:00.421274: {Acceleration: {Time: 395, Status: 0, Value: (-0.00390625,-0.009765625,-0.001953125)},Gyroscope: {Time: 383, Status: 3, Value: (0.05078125,0.078125,-0.0078125)},Magnetic: {Time: 386, Status: 2, Value: (11.4375,-5.0,-34.6875)},Gravity: {Time: 379, Status: 3, Value: (0.0390625,0.4609375,9.859375)}, Rotation: {Time: 388, Status: 0, Value: (0.0152587890625,0.01776123046875,0.79034423828125, 0.6121826171875)}}
0:00:00.560904: {Acceleration: {Time: 519, Status: 0, Value: (-0.01171875,-0.0078125,-0.001953125)},Gyroscope: {Time: 493, Status: 3, Value: (-0.10546875,-0.23828125,-0.015625)},Magnetic: {Time: 507, Status: 2, Value: (11.4375,-5.125,-33.6875)},Gravity: {Time: 490, Status: 3, Value: (0.0390625,0.46875,9.8671875)}, Rotation: {Time: 521, Status: 0, Value: (0.0155029296875,0.01776123046875,0.7904052734375, 0.61212158203125)}}
0:00:00.644120: {Acceleration: {Time: 597, Status: 0, Value: (0.0078125,0.001953125,-0.00390625)},Gyroscope: {Time: 605, Status: 3, Value: (0.01953125,0.046875,-0.046875)},Magnetic: {Time: 544, Status: 2, Value: (11.1875,-4.75,-33.75)},Gravity: {Time: 603, Status: 3, Value: (0.03125,0.453125,9.859375)}, Rotation: {Time: 600, Status: 0, Value: (0.015380859375,0.017822265625,0.7904052734375, 0.61212158203125)}}
0:00:00.746038: {Acceleration: {Time: 700, Status: 0, Value: (-0.01171875,0.00390625,-0.005859375)},Gyroscope: {Time: 663, Status: 3, Value: (-0.11328125,0.0859375,0.14453125)},Magnetic: {Time: 666, Status: 2, Value: (11.4375,-5.125,-33.6875)},Gravity: {Time: 660, Status: 3, Value: (0.046875,0.453125,9.859375)}, Rotation: {Time: 697, Status: 0, Value: (0.01544189453125,0.017822265625,0.7904052734375, 0.61212158203125)}}
0:00:00.827383: {Acceleration: {Time: 794, Status: 0, Value: (-0.005859375,0.01171875,0.0)},Gyroscope: {Time: 786, Status: 3, Value: (-0.12109375,-0.015625,0.07421875)},Magnetic: {Time: 788, Status: 2, Value: (12.1875,-6.875,-33.5625)},Gravity: {Time: 783, Status: 3, Value: (0.0546875,0.4375,9.8515625)}, Rotation: {Time: 796, Status: 0, Value: (0.0155029296875,0.01763916015625,0.79046630859375, 0.61212158203125)}}
0:00:00.909729: {Acceleration: {Time: 880, Status: 0, Value: (0.001953125,-0.0078125,-0.00390625)},Gyroscope: {Time: 816, Status: 3, Value: (-0.04296875,0.0234375,0.07421875)},Magnetic: {Time: 820, Status: 2, Value: (11.6875,-4.25,-33.125)},Gravity: {Time: 813, Status: 3, Value: (0.0546875,0.4375,9.8515625)}, Rotation: {Time: 877, Status: 0, Value: (0.01544189453125,0.0177001953125,0.79046630859375, 0.612060546875)}}
0:00:01.011836: {Acceleration: {Time: 976, Status: 0, Value: (-0.009765625,0.001953125,0.005859375)},Gyroscope: {Time: 940, Status: 3, Value: (-0.11328125,0.13671875,-0.19140625)},Magnetic: {Time: 943, Status: 2, Value: (10.5625,-6.1875,-33.6875)},Gravity: {Time: 936, Status: 3, Value: (0.046875,0.4375,9.8515625)}, Rotation: {Time: 973, Status: 0, Value: (0.01544189453125,0.0177001953125,0.7904052734375, 0.61212158203125)}}
0:00:01.113304: {Acceleration: {Time: 1070, Status: 0, Value: (0.0,0.00390625,0.0)},Gyroscope: {Time: 1033, Status: 3, Value: (0.00390625,0.0625,-0.1171875)},Magnetic: {Time: 1009, Status: 2, Value: (12.375,-5.125,-34.0)},Gravity: {Time: 1030, Status: 3, Value: (0.046875,0.4375,9.8515625)}, Rotation: {Time: 1072, Status: 0, Value: (0.01544189453125,0.0174560546875,0.79046630859375, 0.612060546875)}}
0:00:01.214566: {Acceleration: {Time: 1174, Status: 0, Value: (0.001953125,-0.0078125,-0.0078125)},Gyroscope: {Time: 1179, Status: 3, Value: (-0.12109375,-0.2890625,-0.0390625)},Magnetic: {Time: 1182, Status: 2, Value: (12.25,-3.0625,-34.8125)},Gravity: {Time: 1177, Status: 3, Value: (0.0546875,0.4453125,9.8515625)}, Rotation: {Time: 1184, Status: 0, Value: (0.01544189453125,0.01739501953125,0.79046630859375, 0.612060546875)}}
0:00:01.316270: {Acceleration: {Time: 1270, Status: 0, Value: (-0.00390625,-0.001953125,-0.00390625)},Gyroscope: {Time: 1244, Status: 3, Value: (-0.00390625,0.0546875,-0.125)},Magnetic: {Time: 1258, Status: 2, Value: (11.3125,-4.25,-34.0625)},Gravity: {Time: 1241, Status: 3, Value: (0.0546875,0.4453125,9.859375)}, Rotation: {Time: 1273, Status: 0, Value: (0.0155029296875,0.017333984375,0.79046630859375, 0.612060546875)}}
0:00:01.400932: {Acceleration: {Time: 1362, Status: 0, Value: (-0.00390625,-0.005859375,0.0)},Gyroscope: {Time: 1354, Status: 3, Value: (0.04296875,0.16015625,0.0)},Magnetic: {Time: 1358, Status: 2, Value: (11.5625,-5.75,-34.3125)},Gravity: {Time: 1351, Status: 3, Value: (0.046875,0.453125,9.8515625)}, Rotation: {Time: 1364, Status: 0, Value: (0.0155029296875,0.01739501953125,0.79046630859375, 0.61199951171875)}}
0:00:01.520929: {Acceleration: {Time: 1475, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1465, Status: 3, Value: (0.203125,-0.078125,-0.078125)},Magnetic: {Time: 1469, Status: 2, Value: (12.25,-4.375,-33.75)},Gravity: {Time: 1450, Status: 3, Value: (0.0390625,0.4609375,9.8515625)}, Rotation: {Time: 1478, Status: 0, Value: (0.01544189453125,0.017333984375,0.79052734375, 0.61199951171875)}}
0:00:01.626033: {Acceleration: {Time: 1596, Status: 0, Value: (-0.005859375,0.0,0.0)},Gyroscope: {Time: 1604, Status: 3, Value: (0.05078125,-0.0625,0.11328125)},Magnetic: {Time: 1539, Status: 2, Value: (12.0625,-5.125,-34.6875)},Gravity: {Time: 1600, Status: 3, Value: (0.0390625,0.4453125,9.8515625)}, Rotation: {Time: 1598, Status: 0, Value: (0.01544189453125,0.017333984375,0.79046630859375, 0.612060546875)}}
0:00:01.679847: {Acceleration: {Time: 1646, Status: 0, Value: (-0.00390625,-0.009765625,-0.00390625)},Gyroscope: {Time: 1604, Status: 3, Value: (0.05078125,-0.0625,0.11328125)},Magnetic: {Time: 1634, Status: 2, Value: (12.75,-3.8125,-33.75)},Gravity: {Time: 1600, Status: 3, Value: (0.0390625,0.4453125,9.8515625)}, Rotation: {Time: 1641, Status: 0, Value: (0.0155029296875,0.017333984375,0.79046630859375, 0.612060546875)}}
0:00:01.780007: {Acceleration: {Time: 1736, Status: 0, Value: (0.0078125,-0.001953125,0.0)},Gyroscope: {Time: 1745, Status: 3, Value: (-0.11328125,0.11328125,0.03125)},Magnetic: {Time: 1679, Status: 2, Value: (11.0,-5.5,-35.0625)},Gravity: {Time: 1742, Status: 3, Value: (0.046875,0.4609375,9.859375)}, Rotation: {Time: 1738, Status: 0, Value: (0.01544189453125,0.01727294921875,0.79046630859375, 0.612060546875)}}
0:00:01.904579: {Acceleration: {Time: 1858, Status: 0, Value: (0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 1865, Status: 3, Value: (-0.14453125,0.0,0.14453125)},Magnetic: {Time: 1867, Status: 2, Value: (10.6875,-4.5,-34.0625)},Gravity: {Time: 1862, Status: 3, Value: (0.078125,0.4609375,9.859375)}, Rotation: {Time: 1870, Status: 0, Value: (0.01556396484375,0.0172119140625,0.79046630859375, 0.612060546875)}}
0:00:01.988639: {Acceleration: {Time: 1955, Status: 0, Value: (0.00390625,0.005859375,0.0)},Gyroscope: {Time: 1948, Status: 3, Value: (0.0546875,0.11328125,-0.078125)},Magnetic: {Time: 1950, Status: 2, Value: (12.25,-5.5625,-34.0)},Gravity: {Time: 1945, Status: 3, Value: (0.0703125,0.4609375,9.8515625)}, Rotation: {Time: 1957, Status: 0, Value: (0.01556396484375,0.0172119140625,0.79046630859375, 0.612060546875)}}
0:00:02.104453: {Acceleration: {Time: 2071, Status: 0, Value: (-0.00390625,0.005859375,0.0)},Gyroscope: {Time: 2031, Status: 3, Value: (0.0625,-0.03125,-0.078125)},Magnetic: {Time: 2034, Status: 2, Value: (12.375,-5.125,-33.375)},Gravity: {Time: 2017, Status: 3, Value: (0.0625,0.453125,9.8515625)}, Rotation: {Time: 2075, Status: 0, Value: (0.0157470703125,0.01727294921875,0.79046630859375, 0.612060546875)}}
0:00:02.197981: {Acceleration: {Time: 2164, Status: 0, Value: (0.001953125,-0.0078125,0.0)},Gyroscope: {Time: 2157, Status: 3, Value: (-0.01171875,-0.08984375,-0.0078125)},Magnetic: {Time: 2159, Status: 2, Value: (11.8125,-4.9375,-34.375)},Gravity: {Time: 2154, Status: 3, Value: (0.0625,0.4375,9.859375)}, Rotation: {Time: 2166, Status: 0, Value: (0.01580810546875,0.01708984375,0.79046630859375, 0.612060546875)}}
0:00:02.313149: {Acceleration: {Time: 2269, Status: 0, Value: (-0.00390625,-0.01171875,0.001953125)},Gyroscope: {Time: 2274, Status: 3, Value: (0.1875,0.03125,0.09765625)},Magnetic: {Time: 2276, Status: 2, Value: (12.625,-4.25,-33.75)},Gravity: {Time: 2272, Status: 3, Value: (0.0546875,0.4296875,9.8671875)}, Rotation: {Time: 2264, Status: 0, Value: (0.0157470703125,0.01715087890625,0.79046630859375, 0.612060546875)}}
