0:00:00.055538: {Acceleration: {Time: 11, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4, Status: 3, Value: (0.0,0.03125,-0.03515625)},Magnetic: {Time: 7, Status: 0, Value: (-3.25,2.5625,-32.8125)},Gravity: {Time: 1, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 13, Status: 0, Value: (-0.02294921875,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.157223: {Acceleration: {Time: 106, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 99, Status: 3, Value: (0.0,0.0234375,-0.07421875)},Magnetic: {Time: 103, Status: 0, Value: (-2.875,3.25,-34.8125)},Gravity: {Time: 96, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 108, Status: 0, Value: (-0.02294921875,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.252915: {Acceleration: {Time: 196, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 191, Status: 3, Value: (0.0,-0.0078125,-0.10546875)},Magnetic: {Time: 193, Status: 0, Value: (-3.25,3.625,-33.5625)},Gravity: {Time: 187, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 199, Status: 0, Value: (-0.02294921875,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.346372: {Acceleration: {Time: 290, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 299, Status: 3, Value: (0.0,0.03125,0.01171875)},Magnetic: {Time: 262, Status: 0, Value: (-4.0,2.875,-34.375)},Gravity: {Time: 296, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 292, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.441322: {Acceleration: {Time: 393, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 383, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 386, Status: 0, Value: (-2.5625,3.625,-33.5625)},Gravity: {Time: 369, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 395, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.537171: {Acceleration: {Time: 492, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 460, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 462, Status: 0, Value: (-1.8125,2.5625,-33.1875)},Gravity: {Time: 456, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 487, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.632131: {Acceleration: {Time: 587, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 550, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 525, Status: 0, Value: (-2.875,1.0625,-34.0)},Gravity: {Time: 546, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 590, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.727942: {Acceleration: {Time: 682, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 650, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 625, Status: 0, Value: (-2.5625,1.4375,-32.8125)},Gravity: {Time: 647, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 675, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.818500: {Acceleration: {Time: 778, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 745, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 747, Status: 0, Value: (-2.875,1.0625,-34.0)},Gravity: {Time: 742, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 774, Status: 0, Value: (-0.02301025390625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:00.926349: {Acceleration: {Time: 866, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 835, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 838, Status: 0, Value: (-2.5625,2.1875,-33.1875)},Gravity: {Time: 872, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 869, Status: 0, Value: (-0.0230712890625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
0:00:01.018837: {Acceleration: {Time: 967, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 931, Status: 3, Value: (-0.0390625,-0.0078125,0.00390625)},Magnetic: {Time: 905, Status: 0, Value: (-2.875,2.875,-35.5625)},Gravity: {Time: 928, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 971, Status: 0, Value: (-0.0230712890625,-0.01751708984375,-0.0008544921875, 0.99957275390625)}}
