0:00:00.089998: {Acceleration: {Time: 40, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 15, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 29, Status: 2, Value: (0.3125,-15.0,-36.125)},Gravity: {Time: 12, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 42, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01971435546875)}}
0:00:00.199200: {Acceleration: {Time: 139, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 104, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 106, Status: 2, Value: (-0.3125,-14.0625,-36.9375)},Gravity: {Time: 101, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 134, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01971435546875)}}
0:00:00.293442: {Acceleration: {Time: 236, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 226, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 229, Status: 2, Value: (0.0,-14.375,-36.9375)},Gravity: {Time: 211, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 239, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.0196533203125)}}
0:00:00.387528: {Acceleration: {Time: 332, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 340, Status: 3, Value: (-0.015625,0.0,-0.01953125)},Magnetic: {Time: 274, Status: 2, Value: (-1.0625,-15.125,-35.875)},Gravity: {Time: 337, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 334, Status: 2, Value: (0.01873779296875,0.00372314453125,0.9996337890625, 0.01959228515625)}}
0:00:00.481721: {Acceleration: {Time: 431, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 423, Status: 3, Value: (-0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 425, Status: 2, Value: (-0.8125,-15.8125,-36.3125)},Gravity: {Time: 420, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 433, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01953125)}}
0:00:00.591650: {Acceleration: {Time: 531, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 517, Status: 3, Value: (-0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 520, Status: 2, Value: (-0.5625,-16.5625,-36.3125)},Gravity: {Time: 502, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 527, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01947021484375)}}
0:00:00.685658: {Acceleration: {Time: 622, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 631, Status: 3, Value: (0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 565, Status: 2, Value: (-1.125,-15.1875,-36.625)},Gravity: {Time: 627, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 624, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01947021484375)}}
0:00:00.780135: {Acceleration: {Time: 721, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 691, Status: 3, Value: (0.0234375,0.02734375,0.01953125)},Magnetic: {Time: 693, Status: 2, Value: (-0.4375,-15.8125,-36.25)},Gravity: {Time: 688, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 715, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.0194091796875)}}
0:00:00.842425: {Acceleration: {Time: 795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 691, Status: 3, Value: (0.0234375,0.02734375,0.01953125)},Magnetic: {Time: 760, Status: 2, Value: (-1.375,-17.0625,-37.6875)},Gravity: {Time: 752, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 790, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.01934814453125)}}
0:00:00.952376: {Acceleration: {Time: 890, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 853, Status: 3, Value: (-0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 828, Status: 2, Value: (-1.5625,-15.5625,-36.75)},Gravity: {Time: 850, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 892, Status: 2, Value: (0.01873779296875,0.0037841796875,0.9996337890625, 0.019287109375)}}
0:00:01.046741: {Acceleration: {Time: 985, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 978, Status: 3, Value: (-0.015625,-0.046875,0.01953125)},Magnetic: {Time: 981, Status: 2, Value: (-1.625,-16.625,-36.4375)},Gravity: {Time: 975, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 987, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.019287109375)}}
0:00:01.141434: {Acceleration: {Time: 1085, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1045, Status: 3, Value: (-0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 1049, Status: 2, Value: (-0.5625,-16.5625,-36.75)},Gravity: {Time: 1088, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 1081, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:01.204148: {Acceleration: {Time: 1155, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1148, Status: 3, Value: (-0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 1151, Status: 2, Value: (0.6875,-14.9375,-36.125)},Gravity: {Time: 1145, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 1157, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:01.314088: {Acceleration: {Time: 1252, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1261, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 1220, Status: 2, Value: (-1.125,-15.1875,-36.75)},Gravity: {Time: 1258, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 1255, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.408494: {Acceleration: {Time: 1351, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1344, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 1347, Status: 2, Value: (-1.75,-14.875,-36.3125)},Gravity: {Time: 1340, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 1354, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
