0:00:00.031222: Frequency: 9.80908925027372e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.140494: Frequency: 9.668959403841238e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.234372: Frequency: 9.528829557408756e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.327995: Frequency: 9.388699710976274e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.421922: Frequency: 9.248569864543793e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.515495: Frequency: 9.10844001811131e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.609426: Frequency: 8.96831017167883e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.702997: Frequency: 8.828180325246348e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.796883: Frequency: 8.688050478813866e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.890497: Frequency: 8.547920632381384e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:00.984372: Frequency: 8.407790785948902e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.077996: Frequency: 8.267660939516421e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.171746: Frequency: 8.127531093083939e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.249840: Frequency: 7.987401246651457e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.359425: Frequency: 7.847271400218976e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.437341: Frequency: 7.707141553786494e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.546746: Frequency: 7.567011707354012e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.624895: Frequency: 7.42688186092153e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.734247: Frequency: 7.286752014489049e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.828125: Frequency: 7.146622168056567e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:01.921745: Frequency: 7.006492321624085e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:02.015630: Frequency: 6.866362475191604e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:02.093590: Frequency: 6.726232628759122e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:02.203120: Frequency: 6.58610278232664e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:02.281121: Frequency: 6.445972935894159e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:02.390614: Frequency: 6.445972935894159e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
