0:00:00.046810: Frequency: 0.24999959766864777, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.1631469726562
0:00:00.140537: Frequency: 0.23798327147960663, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.3141479492188
0:00:00.234448: Frequency: 0.22837065160274506, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.4349365234375
0:00:00.328162: Frequency: 0.21750426292419434, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.571533203125
0:00:00.421810: Frequency: 0.20715492963790894, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.7015991210938
0:00:00.515538: Frequency: 0.19689911603927612, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.83056640625
0:00:00.609433: Frequency: 0.18904192745685577, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 959.9293212890625
0:00:00.703188: Frequency: 0.18004688620567322, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.0423583984375
0:00:00.796810: Frequency: 0.17156687378883362, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.14892578125
0:00:00.890558: Frequency: 0.16332043707370758, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.2525634765625
0:00:01.000066: Frequency: 0.1554703563451767, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.3511962890625
0:00:01.078182: Frequency: 0.14919060468673706, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.4301147460938
0:00:01.171810: Frequency: 0.1420917958021164, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.519287109375
0:00:01.265560: Frequency: 0.13526250422000885, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.6051025390625
0:00:01.359317: Frequency: 0.12882642447948456, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.6859130859375
0:00:01.453191: Frequency: 0.12368564307689667, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.75048828125
0:00:01.546810: Frequency: 0.11780039966106415, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.824462890625
0:00:01.640559: Frequency: 0.11213862150907516, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.8956298828125
0:00:01.734286: Frequency: 0.10674864053726196, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 960.9633178710938
0:00:01.843818: Frequency: 0.1016177162528038, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.0277709960938
0:00:01.921807: Frequency: 0.09756270051002502, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.0787353515625
0:00:02.015557: Frequency: 0.0929204523563385, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.1370239257812
0:00:02.109307: Frequency: 0.08849909156560898, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.1925659179688
0:00:02.203030: Frequency: 0.0842881053686142, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.2454833984375
0:00:02.296947: Frequency: 0.08096569776535034, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.2872314453125
0:00:02.390559: Frequency: 0.07699678838253021, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.3370971679688
0:00:02.484285: Frequency: 0.07325870543718338, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.3840942382812
0:00:02.578087: Frequency: 0.0697374939918518, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.4282836914062
0:00:02.671953: Frequency: 0.06702262908220291, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.4623413085938
0:00:02.765560: Frequency: 0.06383353471755981, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.5025024414062
0:00:02.859309: Frequency: 0.06076553836464882, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.5410766601562
0:00:02.953037: Frequency: 0.0578741654753685, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.577392578125
0:00:03.062569: Frequency: 0.055064450949430466, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.6127319335938
0:00:03.140722: Frequency: 0.05289396271109581, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.6399536132812
0:00:03.234308: Frequency: 0.05042826756834984, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.6709594726562
0:00:03.328059: Frequency: 0.048028916120529175, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.7011108398438
0:00:03.421807: Frequency: 0.04574359208345413, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.7297973632812
0:00:03.515540: Frequency: 0.04356700927019119, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.7572021484375
0:00:03.609494: Frequency: 0.04182848334312439, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.779052734375
0:00:03.703214: Frequency: 0.039838191121816635, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.8040771484375
0:00:03.796810: Frequency: 0.03794260323047638, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.8279418945312
0:00:03.890560: Frequency: 0.036137212067842484, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.8505859375
0:00:04.000074: Frequency: 0.03440025821328163, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.8724365234375
0:00:04.078234: Frequency: 0.03304429352283478, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.8894653320312
0:00:04.171810: Frequency: 0.03147197514772415, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9093017578125
0:00:04.265559: Frequency: 0.02995934523642063, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9282836914062
0:00:04.359310: Frequency: 0.0285338144749403, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9461669921875
0:00:04.453035: Frequency: 0.027176113799214363, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9631958007812
0:00:04.546913: Frequency: 0.02610490843653679, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9766235351562
0:00:04.640559: Frequency: 0.024862777441740036, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 961.9922485351562
0:00:04.734308: Frequency: 0.0236557237803936, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0073852539062
0:00:04.828037: Frequency: 0.02253013476729393, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0215454101562
0:00:04.921995: Frequency: 0.021620098501443863, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.032958984375
0:00:05.000072: Frequency: 0.02060181461274624, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0457153320312
0:00:05.109277: Frequency: 0.019621534273028374, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.05810546875
0:00:05.203059: Frequency: 0.0186878964304924, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0698852539062
0:00:05.296782: Frequency: 0.017798686400055885, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0810546875
0:00:05.406361: Frequency: 0.01695178635418415, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.0916748046875
0:00:05.484427: Frequency: 0.016275331377983093, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1001586914062
0:00:05.578058: Frequency: 0.015500915236771107, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1099243164062
0:00:05.671809: Frequency: 0.014748414978384972, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1193237304688
0:00:05.781322: Frequency: 0.014039568603038788, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.128173828125
0:00:05.859489: Frequency: 0.013479324989020824, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1351928710938
0:00:05.953059: Frequency: 0.012837984599173069, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1432495117188
0:00:06.046809: Frequency: 0.012227125465869904, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1509399414062
0:00:06.140536: Frequency: 0.011633554473519325, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.158447265625
0:00:06.234494: Frequency: 0.011169356293976307, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.164306640625
0:00:06.328059: Frequency: 0.01063789427280426, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1709594726562
0:00:06.421810: Frequency: 0.010126578621566296, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1773681640625
0:00:06.515535: Frequency: 0.009639840573072433, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1834106445312
0:00:06.609442: Frequency: 0.009250468574464321, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1882934570312
0:00:06.703059: Frequency: 0.008801400661468506, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1939697265625
0:00:06.796808: Frequency: 0.008378383703529835, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.1992797851562
0:00:06.906318: Frequency: 0.00797569751739502, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2042846679688
0:00:06.984446: Frequency: 0.0076574296690523624, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2083740234375
0:00:07.078059: Frequency: 0.0072893719188869, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2130126953125
0:00:07.171808: Frequency: 0.006939005106687546, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2174072265625
0:00:07.250013: Frequency: 0.006658724509179592, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.220947265625
0:00:07.359436: Frequency: 0.006338669452816248, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2249145507812
0:00:07.453057: Frequency: 0.006030956283211708, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2288208007812
0:00:07.546785: Frequency: 0.0057439906522631645, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2323608398438
0:00:07.656325: Frequency: 0.005465145688503981, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2359008789062
0:00:07.734309: Frequency: 0.0052497247233986855, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.238525390625
0:00:07.828058: Frequency: 0.004997394513338804, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.24169921875
0:00:07.921786: Frequency: 0.004754794295877218, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2447509765625
0:00:08.015735: Frequency: 0.004565055947750807, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2471313476562
0:00:08.109309: Frequency: 0.004345634486526251, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2499389648438
0:00:08.203059: Frequency: 0.0041367593221366405, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.25244140625
0:00:08.296819: Frequency: 0.003937924280762672, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2549438476562
0:00:08.390741: Frequency: 0.003778876271098852, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2569580078125
0:00:08.484309: Frequency: 0.003597254166379571, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2591552734375
0:00:08.578059: Frequency: 0.0034243508707731962, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2612915039062
0:00:08.671784: Frequency: 0.003259757999330759, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.263427734375
0:00:08.765734: Frequency: 0.0031296787783503532, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.26513671875
0:00:08.859309: Frequency: 0.0029792494606226683, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2669677734375
0:00:08.953059: Frequency: 0.002836059546098113, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2687377929688
0:00:09.046785: Frequency: 0.0026997430250048637, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2705078125
0:00:09.140694: Frequency: 0.00259070354513824, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2719116210938
0:00:09.234308: Frequency: 0.002467432292178273, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2733764648438
0:00:09.328058: Frequency: 0.0023488414008170366, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2747802734375
0:00:09.421786: Frequency: 0.002235943451523781, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2761840820312
0:00:09.515735: Frequency: 0.0021284783724695444, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.277587890625
0:00:09.609309: Frequency: 0.002044585533440113, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2786865234375
0:00:09.703059: Frequency: 0.0019472993444651365, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2798461914062
0:00:09.796791: Frequency: 0.0018537015421316028, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2809448242188
0:00:09.906371: Frequency: 0.0017637127311900258, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2820434570312
0:00:09.984405: Frequency: 0.0016933376900851727, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2828979492188
0:00:10.078059: Frequency: 0.0016119516221806407, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.283935546875
0:00:10.156252: Frequency: 0.0015336987562477589, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2849731445312
0:00:10.281313: Frequency: 0.001461466890759766, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2859497070312
0:00:10.343857: Frequency: 0.0014031518949195743, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.28662109375
0:00:10.453059: Frequency: 0.0013357129646465182, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2874145507812
0:00:10.546810: Frequency: 0.0012715152697637677, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2881469726562
0:00:10.656322: Frequency: 0.0012103994376957417, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2888793945312
0:00:10.734292: Frequency: 0.00116209895350039, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2894897460938
0:00:10.828188: Frequency: 0.0011062455596402287, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2901611328125
0:00:10.921809: Frequency: 0.0010536110494285822, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2908325195312
0:00:11.015573: Frequency: 0.00100296875461936, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.29150390625
0:00:11.109430: Frequency: 0.0009624569211155176, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2920532226562
0:00:11.203058: Frequency: 0.0009161988273262978, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.292724609375
0:00:11.296808: Frequency: 0.0008726039668545127, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2933959960938
0:00:11.390552: Frequency: 0.0008306644158437848, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2939453125
0:00:11.484441: Frequency: 0.0007975170738063753, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2943115234375
0:00:11.562560: Frequency: 0.0007591840112581849, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.294677734375
0:00:11.671808: Frequency: 0.000723060336895287, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 962.2950439453125
