0:00:00.093850: {Acceleration: {Time: 41, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 15, Status: 3, Value: (0.0,0.0078125,0.01953125)},Magnetic: {Time: 29, Status: 0, Value: (-23.125,-8.4375,-37.4375)},Gravity: {Time: 13, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 44, Status: 0, Value: (-0.03448486328125,-0.07275390625,-0.44451904296875, 0.89215087890625)}}
0:00:00.187559: {Acceleration: {Time: 138, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 131, Status: 3, Value: (0.0,-0.03125,0.01953125)},Magnetic: {Time: 134, Status: 0, Value: (-23.8125,-9.5,-37.8125)},Gravity: {Time: 128, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 140, Status: 0, Value: (-0.03448486328125,-0.07275390625,-0.44451904296875, 0.89215087890625)}}
0:00:00.281335: {Acceleration: {Time: 233, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 238, Status: 3, Value: (0.0,0.0078125,-0.01953125)},Magnetic: {Time: 134, Status: 0, Value: (-23.8125,-9.5,-37.8125)},Gravity: {Time: 236, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 229, Status: 0, Value: (-0.03448486328125,-0.07275390625,-0.44451904296875, 0.89215087890625)}}
0:00:00.390642: {Acceleration: {Time: 337, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 296, Status: 3, Value: (0.0,0.0078125,-0.01953125)},Magnetic: {Time: 299, Status: 0, Value: (-23.5,-9.125,-37.8125)},Gravity: {Time: 340, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 333, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.468650: {Acceleration: {Time: 430, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 422, Status: 3, Value: (-0.0390625,0.0078125,0.01953125)},Magnetic: {Time: 425, Status: 0, Value: (-23.125,-9.875,-37.8125)},Gravity: {Time: 419, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 432, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.578176: {Acceleration: {Time: 522, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 531, Status: 3, Value: (0.0,0.0078125,0.01953125)},Magnetic: {Time: 467, Status: 0, Value: (-24.5625,-8.4375,-37.8125)},Gravity: {Time: 528, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 525, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.671965: {Acceleration: {Time: 628, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 591, Status: 3, Value: (-0.0390625,0.0078125,-0.01953125)},Magnetic: {Time: 594, Status: 0, Value: (-22.75,-9.5,-37.4375)},Gravity: {Time: 631, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 624, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.750015: {Acceleration: {Time: 703, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 687, Status: 3, Value: (-0.0390625,0.0078125,0.01953125)},Magnetic: {Time: 690, Status: 0, Value: (-23.5,-9.125,-38.625)},Gravity: {Time: 673, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 698, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.843778: {Acceleration: {Time: 798, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 761, Status: 3, Value: (0.0,-0.03125,-0.01953125)},Magnetic: {Time: 736, Status: 0, Value: (-22.75,-9.875,-37.4375)},Gravity: {Time: 758, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 801, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:00.937491: {Acceleration: {Time: 892, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 901, Status: 3, Value: (-0.03125,0.0,-0.01953125)},Magnetic: {Time: 836, Status: 0, Value: (-24.1875,-9.125,-37.8125)},Gravity: {Time: 897, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 894, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.046932: {Acceleration: {Time: 997, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 957, Status: 3, Value: (0.0078125,0.0,-0.02734375)},Magnetic: {Time: 960, Status: 0, Value: (-24.1875,-8.8125,-38.1875)},Gravity: {Time: 943, Status: 3, Value: (1.5625,0.0390625,9.640625)}, Rotation: {Time: 1000, Status: 0, Value: (-0.034423828125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
