0:00:00.124980: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 98.99986267089844, Phase Shift: 0.03344285488128662, Phase: 9484.296875
0:00:00.202931: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 98.61260223388672, Phase Shift: 0.03059619851410389, Phase: 9484.296875
0:00:00.296683: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 98.2293930053711, Phase Shift: 0.02790437452495098, Phase: 9484.296875
0:00:00.390600: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 97.86323547363281, Phase Shift: 0.025449460372328758, Phase: 9484.296875
0:00:00.515404: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 97.3518295288086, Phase Shift: 0.022212466225028038, Phase: 9484.296875
0:00:00.609186: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 97.02830505371094, Phase Shift: 0.020279403775930405, Phase: 9484.296875
0:00:00.702927: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 96.71556091308594, Phase Shift: 0.018494999036192894, Phase: 9484.296875
0:00:00.781074: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 96.41671752929688, Phase Shift: 0.016867440193891525, Phase: 9484.296875
0:00:00.874779: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 96.12492370605469, Phase Shift: 0.015351176261901855, Phase: 9484.296875
0:00:00.968560: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 95.8523941040039, Phase Shift: 0.014000595547258854, Phase: 9484.296875
0:00:01.062301: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 95.58912658691406, Phase Shift: 0.012755438685417175, Phase: 9484.296875
0:00:01.140478: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 95.34587860107422, Phase Shift: 0.011657335795462132, Phase: 9484.296875
0:00:01.234180: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 95.10801696777344, Phase Shift: 0.010631769895553589, Phase: 9484.296875
0:00:01.327934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 94.88072204589844, Phase Shift: 0.009696269407868385, Phase: 9484.296875
0:00:01.421846: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 94.66832733154297, Phase Shift: 0.008861759677529335, Phase: 9484.296875
0:00:01.546655: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 94.36248016357422, Phase Shift: 0.0077264984138309956, Phase: 9484.296875
0:00:01.624931: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 94.16621398925781, Phase Shift: 0.0070391492918133736, Phase: 9484.296875
0:00:01.734317: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.98695373535156, Phase Shift: 0.006440061144530773, Phase: 9484.296875
0:00:01.812279: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.8095474243164, Phase Shift: 0.005873438902199268, Phase: 9484.296875
0:00:01.906059: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.6456298828125, Phase Shift: 0.00537352729588747, Phase: 9484.296875
0:00:01.984153: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.48876190185547, Phase Shift: 0.004916132893413305, Phase: 9484.296875
0:00:02.077933: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.3352279663086, Phase Shift: 0.004488272126764059, Phase: 9484.296875
0:00:02.171676: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.1852035522461, Phase Shift: 0.004089121241122484, Phase: 9484.296875
0:00:02.265605: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 93.0434799194336, Phase Shift: 0.0037293643690645695, Phase: 9484.296875
0:00:02.390434: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.84989166259766, Phase Shift: 0.003265190403908491, Phase: 9484.296875
0:00:02.484176: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.72308349609375, Phase Shift: 0.002977935131639242, Phase: 9484.296875
0:00:02.562359: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.6032485961914, Phase Shift: 0.0027187594678252935, Phase: 9484.296875
0:00:02.656060: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.48869323730469, Phase Shift: 0.0024821676779538393, Phase: 9484.296875
0:00:02.734336: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.38160705566406, Phase Shift: 0.002270900411531329, Phase: 9484.296875
0:00:02.827934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.2802963256836, Phase Shift: 0.0020797927863895893, Phase: 9484.296875
0:00:02.921675: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.17882537841797, Phase Shift: 0.0018967898795381188, Phase: 9484.296875
0:00:03.015596: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 92.08187866210938, Phase Shift: 0.0017299122409895062, Phase: 9484.296875
0:00:03.140435: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.95045471191406, Phase Shift: 0.0015162051422521472, Phase: 9484.296875
0:00:03.234183: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.86175537109375, Phase Shift: 0.0013798846630379558, Phase: 9484.296875
0:00:03.328092: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.7789077758789, Phase Shift: 0.0012584672076627612, Phase: 9484.296875
0:00:03.406081: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.69888305664062, Phase Shift: 0.001146544236689806, Phase: 9484.296875
0:00:03.499778: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.62245178222656, Phase Shift: 0.001044547650963068, Phase: 9484.296875
0:00:03.593559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.5510482788086, Phase Shift: 0.0009536385186947882, Phase: 9484.296875
0:00:03.687343: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.48202514648438, Phase Shift: 0.0008697268785908818, Phase: 9484.296875
0:00:03.749962: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.41608428955078, Phase Shift: 0.0007932117441669106, Phase: 9484.296875
0:00:03.859183: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.35445404052734, Phase Shift: 0.0007249320624396205, Phase: 9484.296875
0:00:03.952934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.29352569580078, Phase Shift: 0.0006604493246413767, Phase: 9484.296875
0:00:04.046684: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.23471069335938, Phase Shift: 0.0006010848446749151, Phase: 9484.296875
