0:00:00.085534: Frequency: 0.0, Amplitude: 89.99976348876953, Offset: 8.688050478813866e-44, Phase Shift: 1.3227442502975464, Phase: 9629.197265625
0:00:00.189232: Frequency: 0.0, Amplitude: 81.05451202392578, Offset: 4.574967861175537, Phase Shift: 1.1912742853164673, Phase: 9629.8525390625
0:00:00.292969: Frequency: 0.0, Amplitude: 73.07231140136719, Offset: 8.876569747924805, Phase Shift: 1.073958396911621, Phase: 9630.5009765625
0:00:00.396673: Frequency: 0.0, Amplitude: 65.80931854248047, Offset: 13.000372886657715, Phase Shift: 0.9672128558158875, Phase: 9631.1552734375
0:00:00.500433: Frequency: 0.0, Amplitude: 59.268226623535156, Offset: 16.914546966552734, Phase Shift: 0.8710770010948181, Phase: 9631.8095703125
0:00:00.591544: Frequency: 0.0, Amplitude: 54.08049392700195, Offset: 20.17584228515625, Phase Shift: 0.7948319315910339, Phase: 9632.3828125
0:00:00.695294: Frequency: 0.0, Amplitude: 48.70518112182617, Offset: 23.725265502929688, Phase Shift: 0.7158299684524536, Phase: 9633.037109375
0:00:00.798974: Frequency: 0.0, Amplitude: 43.86415481567383, Offset: 27.094253540039062, Phase Shift: 0.6446802616119385, Phase: 9633.69140625
0:00:00.902739: Frequency: 0.0, Amplitude: 39.504417419433594, Offset: 30.29193878173828, Phase Shift: 0.5806042551994324, Phase: 9634.3466796875
0:00:00.993801: Frequency: 0.0, Amplitude: 36.04660415649414, Offset: 32.956295013427734, Phase Shift: 0.529784083366394, Phase: 9634.919921875
0:00:01.097489: Frequency: 0.0, Amplitude: 32.46385955810547, Offset: 35.855995178222656, Phase Shift: 0.4771278202533722, Phase: 9635.5751953125
0:00:01.201159: Frequency: 0.0, Amplitude: 29.23721694946289, Offset: 38.60829544067383, Phase Shift: 0.4297052025794983, Phase: 9636.23046875
0:00:01.305009: Frequency: 0.0, Amplitude: 26.331275939941406, Offset: 41.22068786621094, Phase Shift: 0.38699600100517273, Phase: 9636.8857421875
0:00:01.408718: Frequency: 0.0, Amplitude: 23.714162826538086, Offset: 43.700286865234375, Phase Shift: 0.3485317826271057, Phase: 9637.541015625
0:00:01.499765: Frequency: 0.0, Amplitude: 21.638465881347656, Offset: 45.76631546020508, Phase Shift: 0.3180249035358429, Phase: 9638.1142578125
0:00:01.603461: Frequency: 0.0, Amplitude: 19.48777961730957, Offset: 48.01484680175781, Phase Shift: 0.28641584515571594, Phase: 9638.76953125
0:00:01.707189: Frequency: 0.0, Amplitude: 17.56863784790039, Offset: 50.12902069091797, Phase Shift: 0.25820979475975037, Phase: 9639.41796875
0:00:01.811006: Frequency: 0.0, Amplitude: 15.822408676147461, Offset: 52.15581130981445, Phase Shift: 0.2325451374053955, Phase: 9640.072265625
0:00:01.902074: Frequency: 0.0, Amplitude: 14.437433242797852, Offset: 53.84456253051758, Phase Shift: 0.21218988299369812, Phase: 9640.64453125
0:00:02.005731: Frequency: 0.0, Amplitude: 13.002429962158203, Offset: 55.68247985839844, Phase Shift: 0.1910993605852127, Phase: 9641.298828125
0:00:02.109433: Frequency: 0.0, Amplitude: 11.710057258605957, Offset: 57.426963806152344, Phase Shift: 0.17210513353347778, Phase: 9641.953125
0:00:02.213122: Frequency: 0.0, Amplitude: 10.546174049377441, Offset: 59.08274841308594, Phase Shift: 0.1549992859363556, Phase: 9642.6083984375
0:00:02.304288: Frequency: 0.0, Amplitude: 9.623068809509277, Offset: 60.462371826171875, Phase Shift: 0.1414322406053543, Phase: 9643.181640625
0:00:02.408000: Frequency: 0.0, Amplitude: 8.666614532470703, Offset: 61.9638557434082, Phase Shift: 0.1273750215768814, Phase: 9643.8369140625
0:00:02.511740: Frequency: 0.0, Amplitude: 7.805222988128662, Offset: 63.389015197753906, Phase Shift: 0.11471498012542725, Phase: 9644.4921875
0:00:02.615410: Frequency: 0.0, Amplitude: 7.02944803237915, Offset: 64.74172973632812, Phase Shift: 0.10331325232982635, Phase: 9645.1474609375
0:00:02.706627: Frequency: 0.0, Amplitude: 6.414163112640381, Offset: 65.86883544921875, Phase Shift: 0.09427027404308319, Phase: 9645.720703125
