0:00:00.096914: Frequency: 0.0, Amplitude: 1.4356218689099891e-39, Offset: 89.99952697753906, Phase Shift: 2.109935097733877e-41, Phase: 10216.8955078125
0:00:00.200602: Frequency: 0.0, Amplitude: 1.292931850183186e-39, Offset: 89.99952697753906, Phase Shift: 1.9000205877780195e-41, Phase: 10217.55078125
0:00:00.304372: Frequency: 0.0, Amplitude: 1.1644257745122786e-39, Offset: 89.99952697753906, Phase Shift: 1.7112656846334666e-41, Phase: 10218.2060546875
0:00:00.408128: Frequency: 0.0, Amplitude: 1.048692534343692e-39, Offset: 89.99952697753906, Phase Shift: 1.5411480510644338e-41, Phase: 10218.861328125
0:00:00.511922: Frequency: 0.0, Amplitude: 9.444611519702835e-40, Offset: 89.99952697753906, Phase Shift: 1.3881262587601638e-41, Phase: 10219.5166015625
0:00:00.603136: Frequency: 0.0, Amplitude: 8.617915490674409e-40, Offset: 89.99952697753906, Phase Shift: 1.2664935520567697e-41, Phase: 10220.08984375
0:00:00.706927: Frequency: 0.0, Amplitude: 7.761357791371221e-40, Offset: 89.99952697753906, Phase Shift: 1.1406569499604011e-41, Phase: 10220.7451171875
0:00:00.810790: Frequency: 0.0, Amplitude: 6.989942986760409e-40, Offset: 89.99952697753906, Phase Shift: 1.0272919041965234e-41, Phase: 10221.400390625
0:00:00.914529: Frequency: 0.0, Amplitude: 6.2952072341174515e-40, Offset: 89.99952697753906, Phase Shift: 9.251372461472442e-42, Phase: 10222.0556640625
0:00:01.018341: Frequency: 0.0, Amplitude: 5.675258780515509e-40, Offset: 89.99952697753906, Phase Shift: 8.341929758125636e-42, Phase: 10222.7041015625
0:00:01.109430: Frequency: 0.0, Amplitude: 5.1732436056711434e-40, Offset: 89.99952697753906, Phase Shift: 7.606248064355107e-42, Phase: 10223.283203125
0:00:01.213235: Frequency: 0.0, Amplitude: 4.659065160156438e-40, Offset: 89.99952697753906, Phase Shift: 6.850948192084031e-42, Phase: 10223.9384765625
0:00:01.316972: Frequency: 0.0, Amplitude: 4.195992069635659e-40, Offset: 89.99952697753906, Phase Shift: 6.16991713842217e-42, Phase: 10224.59375
0:00:01.420828: Frequency: 0.0, Amplitude: 3.782763165490914e-40, Offset: 89.99952697753906, Phase Shift: 5.561753604905199e-42, Phase: 10225.2421875
0:00:01.511964: Frequency: 0.0, Amplitude: 3.448147105194791e-40, Offset: 89.99952697753906, Phase Shift: 5.0684965454628633e-42, Phase: 10225.8212890625
