0:00:00.038494: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19798.771484375
0:00:00.129997: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19799.3515625
0:00:00.234159: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19800.0078125
0:00:00.338707: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19800.6640625
0:00:00.442042: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19801.3203125
0:00:00.546540: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19801.982421875
0:00:00.650695: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19802.638671875
0:00:00.742327: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19803.212890625
0:00:00.845914: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19803.875
0:00:00.950526: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19804.53125
0:00:01.054709: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19805.1875
0:00:01.158682: Frequency: 0.4000000059604645, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.203895392974451e-44, Phase: 19805.84375
0:00:01.262711: Frequency: 0.4000000059604645, Amplitude: 4.0637655465419695e-44, Offset: 89.99955749511719, Phase Shift: 4.0637655465419695e-44, Phase: 19806.48046875
0:00:01.367138: Frequency: 0.4000000059604645, Amplitude: 3.923635700109488e-44, Offset: 89.99956512451172, Phase Shift: 3.923635700109488e-44, Phase: 19807.13671875
0:00:01.459638: Frequency: 0.550000011920929, Amplitude: 3.783505853677006e-44, Offset: 89.99958038330078, Phase Shift: 3.783505853677006e-44, Phase: 19807.71484375
0:00:01.564196: Frequency: 0.8500000238418579, Amplitude: 3.6433760072445244e-44, Offset: 89.99958801269531, Phase Shift: 3.6433760072445244e-44, Phase: 19808.376953125
0:00:01.673848: Frequency: 1.0, Amplitude: 3.5032461608120427e-44, Offset: 89.99959564208984, Phase Shift: 3.5032461608120427e-44, Phase: 19809.0625
0:00:01.766002: Frequency: 1.0, Amplitude: 3.363116314379561e-44, Offset: 89.99960327148438, Phase Shift: 3.363116314379561e-44, Phase: 19809.6484375
0:00:01.875759: Frequency: 1.0, Amplitude: 3.363116314379561e-44, Offset: 89.9996109008789, Phase Shift: 3.363116314379561e-44, Phase: 19810.33984375
0:00:01.967947: Frequency: 1.0, Amplitude: 3.363116314379561e-44, Offset: 89.99961853027344, Phase Shift: 3.363116314379561e-44, Phase: 19810.91796875
0:00:02.078223: Frequency: 0.550000011920929, Amplitude: 3.2229864679470793e-44, Offset: 89.99962615966797, Phase Shift: 3.2229864679470793e-44, Phase: 19811.611328125
0:00:02.170339: Frequency: 0.5, Amplitude: 3.2229864679470793e-44, Offset: 89.99962615966797, Phase Shift: 3.2229864679470793e-44, Phase: 19812.189453125
0:00:02.274729: Frequency: 0.44999998807907104, Amplitude: 3.2229864679470793e-44, Offset: 89.9996337890625, Phase Shift: 3.2229864679470793e-44, Phase: 19812.859375
0:00:02.366682: Frequency: 0.3499999940395355, Amplitude: 3.2229864679470793e-44, Offset: 89.9996337890625, Phase Shift: 3.2229864679470793e-44, Phase: 19813.431640625
0:00:02.472906: Frequency: 0.25, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19814.107421875
0:00:02.577461: Frequency: 0.15000000596046448, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19814.76953125
0:00:02.681688: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19815.423828125
0:00:02.786189: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19816.111328125
0:00:02.877159: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19816.69140625
0:00:02.981073: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19817.34765625
0:00:03.085636: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19818.00390625
0:00:03.189948: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19818.66015625
0:00:03.293719: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19819.31640625
0:00:03.385260: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19819.896484375
0:00:03.488746: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19820.552734375
0:00:03.593034: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19821.208984375
0:00:03.697051: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19821.865234375
0:00:03.801131: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19822.52734375
0:00:03.892519: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19823.1015625
0:00:03.996515: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19823.7578125
0:00:04.101286: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19824.419921875
0:00:04.204805: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19825.076171875
0:00:04.296168: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19825.650390625
0:00:04.400403: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19826.3125
0:00:04.504209: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19826.96875
0:00:04.609796: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19827.625
0:00:04.713205: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19828.287109375
0:00:04.805041: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19828.861328125
0:00:04.908905: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19829.5234375
0:00:05.012790: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19830.1796875
0:00:05.117371: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19830.8359375
0:00:05.221036: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19831.4921875
0:00:05.326073: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19832.154296875
0:00:05.417077: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19832.734375
0:00:05.520971: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19833.390625
0:00:05.625238: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19834.046875
0:00:05.729684: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19834.703125
0:00:05.820755: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19835.283203125
0:00:05.924686: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19835.939453125
0:00:06.028910: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19836.595703125
0:00:06.133229: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19837.251953125
0:00:06.236797: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19837.908203125
0:00:06.341096: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19838.5703125
0:00:06.445213: Frequency: 0.0, Amplitude: 3.2229864679470793e-44, Offset: 89.99964141845703, Phase Shift: 3.2229864679470793e-44, Phase: 19839.2265625
