0:00:00.041136: {Acceleration: {Time: 15, Status: 0, Value: (0.0078125,0.005859375,0.001953125)},Gyroscope: {Time: 23038, Status: 3, Value: (-0.04296875,-0.01171875,0.02734375)},Magnetic: {Time: 23041, Status: 2, Value: (-3.375,-17.5,-19.125)},Gravity: {Time: 23034, Status: 3, Value: (0.3125,0.125,9.625)}, Rotation: {Time: 12, Status: 0, Value: (-0.01458740234375,-0.00848388671875,-0.99603271484375, 0.08740234375)}}
0:00:00.128471: {Acceleration: {Time: 103, Status: 0, Value: (-0.009765625,-0.0078125,0.001953125)},Gyroscope: {Time: 63, Status: 3, Value: (-0.0078125,-0.01171875,0.02734375)},Magnetic: {Time: 66, Status: 2, Value: (-3.4375,-16.25,-19.3125)},Gravity: {Time: 60, Status: 3, Value: (0.3125,0.125,9.625)}, Rotation: {Time: 97, Status: 0, Value: (-0.01446533203125,-0.0086669921875,-0.99603271484375, 0.08734130859375)}}
0:00:00.239171: {Acceleration: {Time: 205, Status: 0, Value: (-0.005859375,-0.005859375,-0.001953125)},Gyroscope: {Time: 213, Status: 3, Value: (-0.05078125,0.03515625,-0.0546875)},Magnetic: {Time: 153, Status: 2, Value: (-3.6875,-17.25,-20.125)},Gravity: {Time: 211, Status: 3, Value: (0.3203125,0.1171875,9.6328125)}, Rotation: {Time: 208, Status: 0, Value: (-0.0145263671875,-0.00872802734375,-0.99603271484375, 0.08734130859375)}}
0:00:00.324485: {Acceleration: {Time: 299, Status: 0, Value: (-0.009765625,-0.0078125,0.0)},Gyroscope: {Time: 261, Status: 3, Value: (-0.015625,-0.00390625,0.01953125)},Magnetic: {Time: 265, Status: 2, Value: (-3.1875,-17.9375,-20.1875)},Gravity: {Time: 258, Status: 3, Value: (0.3203125,0.1171875,9.6328125)}, Rotation: {Time: 295, Status: 0, Value: (-0.0146484375,-0.00860595703125,-0.99603271484375, 0.08734130859375)}}
0:00:00.440074: {Acceleration: {Time: 412, Status: 0, Value: (-0.0234375,-0.017578125,0.0)},Gyroscope: {Time: 347, Status: 3, Value: (0.0234375,-0.00390625,-0.046875)},Magnetic: {Time: 349, Status: 2, Value: (-3.1875,-18.25,-19.875)},Gravity: {Time: 414, Status: 3, Value: (0.3125,0.125,9.625)}, Rotation: {Time: 407, Status: 0, Value: (-0.014404296875,-0.0089111328125,-0.99603271484375, 0.08734130859375)}}
0:00:00.537572: {Acceleration: {Time: 508, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 471, Status: 3, Value: (0.0234375,-0.00390625,-0.046875)},Magnetic: {Time: 448, Status: 2, Value: (-3.625,-17.875,-20.125)},Gravity: {Time: 468, Status: 3, Value: (0.3203125,0.1171875,9.625)}, Rotation: {Time: 512, Status: 0, Value: (-0.0145263671875,-0.00872802734375,-0.99603271484375, 0.08734130859375)}}
0:00:00.646471: {Acceleration: {Time: 609, Status: 0, Value: (-0.0078125,-0.00390625,-0.001953125)},Gyroscope: {Time: 615, Status: 3, Value: (-0.015625,-0.01171875,-0.046875)},Magnetic: {Time: 617, Status: 2, Value: (-3.6875,-17.25,-19.75)},Gravity: {Time: 612, Status: 3, Value: (0.3203125,0.125,9.625)}, Rotation: {Time: 621, Status: 0, Value: (-0.0145263671875,-0.0086669921875,-0.99603271484375, 0.08734130859375)}}
0:00:00.731793: {Acceleration: {Time: 704, Status: 0, Value: (-0.015625,-0.013671875,0.001953125)},Gyroscope: {Time: 678, Status: 3, Value: (0.015625,-0.0390625,0.03515625)},Magnetic: {Time: 692, Status: 2, Value: (-3.1875,-17.625,-20.625)},Gravity: {Time: 676, Status: 3, Value: (0.328125,0.1171875,9.6171875)}, Rotation: {Time: 706, Status: 0, Value: (-0.01470947265625,-0.00848388671875,-0.99603271484375, 0.08740234375)}}
0:00:00.841427: {Acceleration: {Time: 814, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 780, Status: 3, Value: (-0.0234375,-0.00390625,-0.01171875)},Magnetic: {Time: 783, Status: 2, Value: (-3.625,-17.5625,-20.125)},Gravity: {Time: 776, Status: 3, Value: (0.328125,0.1171875,9.625)}, Rotation: {Time: 816, Status: 0, Value: (-0.01495361328125,-0.00823974609375,-0.99603271484375, 0.08734130859375)}}
0:00:00.927746: {Acceleration: {Time: 894, Status: 0, Value: (-0.005859375,-0.00390625,0.0)},Gyroscope: {Time: 902, Status: 3, Value: (0.015625,-0.00390625,-0.01171875)},Magnetic: {Time: 839, Status: 2, Value: (-4.1875,-16.875,-19.6875)},Gravity: {Time: 899, Status: 3, Value: (0.328125,0.1171875,9.625)}, Rotation: {Time: 897, Status: 0, Value: (-0.014892578125,-0.00823974609375,-0.99603271484375, 0.08734130859375)}}
0:00:01.055080: {Acceleration: {Time: 1027, Status: 0, Value: (0.005859375,0.001953125,0.0)},Gyroscope: {Time: 1001, Status: 3, Value: (0.015625,-0.00390625,-0.01171875)},Magnetic: {Time: 1015, Status: 2, Value: (-2.875,-17.0,-19.875)},Gravity: {Time: 998, Status: 3, Value: (0.328125,0.1171875,9.625)}, Rotation: {Time: 1030, Status: 0, Value: (-0.01495361328125,-0.00823974609375,-0.99603271484375, 0.08740234375)}}
0:00:01.141384: {Acceleration: {Time: 1107, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 1116, Status: 3, Value: (0.0234375,-0.00390625,0.03515625)},Magnetic: {Time: 1079, Status: 2, Value: (-2.625,-18.6875,-20.6875)},Gravity: {Time: 1114, Status: 3, Value: (0.3203125,0.1171875,9.6171875)}, Rotation: {Time: 1109, Status: 0, Value: (-0.01483154296875,-0.0084228515625,-0.99603271484375, 0.08734130859375)}}
0:00:01.233609: {Acceleration: {Time: 1208, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1176, Status: 3, Value: (-0.0234375,-0.00390625,-0.046875)},Magnetic: {Time: 1179, Status: 2, Value: (-3.125,-17.625,-20.9375)},Gravity: {Time: 1174, Status: 3, Value: (0.328125,0.1171875,9.625)}, Rotation: {Time: 1205, Status: 0, Value: (-0.014892578125,-0.00836181640625,-0.99603271484375, 0.08740234375)}}
0:00:01.346157: {Acceleration: {Time: 1321, Status: 0, Value: (-0.001953125,-0.00390625,0.00390625)},Gyroscope: {Time: 1284, Status: 3, Value: (-0.015625,-0.00390625,-0.00390625)},Magnetic: {Time: 1286, Status: 2, Value: (-2.75,-18.3125,-20.3125)},Gravity: {Time: 1280, Status: 3, Value: (0.3203125,0.1171875,9.6171875)}, Rotation: {Time: 1317, Status: 0, Value: (-0.01495361328125,-0.00830078125,-0.99603271484375, 0.08740234375)}}
0:00:01.441759: {Acceleration: {Time: 1409, Status: 0, Value: (-0.00390625,-0.00390625,0.001953125)},Gyroscope: {Time: 1417, Status: 3, Value: (0.0234375,-0.0390625,-0.00390625)},Magnetic: {Time: 1355, Status: 2, Value: (-3.5625,-17.5625,-20.5625)},Gravity: {Time: 1414, Status: 3, Value: (0.3203125,0.1171875,9.6171875)}, Rotation: {Time: 1412, Status: 0, Value: (-0.01507568359375,-0.00830078125,-0.99603271484375, 0.0875244140625)}}
0:00:01.539608: {Acceleration: {Time: 1514, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1485, Status: 3, Value: (0.0234375,-0.00390625,0.03515625)},Magnetic: {Time: 1499, Status: 2, Value: (-4.0,-17.25,-20.5)},Gravity: {Time: 1483, Status: 3, Value: (0.3203125,0.1171875,9.6171875)}, Rotation: {Time: 1510, Status: 0, Value: (-0.01513671875,-0.00836181640625,-0.99603271484375, 0.0875244140625)}}
0:00:01.636465: {Acceleration: {Time: 1609, Status: 0, Value: (-0.009765625,-0.00390625,0.001953125)},Gyroscope: {Time: 1582, Status: 3, Value: (0.0234375,-0.01171875,0.03515625)},Magnetic: {Time: 1596, Status: 2, Value: (-2.8125,-17.625,-19.875)},Gravity: {Time: 1579, Status: 3, Value: (0.3203125,0.125,9.6171875)}, Rotation: {Time: 1611, Status: 0, Value: (-0.01507568359375,-0.0084228515625,-0.99603271484375, 0.0875244140625)}}
0:00:01.750089: {Acceleration: {Time: 1723, Status: 0, Value: (-0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 1696, Status: 3, Value: (0.0234375,0.00390625,-0.00390625)},Magnetic: {Time: 1710, Status: 2, Value: (-3.625,-16.9375,-20.5)},Gravity: {Time: 1693, Status: 3, Value: (0.3203125,0.109375,9.6171875)}, Rotation: {Time: 1725, Status: 0, Value: (-0.015380859375,-0.008056640625,-0.99603271484375, 0.08740234375)}}
0:00:01.858940: {Acceleration: {Time: 1832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1824, Status: 3, Value: (0.0625,0.00390625,-0.01171875)},Magnetic: {Time: 1827, Status: 2, Value: (-3.1875,-17.5625,-20.25)},Gravity: {Time: 1821, Status: 3, Value: (0.3203125,0.109375,9.625)}, Rotation: {Time: 1834, Status: 0, Value: (-0.01544189453125,-0.00799560546875,-0.99603271484375, 0.08740234375)}}
0:00:01.945275: {Acceleration: {Time: 1918, Status: 0, Value: (0.01171875,0.009765625,0.0)},Gyroscope: {Time: 1892, Status: 3, Value: (-0.015625,0.04296875,0.02734375)},Magnetic: {Time: 1906, Status: 2, Value: (-3.875,-16.5,-18.9375)},Gravity: {Time: 1889, Status: 3, Value: (0.3203125,0.109375,9.625)}, Rotation: {Time: 1920, Status: 0, Value: (-0.0155029296875,-0.00787353515625,-0.99603271484375, 0.08740234375)}}
0:00:02.057919: {Acceleration: {Time: 2030, Status: 0, Value: (-0.103515625,-0.07421875,0.009765625)},Gyroscope: {Time: 2023, Status: 3, Value: (-0.02734375,0.1796875,-0.01171875)},Magnetic: {Time: 2026, Status: 2, Value: (-3.0625,-19.0,-20.6875)},Gravity: {Time: 2020, Status: 3, Value: (0.296875,0.125,9.625)}, Rotation: {Time: 2033, Status: 0, Value: (-0.01531982421875,-0.00811767578125,-0.99603271484375, 0.08734130859375)}}
0:00:02.144301: {Acceleration: {Time: 2117, Status: 0, Value: (-0.037109375,-0.025390625,-0.001953125)},Gyroscope: {Time: 2107, Status: 3, Value: (-0.0078125,0.05078125,-0.00390625)},Magnetic: {Time: 2111, Status: 2, Value: (-3.25,-17.3125,-20.1875)},Gravity: {Time: 2093, Status: 3, Value: (0.3125,0.1015625,9.6171875)}, Rotation: {Time: 2120, Status: 0, Value: (-0.01483154296875,-0.00872802734375,-0.99603271484375, 0.08734130859375)}}
0:00:02.258968: {Acceleration: {Time: 2234, Status: 0, Value: (0.0546875,0.064453125,-0.017578125)},Gyroscope: {Time: 2194, Status: 3, Value: (-0.015625,0.05078125,0.07421875)},Magnetic: {Time: 2197, Status: 2, Value: (-3.125,-18.25,-20.3125)},Gravity: {Time: 2179, Status: 3, Value: (0.3203125,0.1015625,9.6171875)}, Rotation: {Time: 2229, Status: 0, Value: (-0.01519775390625,-0.00830078125,-0.99603271484375, 0.08734130859375)}}
0:00:02.357398: {Acceleration: {Time: 2325, Status: 0, Value: (0.025390625,0.005859375,-0.041015625)},Gyroscope: {Time: 2333, Status: 3, Value: (0.0078125,-0.1640625,-0.109375)},Magnetic: {Time: 2267, Status: 2, Value: (-2.875,-17.3125,-19.875)},Gravity: {Time: 2329, Status: 3, Value: (0.296875,0.125,9.609375)}, Rotation: {Time: 2327, Status: 0, Value: (-0.01373291015625,-0.0096435546875,-0.99609375, 0.08673095703125)}}
0:00:02.449006: {Acceleration: {Time: 2422, Status: 0, Value: (-0.234375,-0.162109375,0.0703125)},Gyroscope: {Time: 2414, Status: 3, Value: (0.171875,0.2890625,-0.37890625)},Magnetic: {Time: 2418, Status: 2, Value: (-3.3125,-17.875,-19.5)},Gravity: {Time: 2411, Status: 3, Value: (0.2890625,0.1328125,9.609375)}, Rotation: {Time: 2424, Status: 0, Value: (-0.01519775390625,-0.00836181640625,-0.99609375, 0.08648681640625)}}
0:00:02.560518: {Acceleration: {Time: 2534, Status: 0, Value: (0.0390625,0.0234375,0.03515625)},Gyroscope: {Time: 2523, Status: 3, Value: (-0.45703125,0.234375,-0.0703125)},Magnetic: {Time: 2527, Status: 2, Value: (-3.5625,-17.5625,-20.5625)},Gravity: {Time: 2509, Status: 3, Value: (0.34375,0.0703125,9.609375)}, Rotation: {Time: 2536, Status: 0, Value: (-0.01654052734375,-0.00689697265625,-0.99578857421875, 0.08984375)}}
0:00:02.649065: {Acceleration: {Time: 2614, Status: 0, Value: (0.013671875,0.017578125,0.017578125)},Gyroscope: {Time: 2623, Status: 3, Value: (0.0390625,-0.03125,0.08203125)},Magnetic: {Time: 2583, Status: 2, Value: (-3.75,-16.5625,-19.75)},Gravity: {Time: 2620, Status: 3, Value: (0.3046875,0.109375,9.609375)}, Rotation: {Time: 2617, Status: 0, Value: (-0.01483154296875,-0.0087890625,-0.9957275390625, 0.0909423828125)}}
0:00:02.767838: {Acceleration: {Time: 2743, Status: 0, Value: (-0.03125,-0.01171875,0.017578125)},Gyroscope: {Time: 2705, Status: 3, Value: (0.03125,-0.0625,-0.03125)},Magnetic: {Time: 2708, Status: 2, Value: (-4.4375,-17.25,-20.0625)},Gravity: {Time: 2702, Status: 3, Value: (0.3125,0.1015625,9.609375)}, Rotation: {Time: 2739, Status: 0, Value: (-0.01593017578125,-0.00732421875,-0.99566650390625, 0.091064453125)}}
0:00:02.868409: {Acceleration: {Time: 2835, Status: 0, Value: (-0.02734375,-0.013671875,0.029296875)},Gyroscope: {Time: 2844, Status: 3, Value: (-0.05078125,0.12109375,0.00390625)},Magnetic: {Time: 2807, Status: 2, Value: (-5.625,-17.125,-20.3125)},Gravity: {Time: 2841, Status: 3, Value: (0.3203125,0.0703125,9.609375)}, Rotation: {Time: 2837, Status: 0, Value: (-0.01617431640625,-0.00665283203125,-0.99560546875, 0.09210205078125)}}
0:00:02.959844: {Acceleration: {Time: 2933, Status: 0, Value: (-0.048828125,-0.046875,-0.013671875)},Gyroscope: {Time: 2925, Status: 3, Value: (-0.0546875,-0.0234375,0.08203125)},Magnetic: {Time: 2928, Status: 2, Value: (-3.625,-17.3125,-20.5625)},Gravity: {Time: 2922, Status: 3, Value: (0.359375,0.0234375,9.609375)}, Rotation: {Time: 2935, Status: 0, Value: (-0.01873779296875,-0.00396728515625,-0.99554443359375, 0.0921630859375)}}
0:00:03.068802: {Acceleration: {Time: 3037, Status: 0, Value: (-0.037109375,-0.048828125,0.0078125)},Gyroscope: {Time: 3005, Status: 3, Value: (0.0625,0.0078125,-0.30859375)},Magnetic: {Time: 3009, Status: 0, Value: (-3.625,-16.625,-20.9375)},Gravity: {Time: 3045, Status: 3, Value: (0.3828125,0.015625,9.6171875)}, Rotation: {Time: 3039, Status: 0, Value: (-0.0196533203125,-0.00372314453125,-0.99560546875, 0.0911865234375)}}
0:00:03.167112: {Acceleration: {Time: 3134, Status: 0, Value: (0.044921875,0.0546875,-0.037109375)},Gyroscope: {Time: 3143, Status: 3, Value: (-0.15234375,0.13671875,0.07421875)},Magnetic: {Time: 3103, Status: 0, Value: (-3.9375,-16.3125,-21.5625)},Gravity: {Time: 3140, Status: 3, Value: (0.3828125,0.015625,9.6171875)}, Rotation: {Time: 3136, Status: 0, Value: (-0.01959228515625,-0.00384521484375,-0.9957275390625, 0.0902099609375)}}
0:00:03.258864: {Acceleration: {Time: 3232, Status: 0, Value: (0.02734375,0.01953125,0.015625)},Gyroscope: {Time: 3225, Status: 3, Value: (0.0625,0.03125,0.07421875)},Magnetic: {Time: 3228, Status: 1, Value: (-3.25,-17.9375,-19.875)},Gravity: {Time: 3221, Status: 3, Value: (0.359375,0.046875,9.6171875)}, Rotation: {Time: 3235, Status: 0, Value: (-0.01776123046875,-0.00543212890625,-0.9957275390625, 0.09027099609375)}}
0:00:03.374555: {Acceleration: {Time: 3350, Status: 0, Value: (-0.05078125,-0.033203125,0.005859375)},Gyroscope: {Time: 3294, Status: 3, Value: (0.046875,-0.109375,0.2265625)},Magnetic: {Time: 3308, Status: 1, Value: (-4.8125,-17.8125,-20.0625)},Gravity: {Time: 3290, Status: 3, Value: (0.3359375,0.0703125,9.6171875)}, Rotation: {Time: 3347, Status: 0, Value: (-0.0147705078125,-0.0086669921875,-0.99578857421875, 0.09039306640625)}}
0:00:03.459801: {Acceleration: {Time: 3433, Status: 0, Value: (-0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 3427, Status: 3, Value: (0.0625,-0.1328125,-0.1171875)},Magnetic: {Time: 3429, Status: 1, Value: (-3.5,-18.25,-20.625)},Gravity: {Time: 3423, Status: 3, Value: (0.3203125,0.09375,9.6171875)}, Rotation: {Time: 3436, Status: 0, Value: (-0.01605224609375,-0.00714111328125,-0.9957275390625, 0.09039306640625)}}
0:00:03.566199: {Acceleration: {Time: 3530, Status: 0, Value: (0.009765625,0.0078125,0.005859375)},Gyroscope: {Time: 3537, Status: 3, Value: (0.015625,0.03515625,-0.15625)},Magnetic: {Time: 3539, Status: 1, Value: (-4.5,-18.125,-19.0)},Gravity: {Time: 3534, Status: 3, Value: (0.328125,0.078125,9.6171875)}, Rotation: {Time: 3542, Status: 0, Value: (-0.01641845703125,-0.0067138671875,-0.9957275390625, 0.09033203125)}}
