0:00:00.042338: {Acceleration: {Time: 15, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 41457, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 41461, Status: 1, Value: (-30.5625,28.1875,-16.125)},Gravity: {Time: 41454, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 12, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39947509765625, 0.9166259765625)}}
0:00:00.139883: {Acceleration: {Time: 104, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 113, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 48, Status: 1, Value: (-31.0625,28.9375,-15.9375)},Gravity: {Time: 109, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 106, Status: 0, Value: (-0.0152587890625,-0.00244140625,-0.39947509765625, 0.9166259765625)}}
0:00:00.242025: {Acceleration: {Time: 213, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 173, Status: 3, Value: (-0.00390625,-0.01953125,-0.02734375)},Magnetic: {Time: 176, Status: 1, Value: (-30.875,28.5,-17.1875)},Gravity: {Time: 169, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 215, Status: 0, Value: (-0.01519775390625,-0.00244140625,-0.39947509765625, 0.9166259765625)}}
0:00:00.339445: {Acceleration: {Time: 309, Status: 0, Value: (0.0,0.00390625,-0.001953125)},Gyroscope: {Time: 272, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 248, Status: 1, Value: (-30.5,28.8125,-17.1875)},Gravity: {Time: 269, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 312, Status: 0, Value: (-0.0152587890625,-0.00244140625,-0.39947509765625, 0.9166259765625)}}
0:00:00.422155: {Acceleration: {Time: 393, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 360, Status: 3, Value: (0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 364, Status: 1, Value: (-30.25,28.8125,-16.5)},Gravity: {Time: 357, Status: 3, Value: (0.1484375,-0.25,9.6484375)}, Rotation: {Time: 386, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.9166259765625)}}
0:00:00.533699: {Acceleration: {Time: 504, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 498, Status: 3, Value: (0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 500, Status: 1, Value: (-30.25,28.5,-16.125)},Gravity: {Time: 495, Status: 3, Value: (0.1484375,-0.25,9.640625)}, Rotation: {Time: 507, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:00.642909: {Acceleration: {Time: 608, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 616, Status: 3, Value: (0.00390625,0.01171875,-0.03515625)},Magnetic: {Time: 555, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 614, Status: 3, Value: (0.1484375,-0.2421875,9.6484375)}, Rotation: {Time: 610, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:00.739986: {Acceleration: {Time: 710, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 673, Status: 3, Value: (0.03515625,-0.02734375,0.00390625)},Magnetic: {Time: 649, Status: 1, Value: (-31.125,28.625,-15.625)},Gravity: {Time: 670, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 713, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:00.824311: {Acceleration: {Time: 795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 760, Status: 3, Value: (0.03515625,0.01171875,0.00390625)},Magnetic: {Time: 764, Status: 1, Value: (-30.4375,29.25,-15.3125)},Gravity: {Time: 757, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 798, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:00.935835: {Acceleration: {Time: 907, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 881, Status: 3, Value: (-0.00390625,-0.02734375,-0.03515625)},Magnetic: {Time: 895, Status: 1, Value: (-30.25,28.5,-16.125)},Gravity: {Time: 879, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 909, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.050525: {Acceleration: {Time: 1021, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1014, Status: 3, Value: (-0.00390625,-0.02734375,0.00390625)},Magnetic: {Time: 1017, Status: 1, Value: (-30.625,29.1875,-16.375)},Gravity: {Time: 1011, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 1024, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
