0:00:00.036694: {Acceleration: {Time: 12, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 125745, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 1, Status: 1, Value: (-30.4375,29.75,-18.0625)},Gravity: {Time: 125743, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 15, Status: 0, Value: (-0.01544189453125,-0.0023193359375,-0.3974609375, 0.91748046875)}}
0:00:00.121889: {Acceleration: {Time: 100, Status: 0, Value: (-0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 87, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 90, Status: 1, Value: (-30.9375,29.75,-17.5625)},Gravity: {Time: 73, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 97, Status: 0, Value: (-0.01544189453125,-0.00238037109375,-0.3974609375, 0.91748046875)}}
0:00:00.236452: {Acceleration: {Time: 215, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 204, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 207, Status: 1, Value: (-31.5625,29.5625,-16.0625)},Gravity: {Time: 200, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 209, Status: 0, Value: (-0.01544189453125,-0.00238037109375,-0.3974609375, 0.91748046875)}}
0:00:00.316067: {Acceleration: {Time: 294, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 279, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 282, Status: 1, Value: (-30.5,29.125,-17.375)},Gravity: {Time: 265, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 290, Status: 0, Value: (-0.0155029296875,-0.0023193359375,-0.39752197265625, 0.91748046875)}}
0:00:00.441884: {Acceleration: {Time: 418, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 411, Status: 3, Value: (0.03515625,0.02734375,0.01171875)},Magnetic: {Time: 414, Status: 1, Value: (-31.375,29.8125,-17.5625)},Gravity: {Time: 408, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 420, Status: 0, Value: (-0.01556396484375,-0.0023193359375,-0.39752197265625, 0.91748046875)}}
0:00:00.529052: {Acceleration: {Time: 505, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 479, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 493, Status: 1, Value: (-29.9375,30.4375,-16.5625)},Gravity: {Time: 477, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 508, Status: 0, Value: (-0.0155029296875,-0.00225830078125,-0.39752197265625, 0.91741943359375)}}
0:00:00.640567: {Acceleration: {Time: 610, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 619, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 558, Status: 1, Value: (-29.6875,29.6875,-18.125)},Gravity: {Time: 617, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 613, Status: 0, Value: (-0.01544189453125,-0.00225830078125,-0.3974609375, 0.91748046875)}}
0:00:00.721221: {Acceleration: {Time: 697, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 619, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 635, Status: 1, Value: (-30.3125,29.5,-16.1875)},Gravity: {Time: 617, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 691, Status: 0, Value: (-0.01544189453125,-0.00225830078125,-0.39752197265625, 0.91748046875)}}
0:00:00.834828: {Acceleration: {Time: 810, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 784, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 798, Status: 1, Value: (-30.5,28.8125,-17.0)},Gravity: {Time: 781, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 814, Status: 0, Value: (-0.015380859375,-0.00225830078125,-0.3974609375, 0.91748046875)}}
0:00:00.923052: {Acceleration: {Time: 900, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 833, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 837, Status: 1, Value: (-31.9375,29.9375,-16.3125)},Gravity: {Time: 830, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 902, Status: 0, Value: (-0.015380859375,-0.00225830078125,-0.3974609375, 0.91748046875)}}
0:00:01.034638: {Acceleration: {Time: 1011, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 1001, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1005, Status: 1, Value: (-30.1875,29.75,-17.75)},Gravity: {Time: 987, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1014, Status: 0, Value: (-0.01544189453125,-0.0023193359375,-0.3974609375, 0.91748046875)}}
0:00:01.149238: {Acceleration: {Time: 1126, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1118, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1121, Status: 1, Value: (-30.5,29.4375,-17.375)},Gravity: {Time: 1115, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1128, Status: 0, Value: (-0.01544189453125,-0.00225830078125,-0.3974609375, 0.91748046875)}}
0:00:01.235511: {Acceleration: {Time: 1215, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 1175, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 1179, Status: 1, Value: (-31.125,29.5625,-16.125)},Gravity: {Time: 1172, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1209, Status: 0, Value: (-0.015380859375,-0.00225830078125,-0.3974609375, 0.91748046875)}}
0:00:01.335030: {Acceleration: {Time: 1311, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1270, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 1273, Status: 1, Value: (-30.4375,29.125,-18.0625)},Gravity: {Time: 1314, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1307, Status: 0, Value: (-0.01531982421875,-0.0023193359375,-0.3974609375, 0.91748046875)}}
0:00:01.426957: {Acceleration: {Time: 1404, Status: 0, Value: (0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 1396, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1399, Status: 1, Value: (-29.25,28.375,-17.5)},Gravity: {Time: 1393, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1406, Status: 0, Value: (-0.015380859375,-0.0023193359375,-0.3974609375, 0.91748046875)}}
0:00:01.532773: {Acceleration: {Time: 1512, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 1476, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 1479, Status: 1, Value: (-32.25,29.0,-16.375)},Gravity: {Time: 1473, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1509, Status: 0, Value: (-0.015380859375,-0.0023193359375,-0.3974609375, 0.91748046875)}}
0:00:01.646580: {Acceleration: {Time: 1626, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 1611, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1614, Status: 1, Value: (-31.0625,28.9375,-16.125)},Gravity: {Time: 1597, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1621, Status: 0, Value: (-0.01531982421875,-0.00238037109375,-0.3974609375, 0.91748046875)}}
0:00:01.739650: {Acceleration: {Time: 1717, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1685, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1688, Status: 1, Value: (-31.125,29.6875,-19.125)},Gravity: {Time: 1681, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1711, Status: 0, Value: (-0.015380859375,-0.00238037109375,-0.3974609375, 0.91748046875)}}
0:00:01.853095: {Acceleration: {Time: 1833, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1823, Status: 3, Value: (-0.01171875,-0.01953125,0.05078125)},Magnetic: {Time: 1826, Status: 1, Value: (-29.875,27.875,-15.5625)},Gravity: {Time: 1820, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1829, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.3974609375, 0.91748046875)}}
0:00:01.930642: {Acceleration: {Time: 1911, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 1879, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1881, Status: 1, Value: (-29.3125,28.0625,-16.8125)},Gravity: {Time: 1875, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1907, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39752197265625, 0.91748046875)}}
0:00:02.046431: {Acceleration: {Time: 2018, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2026, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 1962, Status: 1, Value: (-31.0625,28.9375,-16.125)},Gravity: {Time: 2023, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2021, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39739990234375, 0.91748046875)}}
0:00:02.148487: {Acceleration: {Time: 2126, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2086, Status: 3, Value: (-0.01171875,0.01953125,0.05078125)},Magnetic: {Time: 2090, Status: 1, Value: (-30.0625,27.125,-17.125)},Gravity: {Time: 2129, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2121, Status: 0, Value: (-0.015380859375,-0.00244140625,-0.39739990234375, 0.91748046875)}}
