0:00:00.088061: {Acceleration: {Time: 72, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 33, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 36, Status: 1, Value: (-30.6875,29.8125,-16.625)},Gravity: {Time: 30, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 66, Status: 0, Value: (-0.0157470703125,-0.00244140625,-0.399658203125, 0.91650390625)}}
0:00:00.187427: {Acceleration: {Time: 168, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 142, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 156, Status: 1, Value: (-30.125,28.4375,-17.125)},Gravity: {Time: 139, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 171, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.399658203125, 0.91650390625)}}
0:00:00.299911: {Acceleration: {Time: 275, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 284, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 268, Status: 1, Value: (-30.4375,30.8125,-16.1875)},Gravity: {Time: 282, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 277, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.399658203125, 0.91650390625)}}
0:00:00.394917: {Acceleration: {Time: 379, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 342, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 345, Status: 1, Value: (-31.5,30.1875,-16.875)},Gravity: {Time: 338, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 376, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.399658203125, 0.91650390625)}}
0:00:00.510481: {Acceleration: {Time: 495, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 456, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 459, Status: 1, Value: (-30.5625,29.1875,-17.0)},Gravity: {Time: 453, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 489, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.399658203125, 0.91650390625)}}
0:00:00.608996: {Acceleration: {Time: 591, Status: 0, Value: (-0.005859375,-0.001953125,0.001953125)},Gyroscope: {Time: 552, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 528, Status: 1, Value: (-30.5,28.8125,-17.375)},Gravity: {Time: 548, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 593, Status: 0, Value: (-0.015625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:00.692385: {Acceleration: {Time: 674, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 640, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 643, Status: 1, Value: (-30.6875,29.8125,-16.625)},Gravity: {Time: 637, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 677, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:00.799222: {Acceleration: {Time: 781, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 774, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 777, Status: 1, Value: (-31.0625,30.1875,-16.875)},Gravity: {Time: 770, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 784, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:00.888600: {Acceleration: {Time: 870, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 844, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 858, Status: 1, Value: (-30.75,29.25,-15.4375)},Gravity: {Time: 841, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 873, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:00.998454: {Acceleration: {Time: 983, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 945, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 948, Status: 1, Value: (-31.4375,30.5,-17.1875)},Gravity: {Time: 941, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 979, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.096901: {Acceleration: {Time: 1073, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1082, Status: 3, Value: (0.02734375,0.02734375,-0.02734375)},Magnetic: {Time: 1041, Status: 1, Value: (-30.875,28.8125,-17.6875)},Gravity: {Time: 1078, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1075, Status: 0, Value: (-0.01568603515625,-0.00244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.212496: {Acceleration: {Time: 1195, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1168, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1183, Status: 1, Value: (-29.875,29.1875,-16.3125)},Gravity: {Time: 1166, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1197, Status: 0, Value: (-0.01568603515625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
