0:00:00.091229: {Acceleration: {Time: 72, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 58, Status: 3, Value: (0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 61, Status: 1, Value: (-29.0625,28.75,-16.1875)},Gravity: {Time: 44, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 69, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38726806640625, 0.92181396484375)}}
0:00:00.205683: {Acceleration: {Time: 178, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 187, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 129, Status: 1, Value: (-27.625,28.75,-14.8125)},Gravity: {Time: 184, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 180, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38726806640625, 0.92181396484375)}}
0:00:00.288781: {Acceleration: {Time: 268, Status: 0, Value: (-0.005859375,-0.001953125,0.001953125)},Gyroscope: {Time: 262, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 264, Status: 1, Value: (-29.1875,28.5,-15.0)},Gravity: {Time: 259, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 270, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.3765869140625, 0.92626953125)}}
0:00:00.415614: {Acceleration: {Time: 397, Status: 0, Value: (0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 346, Status: 3, Value: (0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 360, Status: 1, Value: (-28.3125,28.4375,-15.5)},Gravity: {Time: 343, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 392, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.37652587890625, 0.92626953125)}}
0:00:00.514451: {Acceleration: {Time: 496, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 485, Status: 3, Value: (-0.02734375,-0.01171875,-0.00390625)},Magnetic: {Time: 488, Status: 1, Value: (-29.125,28.5,-15.375)},Gravity: {Time: 482, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 491, Status: 0, Value: (-0.015869140625,-0.00347900390625,-0.384033203125, 0.92315673828125)}}
0:00:00.614074: {Acceleration: {Time: 587, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 596, Status: 3, Value: (-0.02734375,-0.01171875,-0.00390625)},Magnetic: {Time: 560, Status: 1, Value: (-29.1875,29.1875,-15.3125)},Gravity: {Time: 592, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 589, Status: 0, Value: (-0.015869140625,-0.00347900390625,-0.384033203125, 0.92315673828125)}}
0:00:00.719053: {Acceleration: {Time: 693, Status: 0, Value: (0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 701, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 687, Status: 1, Value: (-30.125,28.9375,-14.125)},Gravity: {Time: 698, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 695, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.384033203125, 0.9232177734375)}}
0:00:00.811646: {Acceleration: {Time: 791, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 782, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 786, Status: 1, Value: (-28.75,29.125,-15.4375)},Gravity: {Time: 769, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 765, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.384033203125, 0.92315673828125)}}
0:00:00.898019: {Acceleration: {Time: 877, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 851, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 864, Status: 1, Value: (-28.25,28.6875,-16.3125)},Gravity: {Time: 848, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 880, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.384033203125, 0.92315673828125)}}
0:00:01.012471: {Acceleration: {Time: 992, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 966, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 980, Status: 1, Value: (-27.75,27.0625,-16.0)},Gravity: {Time: 963, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 994, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3905029296875, 0.92047119140625)}}
0:00:01.099837: {Acceleration: {Time: 1080, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1044, Status: 3, Value: (0.02734375,-0.01953125,-0.00390625)},Magnetic: {Time: 1047, Status: 1, Value: (-28.375,29.375,-15.8125)},Gravity: {Time: 1040, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1082, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3905029296875, 0.92047119140625)}}
0:00:01.214410: {Acceleration: {Time: 1193, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1168, Status: 3, Value: (-0.01171875,-0.01953125,-0.00390625)},Magnetic: {Time: 1182, Status: 1, Value: (-27.5625,28.75,-15.1875)},Gravity: {Time: 1166, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1197, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3905029296875, 0.92047119140625)}}
0:00:01.298657: {Acceleration: {Time: 1273, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1281, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1220, Status: 1, Value: (-29.5,28.8125,-16.0625)},Gravity: {Time: 1279, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1276, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3905029296875, 0.92047119140625)}}
0:00:01.413216: {Acceleration: {Time: 1393, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1329, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1331, Status: 1, Value: (-28.5,29.0,-17.375)},Gravity: {Time: 1325, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1395, Status: 0, Value: (-0.015625,-0.00262451171875,-0.3905029296875, 0.92047119140625)}}
