0:00:00.055002: {Acceleration: {Time: 12, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 8, Status: 1, Value: (-29.1875,28.875,-15.0625)},Gravity: {Time: 2, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 15, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38397216796875, 0.9232177734375)}}
0:00:00.165899: {Acceleration: {Time: 126, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 87, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 89, Status: 1, Value: (-29.625,28.875,-15.0)},Gravity: {Time: 83, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 121, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38397216796875, 0.9232177734375)}}
0:00:00.263453: {Acceleration: {Time: 221, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 181, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 184, Status: 1, Value: (-27.75,28.625,-17.125)},Gravity: {Time: 167, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 224, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38397216796875, 0.9232177734375)}}
0:00:00.350784: {Acceleration: {Time: 302, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 311, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 276, Status: 1, Value: (-28.4375,28.125,-14.8125)},Gravity: {Time: 309, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 305, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38397216796875, 0.9232177734375)}}
0:00:00.467644: {Acceleration: {Time: 418, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 428, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 391, Status: 1, Value: (-29.1875,28.5,-14.6875)},Gravity: {Time: 424, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 420, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3826904296875, 0.9237060546875)}}
0:00:00.567536: {Acceleration: {Time: 528, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 516, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 519, Status: 1, Value: (-28.6875,28.125,-15.5)},Gravity: {Time: 512, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 521, Status: 0, Value: (-0.01556396484375,-0.00347900390625,-0.3916015625, 0.91998291015625)}}
0:00:00.666946: {Acceleration: {Time: 624, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 586, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 561, Status: 1, Value: (-28.4375,28.125,-14.375)},Gravity: {Time: 583, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 627, Status: 0, Value: (-0.01556396484375,-0.00347900390625,-0.3916015625, 0.91998291015625)}}
0:00:00.753943: {Acceleration: {Time: 715, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 701, Status: 3, Value: (0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 705, Status: 1, Value: (-29.4375,29.875,-13.8125)},Gravity: {Time: 687, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 711, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3916015625, 0.91998291015625)}}
0:00:00.862998: {Acceleration: {Time: 823, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 810, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 813, Status: 1, Value: (-27.8125,27.4375,-15.625)},Gravity: {Time: 796, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 820, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3916015625, 0.91998291015625)}}
0:00:00.977454: {Acceleration: {Time: 938, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 929, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 933, Status: 1, Value: (-29.0,28.125,-15.875)},Gravity: {Time: 926, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 935, Status: 0, Value: (-0.015625,-0.0025634765625,-0.3916015625, 0.91998291015625)}}
0:00:01.064776: {Acceleration: {Time: 1026, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 987, Status: 3, Value: (-0.01171875,0.02734375,0.05078125)},Magnetic: {Time: 991, Status: 1, Value: (-29.25,28.5625,-14.3125)},Gravity: {Time: 984, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1021, Status: 0, Value: (-0.015625,-0.0025634765625,-0.3916015625, 0.91998291015625)}}
