0:00:00.036805: {Acceleration: {Time: 6, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 14, Status: 3, Value: (-0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 75719, Status: 1, Value: (-29.4375,28.4375,-16.1875)},Gravity: {Time: 12, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 10, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39031982421875, 0.9205322265625)}}
0:00:00.133001: {Acceleration: {Time: 101, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 110, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 48, Status: 1, Value: (-28.9375,28.4375,-16.5625)},Gravity: {Time: 107, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 104, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.390380859375, 0.9205322265625)}}
0:00:00.232171: {Acceleration: {Time: 201, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 210, Status: 3, Value: (0.02734375,-0.046875,-0.02734375)},Magnetic: {Time: 174, Status: 1, Value: (-28.0625,28.9375,-17.8125)},Gravity: {Time: 206, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 203, Status: 0, Value: (-0.015625,-0.00262451171875,-0.3896484375, 0.92083740234375)}}
0:00:00.353788: {Acceleration: {Time: 332, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 292, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 295, Status: 1, Value: (-28.5625,29.0625,-16.625)},Gravity: {Time: 289, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 326, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.3896484375, 0.92083740234375)}}
0:00:00.446681: {Acceleration: {Time: 422, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 392, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 395, Status: 1, Value: (-29.4375,28.4375,-16.1875)},Gravity: {Time: 388, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 416, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.3896484375, 0.92083740234375)}}
0:00:00.536000: {Acceleration: {Time: 512, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 446, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 450, Status: 1, Value: (-28.6875,28.4375,-15.5)},Gravity: {Time: 444, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 514, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38970947265625, 0.92083740234375)}}
0:00:00.633278: {Acceleration: {Time: 611, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 597, Status: 3, Value: (-0.01953125,-0.0546875,0.01171875)},Magnetic: {Time: 600, Status: 1, Value: (-29.0625,28.4375,-15.8125)},Gravity: {Time: 583, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 607, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38970947265625, 0.9207763671875)}}
0:00:00.748866: {Acceleration: {Time: 725, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 689, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 692, Status: 1, Value: (-29.125,28.5,-15.4375)},Gravity: {Time: 685, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 727, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38970947265625, 0.9207763671875)}}
0:00:00.855797: {Acceleration: {Time: 832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 811, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 825, Status: 1, Value: (-27.375,28.3125,-16.375)},Gravity: {Time: 808, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 805, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38970947265625, 0.9207763671875)}}
0:00:00.943036: {Acceleration: {Time: 912, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 921, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 881, Status: 1, Value: (-28.3125,28.75,-15.9375)},Gravity: {Time: 918, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 915, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.3800048828125, 0.92486572265625)}}
0:00:01.043316: {Acceleration: {Time: 1012, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1021, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 984, Status: 1, Value: (-27.3125,27.9375,-16.8125)},Gravity: {Time: 1018, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1015, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38006591796875, 0.92486572265625)}}
