0:00:00.092520: {Acceleration: {Time: 66, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 60, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 63, Status: 1, Value: (-29.875,29.125,-16.5)},Gravity: {Time: 57, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 70, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.3865966796875, 0.922119140625)}}
0:00:00.178809: {Acceleration: {Time: 154, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 127, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 142, Status: 1, Value: (-27.9375,29.0625,-15.9375)},Gravity: {Time: 125, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 156, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.38665771484375, 0.922119140625)}}
0:00:00.277968: {Acceleration: {Time: 256, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 203, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 207, Status: 1, Value: (-28.0625,28.125,-14.5)},Gravity: {Time: 200, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 252, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.38665771484375, 0.922119140625)}}
0:00:00.376542: {Acceleration: {Time: 352, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 286, Status: 3, Value: (0.01953125,-0.046875,-0.02734375)},Magnetic: {Time: 291, Status: 1, Value: (-29.4375,29.125,-16.5625)},Gravity: {Time: 200, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 354, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.38665771484375, 0.922119140625)}}
0:00:00.485528: {Acceleration: {Time: 461, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 453, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 456, Status: 1, Value: (-28.6875,28.4375,-15.5625)},Gravity: {Time: 450, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 463, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.38665771484375, 0.922119140625)}}
0:00:00.570795: {Acceleration: {Time: 546, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 520, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 534, Status: 1, Value: (-29.125,29.375,-16.125)},Gravity: {Time: 517, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 549, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.38665771484375, 0.92205810546875)}}
0:00:00.684611: {Acceleration: {Time: 660, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 635, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 649, Status: 1, Value: (-29.0,28.4375,-16.25)},Gravity: {Time: 633, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 662, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3865966796875, 0.922119140625)}}
0:00:00.799035: {Acceleration: {Time: 775, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 739, Status: 3, Value: (-0.01953125,0.02734375,-0.02734375)},Magnetic: {Time: 742, Status: 1, Value: (-28.875,28.375,-17.0)},Gravity: {Time: 735, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 777, Status: 0, Value: (-0.015625,-0.002685546875,-0.3865966796875, 0.922119140625)}}
0:00:00.889231: {Acceleration: {Time: 865, Status: 0, Value: (-0.001953125,0.005859375,-0.001953125)},Gyroscope: {Time: 826, Status: 3, Value: (0.01953125,0.02734375,-0.0625)},Magnetic: {Time: 828, Status: 1, Value: (-29.0,28.125,-15.9375)},Gravity: {Time: 867, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 861, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3865966796875, 0.922119140625)}}
0:00:01.002928: {Acceleration: {Time: 978, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 952, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 966, Status: 1, Value: (-28.5625,28.6875,-16.6875)},Gravity: {Time: 948, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 981, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.3865966796875, 0.922119140625)}}
0:00:01.089354: {Acceleration: {Time: 1065, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1001, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1004, Status: 1, Value: (-30.75,29.5625,-15.625)},Gravity: {Time: 997, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1067, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.3865966796875, 0.922119140625)}}
0:00:01.194983: {Acceleration: {Time: 1171, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1163, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1167, Status: 1, Value: (-29.25,29.1875,-14.6875)},Gravity: {Time: 1160, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1173, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.3865966796875, 0.922119140625)}}
0:00:01.304111: {Acceleration: {Time: 1282, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1231, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1245, Status: 1, Value: (-29.0,28.0625,-16.25)},Gravity: {Time: 1228, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1278, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.3865966796875, 0.922119140625)}}
