0:00:00.110592: {Acceleration: {Time: 68, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 42, Status: 3, Value: (0.01953125,-0.01171875,-0.0625)},Magnetic: {Time: 56, Status: 1, Value: (-28.75,29.4375,-15.5)},Gravity: {Time: 40, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 70, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3843994140625, 0.92303466796875)}}
0:00:00.196948: {Acceleration: {Time: 154, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 117, Status: 3, Value: (-0.02734375,-0.046875,0.05078125)},Magnetic: {Time: 93, Status: 1, Value: (-30.1875,29.5625,-14.125)},Gravity: {Time: 114, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 157, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.38446044921875, 0.9229736328125)}}
0:00:00.308575: {Acceleration: {Time: 266, Status: 0, Value: (0.001953125,0.00390625,-0.00390625)},Gyroscope: {Time: 256, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 259, Status: 1, Value: (-27.875,28.6875,-16.0)},Gravity: {Time: 242, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 268, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.384521484375, 0.9229736328125)}}
0:00:00.419689: {Acceleration: {Time: 380, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 328, Status: 3, Value: (-0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 341, Status: 1, Value: (-28.5625,27.4375,-16.0)},Gravity: {Time: 324, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 374, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.384521484375, 0.9229736328125)}}
0:00:00.518866: {Acceleration: {Time: 475, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 439, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 415, Status: 1, Value: (-29.375,28.0625,-16.625)},Gravity: {Time: 479, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 471, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38720703125, 0.921875)}}
0:00:00.619106: {Acceleration: {Time: 570, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 579, Status: 3, Value: (0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 543, Status: 1, Value: (-29.1875,30.125,-15.75)},Gravity: {Time: 576, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 572, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38714599609375, 0.921875)}}
0:00:00.718253: {Acceleration: {Time: 669, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 678, Status: 3, Value: (0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 638, Status: 1, Value: (-29.625,29.8125,-15.375)},Gravity: {Time: 675, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 672, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38720703125, 0.921875)}}
0:00:00.811030: {Acceleration: {Time: 769, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 761, Status: 3, Value: (-0.02734375,-0.01953125,-0.0546875)},Magnetic: {Time: 765, Status: 1, Value: (-29.625,28.875,-15.0)},Gravity: {Time: 758, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 771, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38720703125, 0.921875)}}
0:00:00.920134: {Acceleration: {Time: 880, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 829, Status: 3, Value: (-0.02734375,-0.01953125,0.01953125)},Magnetic: {Time: 843, Status: 1, Value: (-28.6875,28.125,-15.5)},Gravity: {Time: 826, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 875, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38714599609375, 0.921875)}}
0:00:01.021025: {Acceleration: {Time: 981, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 969, Status: 3, Value: (0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 973, Status: 1, Value: (-29.125,29.375,-16.125)},Gravity: {Time: 966, Status: 3, Value: (0.1875,-0.2578125,9.640625)}, Rotation: {Time: 975, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38720703125, 0.921875)}}
0:00:01.120361: {Acceleration: {Time: 1081, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1066, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1069, Status: 1, Value: (-28.8125,30.125,-15.375)},Gravity: {Time: 1052, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1076, Status: 0, Value: (-0.01556396484375,-0.0035400390625,-0.38720703125, 0.921875)}}
