0:00:00.109661: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.4677966237068176, Phase: 49660.2890625
0:00:00.196057: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.428266704082489, Phase: 49660.8359375
0:00:00.307629: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.38266971707344055, Phase: 49661.53125
0:00:00.418670: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.3415684103965759, Phase: 49662.234375
0:00:00.517867: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.3089664578437805, Phase: 49662.8515625
0:00:00.618190: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.27906718850135803, Phase: 49663.48046875
0:00:00.717414: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.2523247003555298, Phase: 49664.10546875
0:00:00.810147: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.22955095767974854, Phase: 49664.6875
0:00:00.919245: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.2055312991142273, Phase: 49665.37109375
0:00:01.020101: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.18545325100421906, Phase: 49666.0078125
0:00:01.119406: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.1675112545490265, Phase: 49666.63671875
0:00:01.217930: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.1514609158039093, Phase: 49667.2578125
0:00:01.329654: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.13533535599708557, Phase: 49667.95703125
0:00:01.416972: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.12377173453569412, Phase: 49668.51171875
0:00:01.520415: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.11150569468736649, Phase: 49669.15625
0:00:01.607647: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.10197807103395462, Phase: 49669.70703125
