0:00:00.083866: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.0856208228653247e-38, Phase: 51124.25
0:00:00.196632: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.751440286131914e-38, Phase: 51124.9609375
0:00:00.280919: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.526730306470329e-38, Phase: 51125.48828125
0:00:00.378017: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.287003171685961e-38, Phase: 51126.1015625
0:00:00.474858: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.07213212893194e-38, Phase: 51126.7109375
0:00:00.581051: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8610549616402321e-38, Phase: 51127.375
0:00:00.696591: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.6560835320172803e-38, Phase: 51128.09765625
0:00:00.778274: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5239298764437355e-38, Phase: 51128.609375
0:00:00.891867: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.357485046149698e-38, Phase: 51129.32421875
0:00:00.987994: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.2312091369847636e-38, Phase: 51129.9296875
0:00:01.078830: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.1224263371992281e-38, Phase: 51130.5
0:00:01.193644: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.98806449143575e-39, Phase: 51131.22265625
0:00:01.281881: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.134631687708006e-39, Phase: 51131.7734375
0:00:01.392585: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -8.162080106721867e-39, Phase: 51132.46875
0:00:01.508310: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.255619366507144e-39, Phase: 51133.19921875
0:00:01.589020: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.683491624298751e-39, Phase: 51133.70703125
0:00:01.700750: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.965764767751616e-39, Phase: 51134.41015625
0:00:01.788264: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.46164344131537e-39, Phase: 51134.95703125
0:00:01.909042: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.829648024815627e-39, Phase: 51135.71875
0:00:02.007600: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.3668930290462496e-39, Phase: 51136.34375
0:00:02.100831: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.974498630469086e-39, Phase: 51136.92578125
0:00:02.210728: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.5549891066072365e-39, Phase: 51137.6171875
0:00:02.296147: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.257939055542733e-39, Phase: 51138.16015625
0:00:02.402366: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.926058329848972e-39, Phase: 51138.82421875
0:00:02.512551: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.6172121483117825e-39, Phase: 51139.515625
