0:00:00.104913: {Acceleration: {Time: 61, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 68, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 7, Status: 1, Value: (-28.3125,28.4375,-15.3125)},Gravity: {Time: 66, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 63, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.212200: {Acceleration: {Time: 173, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 163, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 166, Status: 1, Value: (-30.4375,28.5625,-15.0625)},Gravity: {Time: 66, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 175, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.325161: {Acceleration: {Time: 284, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 220, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 224, Status: 1, Value: (-28.0625,27.625,-16.875)},Gravity: {Time: 289, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 286, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.427748: {Acceleration: {Time: 391, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 356, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 358, Status: 1, Value: (-29.625,28.875,-15.125)},Gravity: {Time: 354, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 387, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.519991: {Acceleration: {Time: 481, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 474, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 477, Status: 1, Value: (-29.6875,29.5625,-15.0625)},Gravity: {Time: 470, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 484, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.634870: {Acceleration: {Time: 599, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 542, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 556, Status: 1, Value: (-29.5625,27.5625,-14.875)},Gravity: {Time: 538, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 595, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.723534: {Acceleration: {Time: 685, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 676, Status: 3, Value: (0.02734375,0.01171875,0.04296875)},Magnetic: {Time: 679, Status: 1, Value: (-28.6875,28.4375,-15.3125)},Gravity: {Time: 673, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 687, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.839550: {Acceleration: {Time: 800, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 774, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 788, Status: 1, Value: (-29.5625,27.5625,-14.875)},Gravity: {Time: 772, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 803, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:00.920468: {Acceleration: {Time: 882, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 875, Status: 3, Value: (0.02734375,0.01171875,0.00390625)},Magnetic: {Time: 878, Status: 1, Value: (-29.9375,27.625,-14.8125)},Gravity: {Time: 872, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 884, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.028780: {Acceleration: {Time: 993, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 944, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 958, Status: 1, Value: (-28.6875,28.75,-15.625)},Gravity: {Time: 940, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 990, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.128462: {Acceleration: {Time: 1089, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1048, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1051, Status: 1, Value: (-30.0,30.125,-16.125)},Gravity: {Time: 1093, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1085, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.221565: {Acceleration: {Time: 1183, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1175, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 1178, Status: 1, Value: (-29.375,27.75,-16.3125)},Gravity: {Time: 1171, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1186, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.335503: {Acceleration: {Time: 1300, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1260, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 1263, Status: 1, Value: (-28.375,29.125,-15.25)},Gravity: {Time: 1246, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1297, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.444907: {Acceleration: {Time: 1400, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1409, Status: 3, Value: (0.05859375,-0.02734375,-0.03515625)},Magnetic: {Time: 1346, Status: 1, Value: (-29.9375,27.625,-14.8125)},Gravity: {Time: 1407, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1404, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.531412: {Acceleration: {Time: 1496, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1460, Status: 3, Value: (-0.01953125,-0.02734375,0.04296875)},Magnetic: {Time: 1463, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 1456, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1493, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.629196: {Acceleration: {Time: 1591, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1553, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 1529, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 1550, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1594, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
0:00:01.742119: {Acceleration: {Time: 1707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1641, Status: 3, Value: (-0.01953125,0.01171875,0.04296875)},Magnetic: {Time: 1644, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 1638, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1703, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.3897705078125, 0.9207763671875)}}
