0:00:00.113905: {Acceleration: {Time: 70, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 63, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 65, Status: 1, Value: (-27.8125,28.375,-16.1875)},Gravity: {Time: 59, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 73, Status: 0, Value: (-0.01531982421875,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.226970: {Acceleration: {Time: 178, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 186, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 152, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 183, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 180, Status: 0, Value: (-0.01531982421875,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.315551: {Acceleration: {Time: 266, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 274, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 202, Status: 1, Value: (-29.9375,27.875,-15.1875)},Gravity: {Time: 272, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 270, Status: 0, Value: (-0.01531982421875,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.410619: {Acceleration: {Time: 366, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 359, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 362, Status: 1, Value: (-28.9375,27.5,-16.125)},Gravity: {Time: 356, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 368, Status: 0, Value: (-0.01531982421875,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.523809: {Acceleration: {Time: 481, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 473, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 475, Status: 1, Value: (-30.125,28.3125,-14.0625)},Gravity: {Time: 470, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 483, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.609385: {Acceleration: {Time: 561, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 569, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 505, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 565, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 563, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.735333: {Acceleration: {Time: 692, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 653, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 656, Status: 1, Value: (-28.9375,28.0625,-16.4375)},Gravity: {Time: 695, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 688, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.829981: {Acceleration: {Time: 790, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 760, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 774, Status: 1, Value: (-28.75,29.75,-16.0)},Gravity: {Time: 758, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 785, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:00.926934: {Acceleration: {Time: 880, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 884, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 886, Status: 1, Value: (-29.0,28.75,-16.375)},Gravity: {Time: 882, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 874, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:01.013476: {Acceleration: {Time: 965, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 973, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 886, Status: 1, Value: (-29.0,28.75,-16.375)},Gravity: {Time: 971, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 968, Status: 0, Value: (-0.0152587890625,-0.0032958984375,-0.38531494140625, 0.92266845703125)}}
0:00:01.137137: {Acceleration: {Time: 1095, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1068, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 1082, Status: 1, Value: (-29.375,27.75,-16.375)},Gravity: {Time: 1097, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1089, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38494873046875, 0.92279052734375)}}
