0:00:00.055350: {Acceleration: {Time: 14, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 195704, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 2, Status: 1, Value: (-28.25,28.75,-16.125)},Gravity: {Time: 195702, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 16, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.390869140625, 0.9202880859375)}}
0:00:00.169247: {Acceleration: {Time: 127, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 120, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 123, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 117, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 130, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.390869140625, 0.9202880859375)}}
0:00:00.257876: {Acceleration: {Time: 215, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 204, Status: 3, Value: (-0.01171875,-0.02734375,-0.02734375)},Magnetic: {Time: 208, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 190, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 219, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.390869140625, 0.92034912109375)}}
0:00:00.370839: {Acceleration: {Time: 329, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 302, Status: 3, Value: (0.02734375,-0.0625,0.01171875)},Magnetic: {Time: 316, Status: 1, Value: (-29.5625,28.875,-15.1875)},Gravity: {Time: 300, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 332, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.390869140625, 0.92034912109375)}}
0:00:00.479204: {Acceleration: {Time: 440, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 401, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 404, Status: 1, Value: (-29.625,30.5,-15.8125)},Gravity: {Time: 397, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 435, Status: 0, Value: (-0.01495361328125,-0.0029296875,-0.39080810546875, 0.92034912109375)}}
0:00:00.577080: {Acceleration: {Time: 530, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 538, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 499, Status: 1, Value: (-28.8125,28.3125,-17.875)},Gravity: {Time: 536, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 532, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39080810546875, 0.92034912109375)}}
0:00:00.658916: {Acceleration: {Time: 612, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 620, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 555, Status: 1, Value: (-29.0625,27.8125,-15.3125)},Gravity: {Time: 617, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 614, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39080810546875, 0.92034912109375)}}
0:00:00.760560: {Acceleration: {Time: 713, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 722, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 684, Status: 1, Value: (-30.4375,27.9375,-14.375)},Gravity: {Time: 719, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 715, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39080810546875, 0.92034912109375)}}
0:00:00.879771: {Acceleration: {Time: 841, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 805, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 807, Status: 1, Value: (-28.9375,27.75,-16.4375)},Gravity: {Time: 801, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 838, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39080810546875, 0.92034912109375)}}
0:00:00.974849: {Acceleration: {Time: 934, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 900, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 904, Status: 1, Value: (-29.0,28.75,-16.3125)},Gravity: {Time: 897, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 928, Status: 0, Value: (-0.01507568359375,-0.00323486328125,-0.3941650390625, 0.91888427734375)}}
0:00:01.079122: {Acceleration: {Time: 1029, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1035, Status: 3, Value: (0.01953125,-0.01953125,0.01953125)},Magnetic: {Time: 1037, Status: 1, Value: (-29.5,29.125,-16.3125)},Gravity: {Time: 1033, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 1041, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.3941650390625, 0.91888427734375)}}
