0:00:00.078709: {Acceleration: {Time: 40, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 14, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 28, Status: 1, Value: (-29.25,29.1875,-14.8125)},Gravity: {Time: 12, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 43, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.3887939453125, 0.92120361328125)}}
0:00:00.191676: {Acceleration: {Time: 153, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 143, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 147, Status: 1, Value: (-29.625,28.875,-14.75)},Gravity: {Time: 129, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 156, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38873291015625, 0.92120361328125)}}
0:00:00.298981: {Acceleration: {Time: 263, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 213, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 227, Status: 1, Value: (-29.8125,28.5,-16.3125)},Gravity: {Time: 211, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 260, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38873291015625, 0.92120361328125)}}
0:00:00.395065: {Acceleration: {Time: 359, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 345, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 348, Status: 1, Value: (-29.75,28.625,-14.0)},Gravity: {Time: 331, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 355, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38873291015625, 0.92120361328125)}}
0:00:00.495881: {Acceleration: {Time: 457, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 431, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 445, Status: 1, Value: (-28.5,27.6875,-16.5)},Gravity: {Time: 427, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 460, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.39898681640625, 0.9168701171875)}}
0:00:00.609915: {Acceleration: {Time: 574, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 507, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 511, Status: 1, Value: (-29.1875,29.1875,-15.125)},Gravity: {Time: 504, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 571, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.39892578125, 0.9168701171875)}}
0:00:00.706831: {Acceleration: {Time: 671, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 633, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 635, Status: 1, Value: (-29.375,28.125,-16.375)},Gravity: {Time: 629, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 666, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39892578125, 0.9168701171875)}}
0:00:00.797862: {Acceleration: {Time: 760, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 725, Status: 3, Value: (-0.01953125,0.01171875,0.04296875)},Magnetic: {Time: 729, Status: 1, Value: (-30.5,28.1875,-16.625)},Gravity: {Time: 711, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 754, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39886474609375, 0.9168701171875)}}
0:00:00.911769: {Acceleration: {Time: 874, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 835, Status: 3, Value: (-0.01953125,0.00390625,-0.00390625)},Magnetic: {Time: 838, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 821, Status: 3, Value: (0.171875,-0.234375,9.65625)}, Rotation: {Time: 876, Status: 0, Value: (-0.0146484375,-0.00335693359375,-0.39886474609375, 0.9168701171875)}}
0:00:00.997451: {Acceleration: {Time: 953, Status: 0, Value: (-0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 962, Status: 3, Value: (-0.01953125,0.00390625,0.03515625)},Magnetic: {Time: 919, Status: 1, Value: (-30.0625,28.5625,-14.75)},Gravity: {Time: 960, Status: 3, Value: (0.171875,-0.234375,9.65625)}, Rotation: {Time: 955, Status: 0, Value: (-0.0146484375,-0.0032958984375,-0.39892578125, 0.9168701171875)}}
0:00:01.095903: {Acceleration: {Time: 1052, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 1061, Status: 3, Value: (-0.02734375,-0.03515625,-0.00390625)},Magnetic: {Time: 995, Status: 1, Value: (-30.3125,28.1875,-15.5)},Gravity: {Time: 1057, Status: 3, Value: (0.1796875,-0.234375,9.65625)}, Rotation: {Time: 1054, Status: 0, Value: (-0.0146484375,-0.00335693359375,-0.39892578125, 0.9168701171875)}}
0:00:01.216881: {Acceleration: {Time: 1182, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 1142, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 1146, Status: 1, Value: (-30.0,29.8125,-15.875)},Gravity: {Time: 1139, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1177, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39898681640625, 0.91680908203125)}}
0:00:01.315810: {Acceleration: {Time: 1272, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1281, Status: 3, Value: (0.01171875,-0.02734375,-0.04296875)},Magnetic: {Time: 1216, Status: 1, Value: (-30.5,29.625,-15.0)},Gravity: {Time: 1277, Status: 3, Value: (0.1796875,-0.2421875,9.65625)}, Rotation: {Time: 1274, Status: 0, Value: (-0.0150146484375,-0.00311279296875,-0.39892578125, 0.9168701171875)}}
0:00:01.408574: {Acceleration: {Time: 1371, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1364, Status: 3, Value: (-0.02734375,0.01171875,-0.00390625)},Magnetic: {Time: 1366, Status: 1, Value: (-29.4375,27.8125,-15.625)},Gravity: {Time: 1360, Status: 3, Value: (0.1796875,-0.2421875,9.65625)}, Rotation: {Time: 1374, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.39892578125, 0.9168701171875)}}
0:00:01.519539: {Acceleration: {Time: 1480, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1485, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1444, Status: 1, Value: (-29.875,28.5,-15.875)},Gravity: {Time: 1482, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1476, Status: 0, Value: (-0.0150146484375,-0.00311279296875,-0.39898681640625, 0.9168701171875)}}
0:00:01.615100: {Acceleration: {Time: 1571, Status: 0, Value: (-0.001953125,0.00390625,0.001953125)},Gyroscope: {Time: 1580, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1519, Status: 1, Value: (-31.625,28.0,-14.625)},Gravity: {Time: 1577, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1574, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.39892578125, 0.9168701171875)}}
0:00:01.714801: {Acceleration: {Time: 1678, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1637, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 1641, Status: 1, Value: (-29.375,28.75,-16.6875)},Gravity: {Time: 1623, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1680, Status: 0, Value: (-0.01507568359375,-0.0030517578125,-0.39898681640625, 0.91680908203125)}}
0:00:01.821175: {Acceleration: {Time: 1787, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1708, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1722, Status: 1, Value: (-28.6875,29.125,-16.0)},Gravity: {Time: 1706, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1783, Status: 0, Value: (-0.01507568359375,-0.00299072265625,-0.39898681640625, 0.91680908203125)}}
