0:00:00.077040: {Acceleration: {Time: 36, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 187117, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 187120, Status: 1, Value: (-29.5,27.8125,-15.1875)},Gravity: {Time: 187102, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 30, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.181341: {Acceleration: {Time: 131, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 137, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 140, Status: 1, Value: (-28.6875,28.75,-15.625)},Gravity: {Time: 135, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 143, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.296360: {Acceleration: {Time: 258, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 201, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 215, Status: 1, Value: (-29.625,29.5,-15.5)},Gravity: {Time: 198, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 254, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.381836: {Acceleration: {Time: 343, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 304, Status: 3, Value: (0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 307, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 290, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 340, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.479624: {Acceleration: {Time: 438, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 401, Status: 3, Value: (0.01953125,-0.02734375,0.08984375)},Magnetic: {Time: 377, Status: 1, Value: (-29.0625,28.8125,-15.9375)},Gravity: {Time: 397, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 441, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.598704: {Acceleration: {Time: 558, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 551, Status: 3, Value: (0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 555, Status: 1, Value: (-29.9375,28.5,-15.5)},Gravity: {Time: 548, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 560, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.686297: {Acceleration: {Time: 646, Status: 0, Value: (0.0,-0.00390625,-0.001953125)},Gyroscope: {Time: 619, Status: 3, Value: (-0.06640625,0.01953125,-0.02734375)},Magnetic: {Time: 633, Status: 1, Value: (-30.8125,29.3125,-14.9375)},Gravity: {Time: 616, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 648, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38677978515625, 0.92205810546875)}}
0:00:00.799403: {Acceleration: {Time: 758, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 747, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 750, Status: 1, Value: (-29.4375,28.5,-15.9375)},Gravity: {Time: 733, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 761, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3868408203125, 0.9219970703125)}}
0:00:00.888791: {Acceleration: {Time: 847, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 821, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 835, Status: 1, Value: (-28.6875,28.125,-15.3125)},Gravity: {Time: 818, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 851, Status: 0, Value: (-0.01513671875,-0.0032958984375,-0.3868408203125, 0.9219970703125)}}
0:00:01.001865: {Acceleration: {Time: 961, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 955, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 957, Status: 1, Value: (-29.8125,27.5625,-16.0)},Gravity: {Time: 951, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 964, Status: 0, Value: (-0.01507568359375,-0.00323486328125,-0.3868408203125, 0.9219970703125)}}
0:00:01.111399: {Acceleration: {Time: 1066, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 1074, Status: 3, Value: (-0.01953125,-0.02734375,-0.0625)},Magnetic: {Time: 1011, Status: 1, Value: (-29.125,28.5,-15.25)},Gravity: {Time: 1071, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1068, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38690185546875, 0.9219970703125)}}
0:00:01.208778: {Acceleration: {Time: 1163, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 1132, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 1135, Status: 1, Value: (-29.4375,29.125,-16.6875)},Gravity: {Time: 1171, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1166, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.38690185546875, 0.9219970703125)}}
0:00:01.304264: {Acceleration: {Time: 1264, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1199, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1205, Status: 1, Value: (-29.875,29.125,-16.625)},Gravity: {Time: 1267, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1261, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:01.396930: {Acceleration: {Time: 1359, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 1326, Status: 3, Value: (-0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 1329, Status: 1, Value: (-29.6875,27.5,-16.75)},Gravity: {Time: 1324, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1356, Status: 0, Value: (-0.01519775390625,-0.00335693359375,-0.38702392578125, 0.92193603515625)}}
0:00:01.506472: {Acceleration: {Time: 1462, Status: 0, Value: (0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 1469, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1405, Status: 1, Value: (-30.1875,30.25,-14.6875)},Gravity: {Time: 1467, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1464, Status: 0, Value: (-0.01519775390625,-0.00335693359375,-0.38702392578125, 0.92193603515625)}}
0:00:01.620341: {Acceleration: {Time: 1575, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1583, Status: 3, Value: (-0.05859375,0.01953125,-0.109375)},Magnetic: {Time: 1522, Status: 1, Value: (-28.125,28.8125,-14.1875)},Gravity: {Time: 1581, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1577, Status: 0, Value: (-0.01519775390625,-0.00341796875,-0.38702392578125, 0.92193603515625)}}
0:00:01.719465: {Acceleration: {Time: 1673, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1682, Status: 3, Value: (-0.05078125,0.01953125,0.08203125)},Magnetic: {Time: 1641, Status: 1, Value: (-29.875,28.5,-15.875)},Gravity: {Time: 1679, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1676, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:01.820965: {Acceleration: {Time: 1775, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1784, Status: 3, Value: (-0.05078125,0.00390625,0.08984375)},Magnetic: {Time: 1746, Status: 1, Value: (-30.0625,29.25,-15.0625)},Gravity: {Time: 1782, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 1777, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
