0:00:00.109595: {Acceleration: {Time: 69, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 31, Status: 3, Value: (0.01171875,0.00390625,0.03515625)},Magnetic: {Time: 34, Status: 1, Value: (-25.5,-21.5,-6.5625)},Gravity: {Time: 17, Status: 3, Value: (0.1015625,-0.1953125,9.6171875)}, Rotation: {Time: 71, Status: 0, Value: (-0.009033203125,-0.00390625,0.0001220703125, 0.99993896484375)}}
0:00:00.197830: {Acceleration: {Time: 157, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 92, Status: 3, Value: (0.01171875,0.00390625,-0.00390625)},Magnetic: {Time: 94, Status: 1, Value: (-25.0,-20.6875,-7.6875)},Gravity: {Time: 89, Status: 3, Value: (0.1015625,-0.1953125,9.6171875)}, Rotation: {Time: 160, Status: 0, Value: (-0.009033203125,-0.00390625,0.0001220703125, 0.99993896484375)}}
0:00:00.308454: {Acceleration: {Time: 262, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 270, Status: 3, Value: (0.01171875,0.01171875,-0.01171875)},Magnetic: {Time: 210, Status: 1, Value: (-25.625,-21.8125,-5.4375)},Gravity: {Time: 268, Status: 3, Value: (0.1015625,-0.203125,9.625)}, Rotation: {Time: 265, Status: 0, Value: (-0.0091552734375,-0.0040283203125,0.0001220703125, 0.99993896484375)}}
0:00:00.420055: {Acceleration: {Time: 375, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 382, Status: 3, Value: (0.01171875,0.01171875,-0.01171875)},Magnetic: {Time: 320, Status: 1, Value: (-26.625,-22.125,-6.4375)},Gravity: {Time: 380, Status: 3, Value: (0.1015625,-0.203125,9.625)}, Rotation: {Time: 377, Status: 0, Value: (-0.0091552734375,-0.0040283203125,0.0001220703125, 0.99993896484375)}}
0:00:00.507304: {Acceleration: {Time: 467, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 459, Status: 3, Value: (0.01171875,0.01171875,0.02734375)},Magnetic: {Time: 461, Status: 1, Value: (-24.0625,-20.75,-8.5625)},Gravity: {Time: 456, Status: 3, Value: (0.1015625,-0.203125,9.625)}, Rotation: {Time: 469, Status: 0, Value: (-0.00927734375,-0.00408935546875,0.0001220703125, 0.99993896484375)}}
0:00:00.612012: {Acceleration: {Time: 572, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 513, Status: 3, Value: (0.01171875,0.01171875,-0.01171875)},Magnetic: {Time: 516, Status: 1, Value: (-26.125,-20.9375,-7.5625)},Gravity: {Time: 499, Status: 3, Value: (0.1015625,-0.203125,9.625)}, Rotation: {Time: 565, Status: 0, Value: (-0.00933837890625,-0.00408935546875,0.0001220703125, 0.99993896484375)}}
0:00:00.723512: {Acceleration: {Time: 683, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 657, Status: 3, Value: (0.00390625,-0.03515625,-0.01171875)},Magnetic: {Time: 671, Status: 1, Value: (-25.9375,-19.875,-7.1875)},Gravity: {Time: 654, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 686, Status: 0, Value: (-0.00946044921875,-0.00421142578125,0.000244140625, 0.99993896484375)}}
0:00:00.807899: {Acceleration: {Time: 762, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 770, Status: 3, Value: (0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 709, Status: 1, Value: (-26.125,-20.9375,-7.5625)},Gravity: {Time: 768, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 764, Status: 0, Value: (-0.00946044921875,-0.0042724609375,0.000244140625, 0.99993896484375)}}
0:00:00.929911: {Acceleration: {Time: 889, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 827, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 830, Status: 1, Value: (-25.0625,-20.3125,-7.3125)},Gravity: {Time: 823, Status: 3, Value: (0.1171875,-0.1953125,9.625)}, Rotation: {Time: 891, Status: 0, Value: (-0.009521484375,-0.00433349609375,0.00018310546875, 0.99993896484375)}}
0:00:01.026122: {Acceleration: {Time: 988, Status: 0, Value: (-0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 974, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 977, Status: 1, Value: (-25.9375,-20.1875,-6.8125)},Gravity: {Time: 960, Status: 3, Value: (0.1171875,-0.1953125,9.625)}, Rotation: {Time: 984, Status: 0, Value: (-0.009521484375,-0.00445556640625,0.00018310546875, 0.99993896484375)}}
0:00:01.114466: {Acceleration: {Time: 1073, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1067, Status: 3, Value: (-0.03125,0.00390625,0.02734375)},Magnetic: {Time: 1070, Status: 1, Value: (-25.9375,-20.875,-6.5)},Gravity: {Time: 1063, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 1077, Status: 0, Value: (-0.00958251953125,-0.0045166015625,0.00018310546875, 0.99993896484375)}}
0:00:01.229176: {Acceleration: {Time: 1191, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1151, Status: 3, Value: (0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 1154, Status: 1, Value: (-25.3125,-21.9375,-7.375)},Gravity: {Time: 1137, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 1188, Status: 0, Value: (-0.0096435546875,-0.0045166015625,0.00018310546875, 0.99993896484375)}}
0:00:01.325258: {Acceleration: {Time: 1278, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 1287, Status: 3, Value: (-0.03125,0.00390625,0.02734375)},Magnetic: {Time: 1223, Status: 1, Value: (-26.125,-20.9375,-7.625)},Gravity: {Time: 1284, Status: 3, Value: (0.109375,-0.1953125,9.625)}, Rotation: {Time: 1281, Status: 0, Value: (-0.00970458984375,-0.00457763671875,0.000244140625, 0.99993896484375)}}
0:00:01.435239: {Acceleration: {Time: 1394, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 1368, Status: 3, Value: (0.00390625,0.01171875,-0.01171875)},Magnetic: {Time: 1382, Status: 1, Value: (-25.75,-20.625,-8.0625)},Gravity: {Time: 1366, Status: 3, Value: (0.109375,-0.203125,9.625)}, Rotation: {Time: 1398, Status: 0, Value: (-0.009765625,-0.00457763671875,0.000244140625, 0.99993896484375)}}
0:00:01.522634: {Acceleration: {Time: 1483, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 1457, Status: 3, Value: (-0.03125,0.01171875,-0.01171875)},Magnetic: {Time: 1471, Status: 1, Value: (-25.375,-21.0,-7.6875)},Gravity: {Time: 1453, Status: 3, Value: (0.109375,-0.203125,9.625)}, Rotation: {Time: 1485, Status: 0, Value: (-0.009765625,-0.00457763671875,0.000244140625, 0.99993896484375)}}
0:00:01.634601: {Acceleration: {Time: 1593, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 1587, Status: 3, Value: (0.00390625,0.01171875,-0.01953125)},Magnetic: {Time: 1590, Status: 1, Value: (-25.8125,-21.625,-7.3125)},Gravity: {Time: 1583, Status: 3, Value: (0.109375,-0.203125,9.6328125)}, Rotation: {Time: 1597, Status: 0, Value: (-0.0098876953125,-0.004638671875,0.00018310546875, 0.99993896484375)}}
0:00:01.722865: {Acceleration: {Time: 1683, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 1657, Status: 3, Value: (0.01171875,0.01171875,-0.01953125)},Magnetic: {Time: 1671, Status: 1, Value: (-24.5,-21.375,-7.875)},Gravity: {Time: 1654, Status: 3, Value: (0.1015625,-0.203125,9.6328125)}, Rotation: {Time: 1685, Status: 0, Value: (-0.0098876953125,-0.004638671875,0.00018310546875, 0.99993896484375)}}
0:00:01.835515: {Acceleration: {Time: 1795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1769, Status: 3, Value: (0.01171875,0.00390625,-0.01953125)},Magnetic: {Time: 1783, Status: 1, Value: (-25.75,-21.625,-7.375)},Gravity: {Time: 1766, Status: 3, Value: (0.1015625,-0.1953125,9.6328125)}, Rotation: {Time: 1798, Status: 0, Value: (-0.0098876953125,-0.004638671875,0.00018310546875, 0.99993896484375)}}
0:00:01.921869: {Acceleration: {Time: 1882, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1845, Status: 3, Value: (-0.0234375,0.00390625,0.01953125)},Magnetic: {Time: 1848, Status: 1, Value: (-25.9375,-20.875,-6.5625)},Gravity: {Time: 1842, Status: 3, Value: (0.1015625,-0.1953125,9.6328125)}, Rotation: {Time: 1884, Status: 0, Value: (-0.0098876953125,-0.004638671875,0.00018310546875, 0.99993896484375)}}
0:00:02.034459: {Acceleration: {Time: 1995, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1988, Status: 3, Value: (0.01171875,0.00390625,0.01953125)},Magnetic: {Time: 1991, Status: 1, Value: (-25.375,-20.3125,-8.0625)},Gravity: {Time: 1985, Status: 3, Value: (0.1015625,-0.1953125,9.6328125)}, Rotation: {Time: 1997, Status: 0, Value: (-0.0098876953125,-0.00469970703125,0.00018310546875, 0.99993896484375)}}
0:00:02.121798: {Acceleration: {Time: 2082, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2055, Status: 3, Value: (-0.0234375,0.00390625,-0.01953125)},Magnetic: {Time: 2069, Status: 1, Value: (-24.5,-21.0625,-7.875)},Gravity: {Time: 2053, Status: 3, Value: (0.1015625,-0.1953125,9.6328125)}, Rotation: {Time: 2084, Status: 0, Value: (-0.0098876953125,-0.00469970703125,0.00018310546875, 0.99993896484375)}}
0:00:02.235828: {Acceleration: {Time: 2189, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2198, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 2183, Status: 1, Value: (-25.75,-21.875,-7.4375)},Gravity: {Time: 2196, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2191, Status: 0, Value: (-0.0098876953125,-0.00469970703125,0.00018310546875, 0.99993896484375)}}
0:00:02.335914: {Acceleration: {Time: 2290, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2299, Status: 3, Value: (0.00390625,0.04296875,-0.01953125)},Magnetic: {Time: 2261, Status: 1, Value: (-26.5,-20.5625,-8.3125)},Gravity: {Time: 2295, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 2292, Status: 0, Value: (-0.00994873046875,-0.0047607421875,0.00018310546875, 0.99993896484375)}}
