0:00:00.087755: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 4.461090087890625, Phase: 11701.248046875
0:00:00.186016: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 4.037850379943848, Phase: 11701.86328125
0:00:00.284193: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.654721736907959, Phase: 11702.4794921875
0:00:00.377667: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.3214449882507324, Phase: 11703.0703125
0:00:00.494395: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.949551820755005, Phase: 11703.8056640625
0:00:00.579714: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.7058753967285156, Phase: 11704.33984375
0:00:00.691398: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.415299654006958, Phase: 11705.04296875
0:00:00.779637: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.2089240550994873, Phase: 11705.595703125
0:00:00.892621: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.9696898460388184, Phase: 11706.3056640625
0:00:00.975693: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.8106844425201416, Phase: 11706.828125
0:00:01.099815: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5946156978607178, Phase: 11707.61328125
0:00:01.181549: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.467376470565796, Phase: 11708.12890625
0:00:01.295182: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.3084559440612793, Phase: 11708.83984375
0:00:01.393621: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.183085560798645, Phase: 11709.462890625
0:00:01.485298: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.0774242877960205, Phase: 11710.041015625
0:00:01.594895: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.9646942019462585, Phase: 11710.7265625
0:00:01.700889: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.8664185404777527, Phase: 11711.392578125
0:00:01.783227: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.7964666485786438, Phase: 11711.9130859375
0:00:01.904802: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.7036501169204712, Phase: 11712.6796875
0:00:01.995765: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.6414760947227478, Phase: 11713.251953125
0:00:02.113475: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.5690644383430481, Phase: 11713.9931640625
0:00:02.199822: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.5215136408805847, Phase: 11714.533203125
0:00:02.307796: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.46742409467697144, Phase: 11715.2119140625
0:00:02.394090: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.4283663332462311, Phase: 11715.751953125
0:00:02.494401: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.38651445508003235, Phase: 11716.3876953125
0:00:02.614269: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.34213903546333313, Phase: 11717.1416015625
0:00:02.695963: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.3148350715637207, Phase: 11717.6572265625
0:00:02.808440: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.28102678060531616, Phase: 11718.361328125
0:00:02.895636: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.257014662027359, Phase: 11718.9150390625
0:00:02.998891: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.23154538869857788, Phase: 11719.5625
