0:00:00.074785: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19986.173828125
0:00:00.179039: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19986.830078125
0:00:00.283350: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19987.486328125
0:00:00.387310: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19988.1484375
0:00:00.490972: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19988.8046875
0:00:00.594808: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19989.4609375
0:00:00.686897: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19990.041015625
0:00:00.790781: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19990.697265625
0:00:00.894604: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19991.353515625
0:00:00.998973: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19992.009765625
0:00:01.090033: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19992.58984375
0:00:01.194121: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19993.24609375
0:00:01.297950: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19993.90234375
0:00:01.402063: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19994.55859375
0:00:01.506122: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19995.220703125
0:00:01.610297: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19995.876953125
0:00:01.714361: Frequency: 0.0, Amplitude: 4.203895392974451e-44, Offset: 89.9995346069336, Phase Shift: 4.344025239406933e-44, Phase: 19996.533203125
