0:00:00.063850 {Acceleration: {Time: 39, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 4, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 6, Status: 1, Value: (-31.1875,28.125,-17.875)},Gravity: {Time: 1, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 36, Status: 0, Value: (-0.01507568359375,-0.00244140625,-0.392578125, 0.91961669921875)}}
0:00:00.147162 {Acceleration: {Time: 123, Status: 0, Value: (0.00390625,0.001953125,-0.00390625)},Gyroscope: {Time: 87, Status: 3, Value: (-0.00390625,0.06640625,0.00390625)},Magnetic: {Time: 91, Status: 1, Value: (-31.0,29.5,-16.75)},Gravity: {Time: 84, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 119, Status: 0, Value: (-0.01513671875,-0.00244140625,-0.39263916015625, 0.9195556640625)}}
0:00:00.256782 {Acceleration: {Time: 232, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 199, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 202, Status: 1, Value: (-31.3125,28.875,-17.125)},Gravity: {Time: 197, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 229, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.39263916015625, 0.9195556640625)}}
0:00:00.374529 {Acceleration: {Time: 342, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 350, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 278, Status: 1, Value: (-31.3125,28.875,-17.125)},Gravity: {Time: 348, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 346, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.39263916015625, 0.9195556640625)}}
0:00:00.470832 {Acceleration: {Time: 446, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 408, Status: 3, Value: (-0.00390625,0.02734375,0.01171875)},Magnetic: {Time: 410, Status: 1, Value: (-29.9375,27.6875,-18.0625)},Gravity: {Time: 405, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 441, Status: 0, Value: (-0.01507568359375,-0.00238037109375,-0.392578125, 0.9195556640625)}}
0:00:00.569045 {Acceleration: {Time: 536, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 545, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 505, Status: 1, Value: (-30.125,27.0625,-18.8125)},Gravity: {Time: 542, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 538, Status: 0, Value: (-0.01507568359375,-0.00225830078125,-0.39654541015625, 0.91790771484375)}}
0:00:00.672424 {Acceleration: {Time: 646, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 626, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 640, Status: 1, Value: (-30.25,28.1875,-16.125)},Gravity: {Time: 622, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 620, Status: 0, Value: (-0.01513671875,-0.00225830078125,-0.39654541015625, 0.91790771484375)}}
0:00:00.760797 {Acceleration: {Time: 733, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 708, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 721, Status: 1, Value: (-29.75,28.75,-17.25)},Gravity: {Time: 705, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 737, Status: 0, Value: (-0.0155029296875,-0.00213623046875,-0.39654541015625, 0.9178466796875)}}
0:00:00.873370 {Acceleration: {Time: 847, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 840, Status: 3, Value: (-0.00390625,0.03515625,0.01171875)},Magnetic: {Time: 843, Status: 1, Value: (-30.125,29.125,-17.5625)},Gravity: {Time: 837, Status: 3, Value: (0.15625,-0.265625,9.640625)}, Rotation: {Time: 849, Status: 0, Value: (-0.015869140625,-0.001953125,-0.39654541015625, 0.91790771484375)}}
0:00:00.957690 {Acceleration: {Time: 931, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 906, Status: 3, Value: (-0.00390625,-0.01171875,-0.03515625)},Magnetic: {Time: 919, Status: 1, Value: (-29.125,28.625,-18.5)},Gravity: {Time: 902, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 934, Status: 0, Value: (-0.01544189453125,-0.00213623046875,-0.3966064453125, 0.9178466796875)}}
0:00:01.063471 {Acceleration: {Time: 1037, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 1031, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 1033, Status: 1, Value: (-29.6875,28.75,-17.6875)},Gravity: {Time: 1027, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 1040, Status: 0, Value: (-0.0155029296875,-0.00213623046875,-0.3966064453125, 0.9178466796875)}}
