0:00:00.088840 {Acceleration: {Time: 70, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 60, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 62, Status: 1, Value: (-30.875,29.1875,-17.5)},Gravity: {Time: 57, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 66, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:00.184633 {Acceleration: {Time: 157, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 166, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 102, Status: 1, Value: (-32.25,30.5625,-17.3125)},Gravity: {Time: 162, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 159, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:00.289495 {Acceleration: {Time: 263, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 271, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 257, Status: 1, Value: (-31.0,29.5,-16.75)},Gravity: {Time: 268, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 265, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:00.385611 {Acceleration: {Time: 367, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 329, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 331, Status: 1, Value: (-31.0,30.125,-17.5)},Gravity: {Time: 325, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 362, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:00.484020 {Acceleration: {Time: 456, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 465, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 425, Status: 1, Value: (-31.0,29.8125,-17.125)},Gravity: {Time: 462, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 459, Status: 0, Value: (-0.0152587890625,-0.0025634765625,-0.38946533203125, 0.9208984375)}}
0:00:00.598587 {Acceleration: {Time: 571, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 580, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 565, Status: 1, Value: (-32.0,29.9375,-15.875)},Gravity: {Time: 578, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 573, Status: 0, Value: (-0.01513671875,-0.0025634765625,-0.38946533203125, 0.9208984375)}}
0:00:00.693875 {Acceleration: {Time: 672, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 637, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 613, Status: 1, Value: (-31.3125,30.4375,-18.125)},Gravity: {Time: 634, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 675, Status: 0, Value: (-0.01519775390625,-0.0025634765625,-0.389404296875, 0.9208984375)}}
0:00:00.779152 {Acceleration: {Time: 758, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 695, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 698, Status: 1, Value: (-31.4375,29.5,-16.6875)},Gravity: {Time: 761, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 755, Status: 0, Value: (-0.01513671875,-0.00250244140625,-0.389404296875, 0.92095947265625)}}
0:00:00.874720 {Acceleration: {Time: 853, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 818, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 795, Status: 1, Value: (-30.9375,28.5,-16.8125)},Gravity: {Time: 815, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 856, Status: 0, Value: (-0.01519775390625,-0.0025634765625,-0.389404296875, 0.92095947265625)}}
0:00:00.986147 {Acceleration: {Time: 963, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 968, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 900, Status: 1, Value: (-31.375,29.5,-17.0625)},Gravity: {Time: 966, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 960, Status: 0, Value: (-0.01513671875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.100769 {Acceleration: {Time: 1083, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 1026, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 1040, Status: 1, Value: (-31.75,30.3125,-15.125)},Gravity: {Time: 1023, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 1079, Status: 0, Value: (-0.01519775390625,-0.0025634765625,-0.38946533203125, 0.9208984375)}}
0:00:01.189075 {Acceleration: {Time: 1169, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1161, Status: 3, Value: (-0.00390625,-0.0546875,0.00390625)},Magnetic: {Time: 1163, Status: 1, Value: (-30.5,29.75,-17.5625)},Gravity: {Time: 1158, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 1171, Status: 0, Value: (-0.01519775390625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.275306 {Acceleration: {Time: 1257, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 1242, Status: 3, Value: (-0.00390625,0.02734375,0.00390625)},Magnetic: {Time: 1245, Status: 1, Value: (-30.4375,29.375,-17.9375)},Gravity: {Time: 1228, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 1253, Status: 0, Value: (-0.01519775390625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
