0:00:00.102670 {Acceleration: {Time: 69, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 59, Status: 3, Value: (-0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 62, Status: 1, Value: (-30.25,30.0625,-17.375)},Gravity: {Time: 45, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 71, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.191965 {Acceleration: {Time: 157, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 146, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 149, Status: 1, Value: (-29.125,28.8125,-15.625)},Gravity: {Time: 132, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 160, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.302931 {Acceleration: {Time: 264, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 232, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 235, Status: 1, Value: (-30.375,30.125,-16.5625)},Gravity: {Time: 271, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 266, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.401137 {Acceleration: {Time: 368, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 326, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 329, Status: 1, Value: (-29.875,29.75,-16.625)},Gravity: {Time: 370, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 363, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.516703 {Acceleration: {Time: 483, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 457, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 471, Status: 1, Value: (-30.375,30.125,-16.25)},Gravity: {Time: 455, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 486, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.598602 {Acceleration: {Time: 565, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 556, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 560, Status: 1, Value: (-29.8125,29.125,-16.75)},Gravity: {Time: 543, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 539, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.712147 {Acceleration: {Time: 679, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 672, Status: 3, Value: (0.01953125,-0.01953125,-0.0625)},Magnetic: {Time: 675, Status: 1, Value: (-30.75,29.5,-15.8125)},Gravity: {Time: 669, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 681, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.800316 {Acceleration: {Time: 767, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 741, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 755, Status: 1, Value: (-29.75,28.75,-17.125)},Gravity: {Time: 738, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 769, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:00.913930 {Acceleration: {Time: 881, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 856, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 870, Status: 1, Value: (-31.375,29.5,-17.25)},Gravity: {Time: 853, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 883, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:01.000179 {Acceleration: {Time: 969, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 956, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 959, Status: 1, Value: (-32.125,30.625,-15.5625)},Gravity: {Time: 942, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 966, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:01.106993 {Acceleration: {Time: 1076, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1063, Status: 3, Value: (0.06640625,-0.01171875,0.01171875)},Magnetic: {Time: 1066, Status: 1, Value: (-31.125,30.5,-16.5)},Gravity: {Time: 1049, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1073, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
