0:00:00.041296 {Acceleration: {Time: 8, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 15, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 26224, Status: 1, Value: (-30.5,28.8125,-17.375)},Gravity: {Time: 12, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 10, Status: 0, Value: (-0.015625,-0.00262451171875,-0.399658203125, 0.91650390625)}}
0:00:00.124998 {Acceleration: {Time: 90, Status: 0, Value: (0.00390625,0.00390625,-0.001953125)},Gyroscope: {Time: 99, Status: 3, Value: (0.02734375,-0.046875,0.08984375)},Magnetic: {Time: 31, Status: 1, Value: (-29.3125,27.75,-16.5)},Gravity: {Time: 95, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 92, Status: 0, Value: (-0.01568603515625,-0.00262451171875,-0.399658203125, 0.91650390625)}}
0:00:00.220784 {Acceleration: {Time: 186, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 194, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 155, Status: 1, Value: (-29.25,29.0,-17.9375)},Gravity: {Time: 192, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 189, Status: 0, Value: (-0.015625,-0.00262451171875,-0.39971923828125, 0.91650390625)}}
0:00:00.335359 {Acceleration: {Time: 306, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 280, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 294, Status: 1, Value: (-30.75,29.5,-15.875)},Gravity: {Time: 278, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 309, Status: 0, Value: (-0.01568603515625,-0.00262451171875,-0.39959716796875, 0.91656494140625)}}
0:00:00.423651 {Acceleration: {Time: 394, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 364, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 367, Status: 1, Value: (-31.3125,28.875,-17.375)},Gravity: {Time: 362, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 398, Status: 0, Value: (-0.01568603515625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:00.536267 {Acceleration: {Time: 508, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 481, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 495, Status: 1, Value: (-31.0,29.25,-16.625)},Gravity: {Time: 479, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 510, Status: 0, Value: (-0.01568603515625,-0.00262451171875,-0.39959716796875, 0.91656494140625)}}
0:00:00.623529 {Acceleration: {Time: 589, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 598, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 557, Status: 1, Value: (-29.875,29.4375,-16.6875)},Gravity: {Time: 594, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 591, Status: 0, Value: (-0.01568603515625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:00.748132 {Acceleration: {Time: 711, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 718, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 720, Status: 1, Value: (-30.25,29.75,-17.0)},Gravity: {Time: 714, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 722, Status: 0, Value: (-0.0157470703125,-0.00262451171875,-0.39959716796875, 0.91656494140625)}}
0:00:00.834500 {Acceleration: {Time: 806, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 800, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 803, Status: 1, Value: (-30.5,29.4375,-17.4375)},Gravity: {Time: 796, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 809, Status: 0, Value: (-0.01568603515625,-0.00262451171875,-0.39959716796875, 0.91656494140625)}}
0:00:00.952035 {Acceleration: {Time: 924, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 917, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 921, Status: 1, Value: (-31.9375,29.9375,-16.4375)},Gravity: {Time: 914, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 926, Status: 0, Value: (-0.0157470703125,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:01.037527 {Acceleration: {Time: 1009, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 984, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 997, Status: 1, Value: (-30.25,29.4375,-17.0625)},Gravity: {Time: 981, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1012, Status: 0, Value: (-0.01568603515625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
