0:00:00.019406 {Acceleration: {Time: 239156, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 239164, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 239098, Status: 1, Value: (-30.1875,28.1875,-16.375)},Gravity: {Time: 239160, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 239158, Status: 0, Value: (-0.01544189453125,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.118613 {Acceleration: {Time: 84, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 58, Status: 3, Value: (-0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 72, Status: 1, Value: (-29.75,28.75,-17.1875)},Gravity: {Time: 54, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 87, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:00.232153 {Acceleration: {Time: 198, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 172, Status: 3, Value: (0.03515625,-0.01953125,0.01171875)},Magnetic: {Time: 186, Status: 1, Value: (-30.625,28.25,-15.625)},Gravity: {Time: 170, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 201, Status: 0, Value: (-0.015380859375,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.317348 {Acceleration: {Time: 286, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 273, Status: 3, Value: (-0.00390625,-0.01171875,-0.109375)},Magnetic: {Time: 276, Status: 1, Value: (-29.8125,28.8125,-16.75)},Gravity: {Time: 259, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 283, Status: 0, Value: (-0.015380859375,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.423258 {Acceleration: {Time: 390, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 332, Status: 3, Value: (-0.00390625,-0.01171875,-0.0703125)},Magnetic: {Time: 334, Status: 1, Value: (-31.0,29.1875,-16.6875)},Gravity: {Time: 328, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 392, Status: 0, Value: (-0.01544189453125,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.531802 {Acceleration: {Time: 498, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 412, Status: 3, Value: (-0.01171875,0.01953125,-0.04296875)},Magnetic: {Time: 415, Status: 1, Value: (-29.375,28.4375,-16.5)},Gravity: {Time: 408, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 492, Status: 0, Value: (-0.015380859375,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.628261 {Acceleration: {Time: 595, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 558, Status: 3, Value: (0.02734375,0.01953125,0.03515625)},Magnetic: {Time: 534, Status: 1, Value: (-30.75,29.25,-15.5)},Gravity: {Time: 554, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 597, Status: 0, Value: (-0.015380859375,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:00.740731 {Acceleration: {Time: 707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 701, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 704, Status: 1, Value: (-28.875,29.0,-17.6875)},Gravity: {Time: 697, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 710, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:00.822276 {Acceleration: {Time: 789, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 769, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 783, Status: 1, Value: (-30.125,28.125,-16.8125)},Gravity: {Time: 765, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 763, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:00.939936 {Acceleration: {Time: 906, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 880, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 894, Status: 1, Value: (-29.375,28.4375,-16.5)},Gravity: {Time: 877, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 909, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.025154 {Acceleration: {Time: 985, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 994, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 932, Status: 1, Value: (-30.25,30.125,-17.0625)},Gravity: {Time: 992, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 989, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.149515 {Acceleration: {Time: 1110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1119, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 1075, Status: 1, Value: (-30.625,29.5,-16.625)},Gravity: {Time: 1116, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1112, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.239696 {Acceleration: {Time: 1201, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1206, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 1209, Status: 1, Value: (-29.875,29.75,-16.75)},Gravity: {Time: 1204, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1195, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.339865 {Acceleration: {Time: 1300, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1310, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1272, Status: 1, Value: (-30.3125,28.875,-16.0)},Gravity: {Time: 1306, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1303, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.431248 {Acceleration: {Time: 1399, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1391, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 1394, Status: 1, Value: (-29.3125,28.0625,-16.9375)},Gravity: {Time: 1388, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1401, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
