0:00:00.067209 {Acceleration: {Time: 41, Status: 0, Value: (0.005859375,-0.03125,0.001953125)},Gyroscope: {Time: 15, Status: 3, Value: (0.28125,-0.1328125,-1.2890625)},Magnetic: {Time: 29, Status: 1, Value: (-28.25,28.375,-16.25)},Gravity: {Time: 13, Status: 3, Value: (0.1796875,-0.2109375,9.5625)}, Rotation: {Time: 44, Status: 0, Value: (-0.01397705078125,-0.0045166015625,-0.3848876953125, 0.9228515625)}}
0:00:00.148809 {Acceleration: {Time: 124, Status: 0, Value: (-0.005859375,-0.005859375,0.0)},Gyroscope: {Time: 100, Status: 3, Value: (0.1328125,-0.02734375,0.453125)},Magnetic: {Time: 103, Status: 1, Value: (-28.3125,27.5,-15.1875)},Gravity: {Time: 98, Status: 3, Value: (0.171875,-0.203125,9.46875)}, Rotation: {Time: 117, Status: 0, Value: (-0.01385498046875,-0.0040283203125,-0.38494873046875, 0.9228515625)}}
0:00:00.267439 {Acceleration: {Time: 241, Status: 0, Value: (-0.00390625,-0.001953125,-0.00390625)},Gyroscope: {Time: 215, Status: 3, Value: (0.06640625,-0.01953125,0.15234375)},Magnetic: {Time: 229, Status: 1, Value: (-28.75,29.125,-15.375)},Gravity: {Time: 212, Status: 3, Value: (0.1640625,-0.2109375,9.5)}, Rotation: {Time: 245, Status: 0, Value: (-0.01361083984375,-0.003662109375,-0.3873291015625, 0.92181396484375)}}
0:00:00.352667 {Acceleration: {Time: 321, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 330, Status: 3, Value: (0.02734375,-0.00390625,0.09765625)},Magnetic: {Time: 268, Status: 1, Value: (-29.5,28.5,-15.8125)},Gravity: {Time: 328, Status: 3, Value: (0.1640625,-0.2265625,9.5546875)}, Rotation: {Time: 324, Status: 0, Value: (-0.0140380859375,-0.00347900390625,-0.3873291015625, 0.92181396484375)}}
0:00:00.478308 {Acceleration: {Time: 453, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 446, Status: 3, Value: (-0.01953125,-0.02734375,0.08984375)},Magnetic: {Time: 449, Status: 1, Value: (-28.375,28.75,-15.5)},Gravity: {Time: 442, Status: 3, Value: (0.171875,-0.2421875,9.6015625)}, Rotation: {Time: 456, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38726806640625, 0.92181396484375)}}
0:00:00.561648 {Acceleration: {Time: 531, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 539, Status: 3, Value: (0.01953125,0.01171875,0.03515625)},Magnetic: {Time: 479, Status: 1, Value: (-28.625,28.75,-16.25)},Gravity: {Time: 537, Status: 3, Value: (0.171875,-0.2421875,9.6171875)}, Rotation: {Time: 535, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38726806640625, 0.92181396484375)}}
0:00:00.672271 {Acceleration: {Time: 641, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 650, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 609, Status: 1, Value: (-27.5625,28.375,-15.1875)},Gravity: {Time: 648, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 644, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.38641357421875, 0.92218017578125)}}
0:00:00.758446 {Acceleration: {Time: 736, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 699, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 701, Status: 1, Value: (-30.0625,28.9375,-14.875)},Gravity: {Time: 696, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 732, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38629150390625, 0.9222412109375)}}
0:00:00.873194 {Acceleration: {Time: 842, Status: 0, Value: (0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 851, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 785, Status: 1, Value: (-27.9375,28.375,-15.5625)},Gravity: {Time: 849, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 845, Status: 0, Value: (-0.01580810546875,-0.0030517578125,-0.38629150390625, 0.9222412109375)}}
0:00:00.958282 {Acceleration: {Time: 933, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 927, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 929, Status: 1, Value: (-29.0625,27.8125,-15.5)},Gravity: {Time: 924, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 936, Status: 0, Value: (-0.01580810546875,-0.0030517578125,-0.38726806640625, 0.92181396484375)}}
0:00:01.072960 {Acceleration: {Time: 1048, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1038, Status: 3, Value: (-0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 1042, Status: 1, Value: (-29.125,28.5,-15.4375)},Gravity: {Time: 1025, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 1051, Status: 0, Value: (-0.01593017578125,-0.00341796875,-0.387451171875, 0.9217529296875)}}
