0:00:00.050017 {Acceleration: {Time: 16, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 51750, Status: 3, Value: (0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 51752, Status: 1, Value: (-29.625,29.8125,-15.75)},Gravity: {Time: 51746, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 12, Status: 0, Value: (-0.01556396484375,-0.003662109375,-0.38201904296875, 0.92401123046875)}}
0:00:00.147868 {Acceleration: {Time: 105, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 114, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 75, Status: 1, Value: (-29.0625,29.375,-16.5)},Gravity: {Time: 111, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 107, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.382080078125, 0.92401123046875)}}
0:00:00.242597 {Acceleration: {Time: 207, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 171, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 174, Status: 1, Value: (-27.375,28.3125,-16.375)},Gravity: {Time: 157, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 200, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38201904296875, 0.92401123046875)}}
0:00:00.350417 {Acceleration: {Time: 315, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 307, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 310, Status: 1, Value: (-28.75,28.8125,-15.0625)},Gravity: {Time: 304, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 317, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.382080078125, 0.92401123046875)}}
0:00:00.431048 {Acceleration: {Time: 395, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 375, Status: 3, Value: (0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 389, Status: 1, Value: (-28.0625,28.8125,-14.75)},Gravity: {Time: 372, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 369, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.382080078125, 0.92401123046875)}}
0:00:00.546566 {Acceleration: {Time: 511, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 500, Status: 3, Value: (-0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 503, Status: 1, Value: (-28.4375,29.125,-15.125)},Gravity: {Time: 486, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 513, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.382080078125, 0.9239501953125)}}
0:00:00.631930 {Acceleration: {Time: 596, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 570, Status: 3, Value: (0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 584, Status: 1, Value: (-28.875,29.4375,-14.625)},Gravity: {Time: 568, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 599, Status: 0, Value: (-0.0155029296875,-0.003662109375,-0.38214111328125, 0.9239501953125)}}
0:00:00.733419 {Acceleration: {Time: 700, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 668, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 671, Status: 1, Value: (-28.25,28.375,-16.3125)},Gravity: {Time: 666, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 697, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.38214111328125, 0.9239501953125)}}
0:00:00.858611 {Acceleration: {Time: 822, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 783, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 786, Status: 1, Value: (-29.125,29.375,-16.125)},Gravity: {Time: 769, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 826, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.382080078125, 0.92401123046875)}}
0:00:00.944861 {Acceleration: {Time: 910, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 854, Status: 3, Value: (-0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 868, Status: 1, Value: (-28.5,29.4375,-15.125)},Gravity: {Time: 852, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 912, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.382080078125, 0.92401123046875)}}
0:00:01.060620 {Acceleration: {Time: 1024, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 998, Status: 3, Value: (-0.02734375,-0.01953125,0.05078125)},Magnetic: {Time: 1012, Status: 1, Value: (-29.0625,28.8125,-15.8125)},Gravity: {Time: 996, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1028, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.38214111328125, 0.9239501953125)}}
0:00:01.149881 {Acceleration: {Time: 1107, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1117, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1079, Status: 1, Value: (-28.5,28.0625,-16.625)},Gravity: {Time: 1114, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1109, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.38214111328125, 0.9239501953125)}}
0:00:01.248992 {Acceleration: {Time: 1213, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1187, Status: 3, Value: (0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 1201, Status: 1, Value: (-29.1875,29.1875,-15.375)},Gravity: {Time: 1184, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1216, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.337283 {Acceleration: {Time: 1302, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1236, Status: 3, Value: (-0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1239, Status: 1, Value: (-28.625,29.0625,-16.5625)},Gravity: {Time: 1305, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 1299, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.451003 {Acceleration: {Time: 1415, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1389, Status: 3, Value: (-0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 1403, Status: 1, Value: (-28.4375,29.75,-15.4375)},Gravity: {Time: 1387, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 1418, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.558939 {Acceleration: {Time: 1514, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1521, Status: 3, Value: (-0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1523, Status: 1, Value: (-29.25,29.8125,-15.375)},Gravity: {Time: 1517, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 1526, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.642638 {Acceleration: {Time: 1608, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1588, Status: 3, Value: (0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 1601, Status: 1, Value: (-28.5625,28.6875,-16.625)},Gravity: {Time: 1584, Status: 3, Value: (0.1875,-0.25,9.6484375)}, Rotation: {Time: 1582, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.751300 {Acceleration: {Time: 1717, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1696, Status: 3, Value: (0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 1710, Status: 1, Value: (-28.625,28.75,-16.25)},Gravity: {Time: 1693, Status: 3, Value: (0.1875,-0.25,9.6484375)}, Rotation: {Time: 1690, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
