0:00:00.042116 {Acceleration: {Time: 13, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2, Status: 3, Value: (0.01953125,-0.02734375,-0.01953125)},Magnetic: {Time: 5, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 739950, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 15, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.37933349609375, 0.92510986328125)}}
0:00:00.125405 {Acceleration: {Time: 98, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 65, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 68, Status: 1, Value: (-28.5,28.0625,-16.6875)},Gravity: {Time: 63, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 95, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.37933349609375, 0.92510986328125)}}
0:00:00.234218 {Acceleration: {Time: 205, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 129, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 143, Status: 1, Value: (-28.125,28.0,-16.75)},Gravity: {Time: 127, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 199, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38507080078125, 0.9227294921875)}}
0:00:00.348805 {Acceleration: {Time: 313, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 322, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 306, Status: 1, Value: (-29.0,28.125,-15.875)},Gravity: {Time: 320, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 315, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38507080078125, 0.9227294921875)}}
0:00:00.446188 {Acceleration: {Time: 411, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 419, Status: 3, Value: (-0.05859375,0.01953125,-0.02734375)},Magnetic: {Time: 380, Status: 1, Value: (-28.5625,28.375,-16.6875)},Gravity: {Time: 417, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 414, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38507080078125, 0.9227294921875)}}
0:00:00.532002 {Acceleration: {Time: 503, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 419, Status: 3, Value: (-0.05859375,0.01953125,-0.02734375)},Magnetic: {Time: 436, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 417, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 505, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38507080078125, 0.9227294921875)}}
0:00:00.640531 {Acceleration: {Time: 612, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 604, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 607, Status: 1, Value: (-29.0,28.125,-15.875)},Gravity: {Time: 601, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 614, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38507080078125, 0.9227294921875)}}
0:00:00.751057 {Acceleration: {Time: 713, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 719, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 722, Status: 1, Value: (-29.0,28.75,-16.625)},Gravity: {Time: 717, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 725, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:00.858922 {Acceleration: {Time: 825, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 793, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 797, Status: 1, Value: (-29.75,28.9375,-13.875)},Gravity: {Time: 833, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 827, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:00.959060 {Acceleration: {Time: 924, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 933, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 896, Status: 1, Value: (-29.5,29.375,-16.4375)},Gravity: {Time: 930, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 926, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:01.059174 {Acceleration: {Time: 1030, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1004, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1018, Status: 1, Value: (-29.9375,29.75,-16.4375)},Gravity: {Time: 1000, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1033, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:01.140761 {Acceleration: {Time: 1112, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1089, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 1092, Status: 1, Value: (-29.5625,29.4375,-15.75)},Gravity: {Time: 1086, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1106, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:01.251235 {Acceleration: {Time: 1225, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1194, Status: 3, Value: (0.01953125,-0.01953125,0.05078125)},Magnetic: {Time: 1197, Status: 1, Value: (-29.0625,29.125,-16.1875)},Gravity: {Time: 1191, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1222, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38507080078125, 0.9227294921875)}}
0:00:01.348609 {Acceleration: {Time: 1320, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1283, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 1259, Status: 1, Value: (-28.875,29.4375,-14.6875)},Gravity: {Time: 1279, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1323, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.38507080078125, 0.9227294921875)}}
0:00:01.459337 {Acceleration: {Time: 1422, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1428, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1430, Status: 1, Value: (-27.75,27.375,-16.5)},Gravity: {Time: 1426, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1434, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.38507080078125, 0.9227294921875)}}
0:00:01.548873 {Acceleration: {Time: 1520, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1493, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1507, Status: 1, Value: (-28.4375,27.8125,-14.5)},Gravity: {Time: 1489, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1523, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38787841796875, 0.92156982421875)}}
0:00:01.662625 {Acceleration: {Time: 1634, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1628, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1630, Status: 1, Value: (-28.3125,28.4375,-15.5625)},Gravity: {Time: 1625, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1637, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387939453125, 0.92156982421875)}}
0:00:01.766568 {Acceleration: {Time: 1739, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1713, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1727, Status: 1, Value: (-29.625,28.875,-15.0)},Gravity: {Time: 1710, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1741, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38775634765625, 0.921630859375)}}
0:00:01.852030 {Acceleration: {Time: 1824, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1798, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1812, Status: 1, Value: (-28.375,28.75,-15.5625)},Gravity: {Time: 1796, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1827, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.3878173828125, 0.921630859375)}}
0:00:01.966579 {Acceleration: {Time: 1941, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1874, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1850, Status: 1, Value: (-27.875,27.75,-15.3125)},Gravity: {Time: 1870, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1938, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38348388671875, 0.92340087890625)}}
