0:00:00.108941 {Acceleration: {Time: 72, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 15, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 29, Status: 1, Value: (-27.9375,28.375,-15.625)},Gravity: {Time: 12, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 69, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3878173828125, 0.92156982421875)}}
0:00:00.215870 {Acceleration: {Time: 171, Status: 0, Value: (0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 179, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 118, Status: 1, Value: (-29.625,29.8125,-15.375)},Gravity: {Time: 177, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 174, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3878173828125, 0.92156982421875)}}
0:00:00.326414 {Acceleration: {Time: 282, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 290, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 229, Status: 1, Value: (-29.8125,28.125,-16.125)},Gravity: {Time: 287, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 285, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38787841796875, 0.92156982421875)}}
0:00:00.420463 {Acceleration: {Time: 381, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 375, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 378, Status: 1, Value: (-28.5625,27.4375,-16.0)},Gravity: {Time: 371, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 384, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:00.508733 {Acceleration: {Time: 470, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 433, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 436, Status: 1, Value: (-29.0625,29.125,-16.25)},Gravity: {Time: 472, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 465, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:00.615649 {Acceleration: {Time: 577, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 570, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 572, Status: 1, Value: (-28.75,29.375,-15.8125)},Gravity: {Time: 567, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 579, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:00.726146 {Acceleration: {Time: 687, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 681, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 683, Status: 1, Value: (-29.0625,29.125,-16.1875)},Gravity: {Time: 677, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 690, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:00.811464 {Acceleration: {Time: 772, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 746, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 760, Status: 1, Value: (-28.75,26.75,-17.1875)},Gravity: {Time: 742, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 775, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:00.917500 {Acceleration: {Time: 879, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 858, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 872, Status: 1, Value: (-28.25,28.0625,-16.0)},Gravity: {Time: 856, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 853, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.030927 {Acceleration: {Time: 995, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 957, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 961, Status: 1, Value: (-28.1875,28.375,-16.75)},Gravity: {Time: 954, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 990, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.129585 {Acceleration: {Time: 1093, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1080, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1083, Status: 1, Value: (-27.6875,26.6875,-16.4375)},Gravity: {Time: 1066, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1090, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
