0:00:00.089228 {Acceleration: {Time: 64, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 68, Status: 3, Value: (0.01953125,0.00390625,0.00390625)},Magnetic: {Time: 71, Status: 1, Value: (-29.5625,28.1875,-15.1875)},Gravity: {Time: 66, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 57, Status: 0, Value: (-0.0146484375,-0.00341796875,-0.392333984375, 0.919677734375)}}
0:00:00.188616 {Acceleration: {Time: 161, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 170, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 129, Status: 1, Value: (-29.1875,29.75,-15.5)},Gravity: {Time: 167, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 164, Status: 0, Value: (-0.01470947265625,-0.00341796875,-0.392333984375, 0.919677734375)}}
0:00:00.287067 {Acceleration: {Time: 266, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 240, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 254, Status: 1, Value: (-30.0,29.1875,-15.5)},Gravity: {Time: 237, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 269, Status: 0, Value: (-0.01470947265625,-0.00341796875,-0.392333984375, 0.919677734375)}}
0:00:00.389479 {Acceleration: {Time: 361, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 366, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 369, Status: 1, Value: (-28.0,28.0625,-15.0)},Gravity: {Time: 364, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 371, Status: 0, Value: (-0.01470947265625,-0.00341796875,-0.392333984375, 0.919677734375)}}
0:00:00.476098 {Acceleration: {Time: 456, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 449, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 452, Status: 1, Value: (-28.0,27.75,-14.625)},Gravity: {Time: 446, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 458, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38250732421875, 0.923828125)}}
0:00:00.589007 {Acceleration: {Time: 568, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 561, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 564, Status: 1, Value: (-28.875,28.0,-17.1875)},Gravity: {Time: 558, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 571, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3826904296875, 0.92376708984375)}}
0:00:00.677558 {Acceleration: {Time: 656, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 645, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 649, Status: 1, Value: (-29.0,29.4375,-16.6875)},Gravity: {Time: 631, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 660, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3826904296875, 0.92376708984375)}}
0:00:00.791449 {Acceleration: {Time: 771, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 745, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 759, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 743, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 774, Status: 0, Value: (-0.01483154296875,-0.0030517578125,-0.3826904296875, 0.92376708984375)}}
0:00:00.896307 {Acceleration: {Time: 872, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 845, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 847, Status: 1, Value: (-27.5,27.4375,-15.0625)},Gravity: {Time: 879, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 874, Status: 0, Value: (-0.01446533203125,-0.00323486328125,-0.3826904296875, 0.92376708984375)}}
0:00:00.981898 {Acceleration: {Time: 959, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 964, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 898, Status: 1, Value: (-29.4375,28.125,-16.0)},Gravity: {Time: 962, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 955, Status: 0, Value: (-0.01446533203125,-0.00323486328125,-0.3826904296875, 0.92376708984375)}}
0:00:01.078451 {Acceleration: {Time: 1052, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1061, Status: 3, Value: (0.02734375,-0.03515625,0.00390625)},Magnetic: {Time: 999, Status: 1, Value: (-28.9375,27.5,-16.0625)},Gravity: {Time: 1058, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 1054, Status: 0, Value: (-0.01446533203125,-0.00323486328125,-0.3826904296875, 0.92376708984375)}}
0:00:01.180206 {Acceleration: {Time: 1154, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1163, Status: 3, Value: (-0.01953125,-0.03515625,0.00390625)},Magnetic: {Time: 1125, Status: 1, Value: (-28.6875,28.75,-15.625)},Gravity: {Time: 1159, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 1156, Status: 0, Value: (-0.0146484375,-0.00335693359375,-0.396240234375, 0.91802978515625)}}
0:00:01.299304 {Acceleration: {Time: 1282, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1244, Status: 3, Value: (-0.01953125,-0.03515625,-0.03515625)},Magnetic: {Time: 1247, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 1240, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 1278, Status: 0, Value: (-0.0146484375,-0.00335693359375,-0.396240234375, 0.91802978515625)}}
0:00:01.399062 {Acceleration: {Time: 1373, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1382, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 1340, Status: 1, Value: (-28.6875,28.125,-15.25)},Gravity: {Time: 1379, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1375, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39093017578125, 0.9202880859375)}}
0:00:01.499696 {Acceleration: {Time: 1480, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1453, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 1467, Status: 1, Value: (-28.1875,27.75,-15.75)},Gravity: {Time: 1450, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1482, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39093017578125, 0.9202880859375)}}
0:00:01.608822 {Acceleration: {Time: 1592, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1538, Status: 3, Value: (0.02734375,0.01171875,-0.03515625)},Magnetic: {Time: 1542, Status: 1, Value: (-29.0625,27.5,-15.3125)},Gravity: {Time: 1536, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1588, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.388671875, 0.9212646484375)}}
0:00:01.708618 {Acceleration: {Time: 1688, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1659, Status: 3, Value: (0.02734375,-0.02734375,0.00390625)},Magnetic: {Time: 1662, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 1657, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1692, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.38885498046875, 0.921142578125)}}
0:00:01.796111 {Acceleration: {Time: 1777, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1712, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 1715, Status: 1, Value: (-28.1875,28.0625,-16.1875)},Gravity: {Time: 1779, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1773, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.38885498046875, 0.921142578125)}}
0:00:01.882684 {Acceleration: {Time: 1864, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1797, Status: 3, Value: (-0.01171875,-0.02734375,-0.03515625)},Magnetic: {Time: 1800, Status: 1, Value: (-27.5,28.375,-15.8125)},Gravity: {Time: 1779, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1866, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.38885498046875, 0.921142578125)}}
0:00:02.009717 {Acceleration: {Time: 1990, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 1964, Status: 3, Value: (-0.01953125,0.05078125,-0.03515625)},Magnetic: {Time: 1978, Status: 1, Value: (-30.5625,27.875,-16.25)},Gravity: {Time: 1960, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1993, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.388916015625, 0.921142578125)}}
0:00:02.090604 {Acceleration: {Time: 2072, Status: 0, Value: (0.001953125,0.005859375,0.0)},Gyroscope: {Time: 2064, Status: 3, Value: (0.01953125,-0.0703125,0.08203125)},Magnetic: {Time: 2068, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 2061, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 2074, Status: 0, Value: (-0.0146484375,-0.00347900390625,-0.388916015625, 0.921142578125)}}
0:00:02.204606 {Acceleration: {Time: 2188, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2148, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 2152, Status: 1, Value: (-28.875,29.1875,-14.5)},Gravity: {Time: 2134, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 2185, Status: 0, Value: (-0.01446533203125,-0.00311279296875,-0.388916015625, 0.921142578125)}}
0:00:02.299317 {Acceleration: {Time: 2283, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 2248, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 2250, Status: 1, Value: (-30.375,28.5625,-15.5)},Gravity: {Time: 2246, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 2278, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.388916015625, 0.921142578125)}}
0:00:02.397190 {Acceleration: {Time: 2373, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2381, Status: 3, Value: (0.01953125,-0.02734375,-0.04296875)},Magnetic: {Time: 2342, Status: 1, Value: (-28.375,27.625,-17.625)},Gravity: {Time: 2379, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 2375, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.921142578125)}}
0:00:02.508535 {Acceleration: {Time: 2489, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2463, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 2477, Status: 1, Value: (-30.1875,29.3125,-13.9375)},Gravity: {Time: 2460, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2493, Status: 0, Value: (-0.01495361328125,-0.00335693359375,-0.38897705078125, 0.921142578125)}}
0:00:02.596166 {Acceleration: {Time: 2578, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2542, Status: 3, Value: (0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2545, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 2580, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2574, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3890380859375, 0.92108154296875)}}
0:00:02.711131 {Acceleration: {Time: 2692, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 2666, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2680, Status: 1, Value: (-29.3125,29.8125,-14.75)},Gravity: {Time: 2664, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2695, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3890380859375, 0.92108154296875)}}
0:00:02.796658 {Acceleration: {Time: 2773, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2781, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 2742, Status: 1, Value: (-29.625,29.1875,-15.125)},Gravity: {Time: 2779, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2775, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38909912109375, 0.92108154296875)}}
