0:00:00.137006 {Acceleration: {Time: 94, Status: 0, Value: (-0.005859375,0.0,-0.001953125)},Gyroscope: {Time: 68, Status: 3, Value: (-0.01953125,-0.03515625,-0.02734375)},Magnetic: {Time: 82, Status: 1, Value: (-29.0625,28.8125,-16.0)},Gravity: {Time: 66, Status: 3, Value: (0.171875,-0.234375,9.640625)}, Rotation: {Time: 97, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39251708984375, 0.91961669921875)}}
0:00:00.221581 {Acceleration: {Time: 173, Status: 0, Value: (-0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 181, Status: 3, Value: (0.01953125,-0.02734375,-0.1875)},Magnetic: {Time: 120, Status: 1, Value: (-30.4375,29.25,-15.0625)},Gravity: {Time: 178, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 176, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39251708984375, 0.91961669921875)}}
0:00:00.358769 {Acceleration: {Time: 308, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 282, Status: 3, Value: (-0.02734375,-0.02734375,-0.078125)},Magnetic: {Time: 296, Status: 1, Value: (-29.9375,28.875,-15.9375)},Gravity: {Time: 279, Status: 3, Value: (0.1796875,-0.2421875,9.65625)}, Rotation: {Time: 310, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39251708984375, 0.91961669921875)}}
0:00:00.469139 {Acceleration: {Time: 422, Status: 0, Value: (0.001953125,-0.00390625,-0.001953125)},Gyroscope: {Time: 397, Status: 3, Value: (-0.02734375,-0.03515625,-0.01171875)},Magnetic: {Time: 411, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 395, Status: 3, Value: (0.1796875,-0.234375,9.6640625)}, Rotation: {Time: 424, Status: 0, Value: (-0.01495361328125,-0.003173828125,-0.39251708984375, 0.91961669921875)}}
0:00:00.607525 {Acceleration: {Time: 567, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 510, Status: 3, Value: (0.01171875,0.01171875,0.03515625)},Magnetic: {Time: 524, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 508, Status: 3, Value: (0.1796875,-0.2421875,9.65625)}, Rotation: {Time: 563, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.3924560546875, 0.91961669921875)}}
0:00:00.705797 {Acceleration: {Time: 664, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 625, Status: 3, Value: (0.01953125,-0.03515625,0.00390625)},Magnetic: {Time: 628, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 622, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 660, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.39251708984375, 0.91961669921875)}}
0:00:00.830783 {Acceleration: {Time: 789, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 763, Status: 3, Value: (0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 777, Status: 1, Value: (-28.875,28.875,-14.5)},Gravity: {Time: 759, Status: 3, Value: (0.1796875,-0.2421875,9.6484375)}, Rotation: {Time: 791, Status: 0, Value: (-0.01519775390625,-0.0035400390625,-0.398681640625, 0.91693115234375)}}
0:00:00.942532 {Acceleration: {Time: 901, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 894, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 897, Status: 1, Value: (-30.0,29.1875,-15.5)},Gravity: {Time: 891, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 903, Status: 0, Value: (-0.015625,-0.00335693359375,-0.39874267578125, 0.91693115234375)}}
0:00:01.046186 {Acceleration: {Time: 1004, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 975, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 979, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 961, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 998, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.39874267578125, 0.91693115234375)}}
0:00:01.163748 {Acceleration: {Time: 1121, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 1111, Status: 3, Value: (-0.01953125,0.01171875,0.04296875)},Magnetic: {Time: 1114, Status: 1, Value: (-30.375,28.5625,-15.5)},Gravity: {Time: 1096, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1124, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.39874267578125, 0.91693115234375)}}
0:00:01.280540 {Acceleration: {Time: 1241, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 1198, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 1202, Status: 1, Value: (-29.125,28.5,-15.25)},Gravity: {Time: 1184, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1238, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.398681640625, 0.91693115234375)}}
