0:00:00.130533 {Acceleration: {Time: 86, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 94, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 29, Status: 1, Value: (-29.1875,28.5,-14.8125)},Gravity: {Time: 91, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 88, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.39300537109375, 0.91943359375)}}
0:00:00.246246 {Acceleration: {Time: 182, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 151, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 154, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 190, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 185, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.3929443359375, 0.91943359375)}}
0:00:00.318693 {Acceleration: {Time: 283, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 218, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 224, Status: 1, Value: (-28.75,29.125,-15.625)},Gravity: {Time: 190, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 286, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.3929443359375, 0.91943359375)}}
0:00:00.438479 {Acceleration: {Time: 398, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 406, Status: 3, Value: (0.02734375,-0.03515625,0.01171875)},Magnetic: {Time: 345, Status: 1, Value: (-30.0,28.25,-14.75)},Gravity: {Time: 403, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 401, Status: 0, Value: (-0.01495361328125,-0.003173828125,-0.3929443359375, 0.91943359375)}}
0:00:00.561289 {Acceleration: {Time: 529, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 491, Status: 3, Value: (0.02734375,-0.03515625,0.01171875)},Magnetic: {Time: 494, Status: 1, Value: (-29.125,28.8125,-15.625)},Gravity: {Time: 488, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 525, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.3929443359375, 0.91943359375)}}
0:00:00.674367 {Acceleration: {Time: 638, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 633, Status: 3, Value: (-0.01953125,-0.02734375,0.05078125)},Magnetic: {Time: 635, Status: 1, Value: (-28.1875,28.375,-16.125)},Gravity: {Time: 629, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 642, Status: 0, Value: (-0.0150146484375,-0.00323486328125,-0.39300537109375, 0.91943359375)}}
0:00:00.815566 {Acceleration: {Time: 771, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 778, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 715, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 776, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 774, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.39300537109375, 0.91943359375)}}
0:00:00.936084 {Acceleration: {Time: 885, Status: 0, Value: (-0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 893, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 830, Status: 1, Value: (-28.6875,27.5,-14.9375)},Gravity: {Time: 891, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 888, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3929443359375, 0.91943359375)}}
0:00:01.130110 {Acceleration: {Time: 1007, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1015, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 954, Status: 1, Value: (-29.375,28.125,-16.375)},Gravity: {Time: 1013, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1010, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3929443359375, 0.91943359375)}}
0:00:01.145414 {Acceleration: {Time: 1103, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1113, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1048, Status: 1, Value: (-30.6875,29.5625,-16.125)},Gravity: {Time: 1110, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1105, Status: 0, Value: (-0.0150146484375,-0.003173828125,-0.3929443359375, 0.91943359375)}}
0:00:01.243799 {Acceleration: {Time: 1202, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 1211, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1146, Status: 1, Value: (-28.625,28.75,-16.0)},Gravity: {Time: 1208, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1204, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.39300537109375, 0.91943359375)}}
