0:00:00.121785 {Acceleration: {Time: 67, Status: 0, Value: (-0.005859375,0.0,0.0)},Gyroscope: {Time: 41, Status: 3, Value: (0.01953125,-0.02734375,0.05078125)},Magnetic: {Time: 55, Status: 1, Value: (-29.3125,29.25,-14.4375)},Gravity: {Time: 39, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 71, Status: 0, Value: (-0.01483154296875,-0.00286865234375,-0.39691162109375, 0.917724609375)}}
0:00:00.223131 {Acceleration: {Time: 170, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 163, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 165, Status: 1, Value: (-29.75,28.25,-13.6875)},Gravity: {Time: 159, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 173, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39691162109375, 0.917724609375)}}
0:00:00.360798 {Acceleration: {Time: 307, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 300, Status: 3, Value: (-0.01953125,-0.02734375,0.05078125)},Magnetic: {Time: 303, Status: 1, Value: (-29.8125,29.875,-14.3125)},Gravity: {Time: 297, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 310, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39697265625, 0.917724609375)}}
0:00:00.475549 {Acceleration: {Time: 424, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 384, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 388, Status: 1, Value: (-29.5625,28.1875,-15.1875)},Gravity: {Time: 370, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 421, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39697265625, 0.917724609375)}}
0:00:00.570145 {Acceleration: {Time: 516, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 481, Status: 3, Value: (0.01953125,-0.02734375,0.05078125)},Magnetic: {Time: 457, Status: 1, Value: (-29.125,28.125,-15.1875)},Gravity: {Time: 478, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 520, Status: 0, Value: (-0.01495361328125,-0.00274658203125,-0.39697265625, 0.917724609375)}}
0:00:00.701287 {Acceleration: {Time: 651, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 622, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 636, Status: 1, Value: (-29.9375,27.875,-15.1875)},Gravity: {Time: 620, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 646, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39697265625, 0.917724609375)}}
0:00:00.804921 {Acceleration: {Time: 752, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 711, Status: 3, Value: (0.02734375,0.01171875,0.01171875)},Magnetic: {Time: 715, Status: 1, Value: (-28.1875,28.0625,-16.125)},Gravity: {Time: 755, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 746, Status: 0, Value: (-0.01483154296875,-0.00311279296875,-0.37689208984375, 0.9261474609375)}}
0:00:00.903179 {Acceleration: {Time: 844, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 853, Status: 3, Value: (-0.01953125,0.00390625,0.00390625)},Magnetic: {Time: 788, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 849, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 846, Status: 0, Value: (-0.01458740234375,-0.003662109375,-0.37677001953125, 0.9261474609375)}}
0:00:01.023144 {Acceleration: {Time: 967, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 935, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 938, Status: 1, Value: (-29.0,27.5,-15.6875)},Gravity: {Time: 973, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 970, Status: 0, Value: (-0.01483154296875,-0.003173828125,-0.37677001953125, 0.92620849609375)}}
0:00:01.152264 {Acceleration: {Time: 1099, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 1073, Status: 3, Value: (0.02734375,0.05078125,0.01171875)},Magnetic: {Time: 1087, Status: 1, Value: (-29.625,29.1875,-15.1875)},Gravity: {Time: 1069, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 1102, Status: 0, Value: (-0.014892578125,-0.003173828125,-0.37677001953125, 0.92620849609375)}}
0:00:01.264744 {Acceleration: {Time: 1212, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1204, Status: 3, Value: (0.02734375,0.00390625,0.00390625)},Magnetic: {Time: 1206, Status: 1, Value: (-30.4375,28.625,-14.6875)},Gravity: {Time: 1201, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 1214, Status: 0, Value: (-0.01446533203125,-0.0032958984375,-0.37677001953125, 0.92620849609375)}}
0:00:01.381226 {Acceleration: {Time: 1328, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1302, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 1316, Status: 1, Value: (-29.9375,28.1875,-15.125)},Gravity: {Time: 1298, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1331, Status: 0, Value: (-0.01495361328125,-0.0035400390625,-0.376708984375, 0.92620849609375)}}
0:00:01.493328 {Acceleration: {Time: 1440, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1434, Status: 3, Value: (0.01953125,0.00390625,-0.00390625)},Magnetic: {Time: 1436, Status: 1, Value: (-28.625,28.125,-15.6875)},Gravity: {Time: 1431, Status: 3, Value: (0.171875,-0.234375,9.65625)}, Rotation: {Time: 1443, Status: 0, Value: (-0.01458740234375,-0.003662109375,-0.376708984375, 0.92620849609375)}}
0:00:01.609117 {Acceleration: {Time: 1556, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1530, Status: 3, Value: (-0.01953125,-0.03515625,0.00390625)},Magnetic: {Time: 1544, Status: 1, Value: (-30.0625,28.9375,-14.6875)},Gravity: {Time: 1527, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 1558, Status: 0, Value: (-0.0146484375,-0.00347900390625,-0.38800048828125, 0.92156982421875)}}
0:00:01.695364 {Acceleration: {Time: 1644, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1615, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 1630, Status: 1, Value: (-29.1875,29.5,-15.5625)},Gravity: {Time: 1613, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 1646, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:01.806365 {Acceleration: {Time: 1749, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1757, Status: 3, Value: (-0.01953125,0.01171875,-0.04296875)},Magnetic: {Time: 1695, Status: 1, Value: (-29.0625,27.1875,-14.9375)},Gravity: {Time: 1755, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 1752, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
