0:00:00.072895 {Acceleration: {Time: 27, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 15, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 360622, Status: 1, Value: (-29.5,29.5,-16.25)},Gravity: {Time: 12, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 22, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:00.131695 {Acceleration: {Time: 89, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 15, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 58, Status: 1, Value: (-29.9375,28.5,-15.5)},Gravity: {Time: 12, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 83, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:00.229283 {Acceleration: {Time: 179, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 189, Status: 3, Value: (-0.05078125,0.01953125,-0.03515625)},Magnetic: {Time: 125, Status: 1, Value: (-29.5,29.1875,-15.875)},Gravity: {Time: 187, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 181, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:00.350092 {Acceleration: {Time: 308, Status: 0, Value: (-0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 287, Status: 3, Value: (-0.1171875,0.05078125,0.00390625)},Magnetic: {Time: 301, Status: 1, Value: (-30.0,29.5625,-15.4375)},Gravity: {Time: 284, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 281, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:00.465191 {Acceleration: {Time: 425, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 384, Status: 3, Value: (-0.03515625,-0.1015625,-0.03515625)},Magnetic: {Time: 388, Status: 1, Value: (-29.1875,28.8125,-15.1875)},Gravity: {Time: 370, Status: 3, Value: (0.1484375,-0.2421875,9.6484375)}, Rotation: {Time: 422, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.389404296875, 0.9208984375)}}
0:00:00.551293 {Acceleration: {Time: 511, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 473, Status: 3, Value: (0.08203125,-0.0546875,-0.00390625)},Magnetic: {Time: 476, Status: 1, Value: (-30.375,28.25,-15.0625)},Gravity: {Time: 470, Status: 3, Value: (0.1484375,-0.25,9.65625)}, Rotation: {Time: 505, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.389404296875, 0.9208984375)}}
0:00:00.647794 {Acceleration: {Time: 599, Status: 0, Value: (-0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 608, Status: 3, Value: (-0.04296875,-0.0546875,-0.00390625)},Magnetic: {Time: 543, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 605, Status: 3, Value: (0.15625,-0.25,9.65625)}, Rotation: {Time: 601, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38946533203125, 0.9208984375)}}
0:00:00.740530 {Acceleration: {Time: 698, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 691, Status: 3, Value: (0.03515625,-0.01953125,0.00390625)},Magnetic: {Time: 693, Status: 1, Value: (-28.625,28.75,-16.375)},Gravity: {Time: 687, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 701, Status: 0, Value: (-0.01513671875,-0.00274658203125,-0.389404296875, 0.92095947265625)}}
0:00:00.850507 {Acceleration: {Time: 799, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 805, Status: 3, Value: (0.03515625,-0.01953125,0.00390625)},Magnetic: {Time: 808, Status: 1, Value: (-29.625,28.5625,-14.8125)},Gravity: {Time: 803, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 811, Status: 0, Value: (-0.01507568359375,-0.00274658203125,-0.389404296875, 0.92095947265625)}}
0:00:00.965595 {Acceleration: {Time: 926, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 867, Status: 3, Value: (0.03515625,-0.02734375,0.00390625)},Magnetic: {Time: 881, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 864, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 923, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
0:00:01.052987 {Acceleration: {Time: 1011, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1000, Status: 3, Value: (-0.01171875,-0.02734375,-0.03515625)},Magnetic: {Time: 1003, Status: 1, Value: (-28.25,28.75,-15.6875)},Gravity: {Time: 986, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1013, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
