0:00:00.089176 {Acceleration: {Time: 63, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (0.02734375,0.01171875,-0.00390625)},Magnetic: {Time: 7, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 1, Status: 3, Value: (0.1640625,-0.2421875,9.65625)}, Rotation: {Time: 57, Status: 0, Value: (-0.01483154296875,-0.00299072265625,-0.38580322265625, 0.92242431640625)}}
0:00:00.184850 {Acceleration: {Time: 161, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 126, Status: 3, Value: (0.02734375,0.01171875,-0.00390625)},Magnetic: {Time: 129, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 124, Status: 3, Value: (0.1640625,-0.2421875,9.65625)}, Rotation: {Time: 156, Status: 0, Value: (-0.01483154296875,-0.00299072265625,-0.38580322265625, 0.92242431640625)}}
0:00:00.306267 {Acceleration: {Time: 281, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 273, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 275, Status: 1, Value: (-28.0,28.75,-15.375)},Gravity: {Time: 270, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 283, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38580322265625, 0.92242431640625)}}
0:00:00.387071 {Acceleration: {Time: 362, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 341, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 355, Status: 1, Value: (-28.4375,26.75,-16.5625)},Gravity: {Time: 338, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 336, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38580322265625, 0.92242431640625)}}
0:00:00.498355 {Acceleration: {Time: 473, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 453, Status: 3, Value: (-0.01953125,0.01953125,-0.00390625)},Magnetic: {Time: 467, Status: 1, Value: (-29.0,28.75,-16.375)},Gravity: {Time: 449, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 446, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38128662109375, 0.92431640625)}}
0:00:00.612206 {Acceleration: {Time: 587, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 561, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 575, Status: 1, Value: (-29.4375,28.8125,-16.3125)},Gravity: {Time: 557, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 589, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38128662109375, 0.92431640625)}}
0:00:00.697946 {Acceleration: {Time: 672, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 646, Status: 3, Value: (0.02734375,0.01953125,-0.00390625)},Magnetic: {Time: 660, Status: 1, Value: (-29.4375,28.4375,-16.375)},Gravity: {Time: 644, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 675, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38128662109375, 0.92431640625)}}
0:00:00.811780 {Acceleration: {Time: 787, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 776, Status: 3, Value: (0.02734375,-0.01953125,-0.00390625)},Magnetic: {Time: 779, Status: 1, Value: (-28.6875,27.8125,-15.3125)},Gravity: {Time: 761, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 789, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.38128662109375, 0.92431640625)}}
0:00:00.897475 {Acceleration: {Time: 872, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 865, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 867, Status: 1, Value: (-28.75,27.5625,-14.5625)},Gravity: {Time: 861, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 875, Status: 0, Value: (-0.01483154296875,-0.00311279296875,-0.38128662109375, 0.92431640625)}}
0:00:01.006952 {Acceleration: {Time: 976, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 984, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 922, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 982, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 979, Status: 0, Value: (-0.01519775390625,-0.0029296875,-0.38128662109375, 0.92431640625)}}
0:00:01.102277 {Acceleration: {Time: 1080, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 1042, Status: 3, Value: (-0.01171875,0.00390625,-0.02734375)},Magnetic: {Time: 1045, Status: 1, Value: (-29.6875,28.9375,-14.3125)},Gravity: {Time: 1039, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 1076, Status: 0, Value: (-0.01446533203125,-0.00323486328125,-0.38128662109375, 0.92437744140625)}}
