0:00:00.04 {Acceleration: {Time: 2, Status: 0, Value: (0.029296875,0.021484375,0.001953125)},Gyroscope: {Time: 7, Status: 3, Value: (-0.39453125,0.3671875,-0.4296875)},Magnetic: {Time: 10, Status: 0, Value: (-16.5,-33.4375,-62.375)},Gravity: {Time: 5, Status: 3, Value: (0.2421875,0.015625,9.625)}, Rotation: {Time: 13, Status: 0, Value: (-0.000732421875,-0.01263427734375,-0.116455078125, 0.99310302734375)}}
0:00:00.15 {Acceleration: {Time: 122, Status: 0, Value: (0.013671875,0.013671875,-0.001953125)},Gyroscope: {Time: 72, Status: 3, Value: (0.29296875,-0.20703125,0.3359375)},Magnetic: {Time: 86, Status: 0, Value: (-16.0625,-33.125,-62.375)},Gravity: {Time: 69, Status: 3, Value: (0.2421875,0.015625,9.625)}, Rotation: {Time: 118, Status: 0, Value: (-0.00079345703125,-0.0125732421875,-0.11651611328125, 0.99310302734375)}}
0:00:00.25 {Acceleration: {Time: 219, Status: 0, Value: (-0.01171875,-0.005859375,0.0)},Gyroscope: {Time: 176, Status: 3, Value: (-0.28125,0.328125,-0.35546875)},Magnetic: {Time: 180, Status: 0, Value: (-16.3125,-33.5,-63.8125)},Gravity: {Time: 222, Status: 3, Value: (0.2421875,0.015625,9.625)}, Rotation: {Time: 214, Status: 0, Value: (-0.00079345703125,-0.0125732421875,-0.11651611328125, 0.99310302734375)}}
0:00:00.35 {Acceleration: {Time: 315, Status: 0, Value: (0.029296875,0.01953125,0.0)},Gyroscope: {Time: 282, Status: 3, Value: (-0.2421875,0.21484375,-0.1640625)},Magnetic: {Time: 286, Status: 0, Value: (-16.4375,-33.125,-62.6875)},Gravity: {Time: 279, Status: 3, Value: (0.2421875,0.015625,9.625)}, Rotation: {Time: 308, Status: 0, Value: (-0.00079345703125,-0.01263427734375,-0.11651611328125, 0.99310302734375)}}
0:00:00.46 {Acceleration: {Time: 430, Status: 0, Value: (0.01953125,0.017578125,0.0)},Gyroscope: {Time: 404, Status: 3, Value: (0.25390625,-0.21484375,0.2578125)},Magnetic: {Time: 418, Status: 0, Value: (-16.6875,-32.375,-61.4375)},Gravity: {Time: 401, Status: 3, Value: (0.2421875,0.0234375,9.625)}, Rotation: {Time: 434, Status: 0, Value: (-0.00079345703125,-0.01263427734375,-0.11651611328125, 0.99310302734375)}}
0:00:00.55 {Acceleration: {Time: 520, Status: 0, Value: (0.005859375,0.0,0.0)},Gyroscope: {Time: 489, Status: 3, Value: (0.41015625,-0.4453125,0.48828125)},Magnetic: {Time: 493, Status: 0, Value: (-16.1875,-32.4375,-61.9375)},Gravity: {Time: 487, Status: 3, Value: (0.2421875,0.0234375,9.625)}, Rotation: {Time: 523, Status: 0, Value: (-0.00079345703125,-0.01263427734375,-0.11651611328125, 0.99310302734375)}}
0:00:00.67 {Acceleration: {Time: 635, Status: 0, Value: (-0.025390625,-0.01953125,0.001953125)},Gyroscope: {Time: 624, Status: 3, Value: (-0.39453125,0.359375,-0.46875)},Magnetic: {Time: 628, Status: 0, Value: (-17.125,-32.6875,-61.0625)},Gravity: {Time: 610, Status: 3, Value: (0.2421875,0.0234375,9.625)}, Rotation: {Time: 637, Status: 0, Value: (-0.00079345703125,-0.01263427734375,-0.11651611328125, 0.99310302734375)}}
0:00:00.75 {Acceleration: {Time: 723, Status: 0, Value: (0.029296875,0.0234375,-0.001953125)},Gyroscope: {Time: 710, Status: 3, Value: (0.45703125,-0.4453125,0.52734375)},Magnetic: {Time: 713, Status: 0, Value: (-17.1875,-32.625,-60.75)},Gravity: {Time: 696, Status: 3, Value: (0.234375,0.0234375,9.625)}, Rotation: {Time: 720, Status: 0, Value: (-0.0008544921875,-0.01263427734375,-0.11651611328125, 0.99310302734375)}}
0:00:00.87 {Acceleration: {Time: 844, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 805, Status: 3, Value: (-0.3125,0.28125,-0.39453125)},Magnetic: {Time: 808, Status: 0, Value: (-16.0625,-33.1875,-62.6875)},Gravity: {Time: 802, Status: 3, Value: (0.234375,0.0234375,9.625)}, Rotation: {Time: 839, Status: 0, Value: (-0.00054931640625,-0.012451171875,-0.11651611328125, 0.99310302734375)}}
0:00:00.97 {Acceleration: {Time: 934, Status: 0, Value: (0.021484375,0.01171875,0.0)},Gyroscope: {Time: 943, Status: 3, Value: (0.30078125,-0.30078125,0.375)},Magnetic: {Time: 877, Status: 0, Value: (-16.8125,-33.75,-62.625)},Gravity: {Time: 940, Status: 3, Value: (0.234375,0.03125,9.625)}, Rotation: {Time: 936, Status: 0, Value: (-0.00030517578125,-0.0123291015625,-0.11651611328125, 0.99310302734375)}}
0:00:01.06 {Acceleration: {Time: 1033, Status: 0, Value: (-0.033203125,-0.0234375,0.0)},Gyroscope: {Time: 1017, Status: 3, Value: (0.03515625,0.0078125,0.06640625)},Magnetic: {Time: 1020, Status: 0, Value: (-16.0,-32.375,-60.8125)},Gravity: {Time: 1003, Status: 3, Value: (0.234375,0.03125,9.625)}, Rotation: {Time: 1028, Status: 0, Value: (-0.00030517578125,-0.0123291015625,-0.11651611328125, 0.99310302734375)}}
