0:00:00.052875 {Acceleration: {Time: 13, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (0.01171875,-0.01953125,0.0078125)},Magnetic: {Time: 7, Status: 2, Value: (-3.875,-26.4375,-35.4375)},Gravity: {Time: 2, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 15, Status: 0, Value: (0.02655029296875,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.150232 {Acceleration: {Time: 94, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 65, Status: 3, Value: (-0.02734375,0.01953125,0.0078125)},Magnetic: {Time: 67, Status: 2, Value: (-3.6875,-26.75,-35.0625)},Gravity: {Time: 101, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 96, Status: 0, Value: (0.02655029296875,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.241756 {Acceleration: {Time: 188, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 197, Status: 3, Value: (0.0625,0.05859375,0.0)},Magnetic: {Time: 159, Status: 2, Value: (-2.5625,-27.0625,-35.9375)},Gravity: {Time: 195, Status: 3, Value: (0.4453125,0.6328125,9.8515625)}, Rotation: {Time: 192, Status: 0, Value: (0.02655029296875,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.345152 {Acceleration: {Time: 297, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 257, Status: 3, Value: (-0.01953125,-0.09375,0.046875)},Magnetic: {Time: 260, Status: 2, Value: (-3.0,-25.1875,-36.1875)},Gravity: {Time: 243, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 300, Status: 0, Value: (0.0264892578125,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.457867 {Acceleration: {Time: 423, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 384, Status: 3, Value: (-0.06640625,-0.09375,0.0078125)},Magnetic: {Time: 387, Status: 2, Value: (-2.75,-25.625,-35.4375)},Gravity: {Time: 381, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 418, Status: 0, Value: (0.0264892578125,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.536621 {Acceleration: {Time: 493, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 481, Status: 3, Value: (-0.01953125,-0.01953125,0.0078125)},Magnetic: {Time: 456, Status: 2, Value: (-2.875,-25.9375,-35.75)},Gravity: {Time: 478, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 488, Status: 0, Value: (0.0264892578125,0.0291748046875,0.9932861328125, 0.10858154296875)}}
0:00:00.638637 {Acceleration: {Time: 590, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 551, Status: 3, Value: (0.01953125,0.05859375,0.0078125)},Magnetic: {Time: 526, Status: 2, Value: (-3.125,-25.6875,-36.0625)},Gravity: {Time: 548, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 593, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:00.723466 {Acceleration: {Time: 669, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 678, Status: 3, Value: (-0.01953125,-0.01953125,-0.03125)},Magnetic: {Time: 640, Status: 2, Value: (-3.625,-27.4375,-35.6875)},Gravity: {Time: 676, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 672, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:00.824256 {Acceleration: {Time: 767, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 776, Status: 3, Value: (-0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 737, Status: 2, Value: (-3.5,-25.875,-35.125)},Gravity: {Time: 774, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 770, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:00.920643 {Acceleration: {Time: 873, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 834, Status: 3, Value: (0.01953125,-0.01953125,0.015625)},Magnetic: {Time: 810, Status: 2, Value: (-2.4375,-25.375,-36.4375)},Gravity: {Time: 875, Status: 3, Value: (0.453125,0.625,9.8359375)}, Rotation: {Time: 867, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.009293 {Acceleration: {Time: 965, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 973, Status: 3, Value: (-0.02734375,-0.01953125,0.0078125)},Magnetic: {Time: 908, Status: 2, Value: (-2.875,-25.9375,-35.75)},Gravity: {Time: 969, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 967, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.099961 {Acceleration: {Time: 1061, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1054, Status: 3, Value: (0.01171875,0.01953125,0.046875)},Magnetic: {Time: 1057, Status: 2, Value: (-2.75,-25.625,-35.125)},Gravity: {Time: 1050, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 1064, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.216844 {Acceleration: {Time: 1182, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1125, Status: 3, Value: (0.01171875,0.01953125,-0.03125)},Magnetic: {Time: 1139, Status: 2, Value: (-3.25,-26.25,-33.75)},Gravity: {Time: 1122, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 1178, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
