0:00:00.137851 {Acceleration: {Time: 59, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 64, Status: 3, Value: (-0.01171875,-0.05859375,-0.0703125)},Magnetic: {Time: 67, Status: 2, Value: (-2.875,-26.0,-35.8125)},Gravity: {Time: 62, Status: 3, Value: (0.4453125,0.6328125,9.84375)}, Rotation: {Time: 70, Status: 0, Value: (-0.02154541015625,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:00.225312 {Acceleration: {Time: 177, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 171, Status: 3, Value: (-0.01171875,-0.05078125,0.046875)},Magnetic: {Time: 174, Status: 2, Value: (-2.1875,-25.875,-34.875)},Gravity: {Time: 167, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 180, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:00.328375 {Acceleration: {Time: 269, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 262, Status: 3, Value: (-0.00390625,-0.01171875,-0.0390625)},Magnetic: {Time: 264, Status: 2, Value: (-3.8125,-27.0625,-36.125)},Gravity: {Time: 259, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 271, Status: 0, Value: (-0.02154541015625,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:00.411344 {Acceleration: {Time: 357, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 317, Status: 3, Value: (-0.00390625,-0.01171875,0.07421875)},Magnetic: {Time: 320, Status: 2, Value: (-3.25,-27.25,-36.4375)},Gravity: {Time: 303, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 360, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:00.511488 {Acceleration: {Time: 452, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 462, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 395, Status: 2, Value: (-2.625,-26.25,-36.125)},Gravity: {Time: 458, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 454, Status: 0, Value: (-0.021484375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:00.610835 {Acceleration: {Time: 562, Status: 0, Value: (0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 546, Status: 3, Value: (-0.00390625,-0.01171875,-0.0390625)},Magnetic: {Time: 549, Status: 2, Value: (-2.75,-25.625,-35.1875)},Gravity: {Time: 532, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 556, Status: 0, Value: (-0.021484375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:00.753383 {Acceleration: {Time: 686, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 660, Status: 3, Value: (-0.00390625,-0.05078125,0.0)},Magnetic: {Time: 674, Status: 2, Value: (-3.125,-25.6875,-35.5625)},Gravity: {Time: 657, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 689, Status: 0, Value: (-0.021484375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:00.859064 {Acceleration: {Time: 800, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 793, Status: 3, Value: (-0.00390625,0.02734375,0.0)},Magnetic: {Time: 796, Status: 2, Value: (-3.375,-27.8125,-35.75)},Gravity: {Time: 790, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 802, Status: 0, Value: (-0.021484375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:00.943743 {Acceleration: {Time: 884, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 857, Status: 3, Value: (-0.00390625,-0.05078125,-0.0390625)},Magnetic: {Time: 871, Status: 2, Value: (-3.875,-26.4375,-35.1875)},Gravity: {Time: 854, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 886, Status: 0, Value: (-0.021484375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:01.017413 {Acceleration: {Time: 972, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 957, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 960, Status: 2, Value: (-2.0,-26.0625,-35.8125)},Gravity: {Time: 943, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 967, Status: 0, Value: (-0.02142333984375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:01.126468 {Acceleration: {Time: 1061, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1070, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1006, Status: 2, Value: (-2.6875,-27.5625,-35.75)},Gravity: {Time: 1067, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1064, Status: 0, Value: (-0.02142333984375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:01.212729 {Acceleration: {Time: 1166, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1140, Status: 3, Value: (-0.00390625,0.02734375,0.0)},Magnetic: {Time: 1154, Status: 2, Value: (-3.375,-26.5625,-35.4375)},Gravity: {Time: 1137, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1168, Status: 0, Value: (-0.02142333984375,-0.032470703125,-0.99884033203125, 0.0279541015625)}}
0:00:01.304462 {Acceleration: {Time: 1245, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1253, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1192, Status: 2, Value: (-2.1875,-25.8125,-35.5625)},Gravity: {Time: 1251, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1248, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.393584 {Acceleration: {Time: 1344, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1311, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1314, Status: 2, Value: (-2.625,-25.25,-34.5625)},Gravity: {Time: 1351, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1346, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.503622 {Acceleration: {Time: 1443, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1452, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1414, Status: 2, Value: (-3.25,-26.1875,-35.5625)},Gravity: {Time: 1448, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1445, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.587733 {Acceleration: {Time: 1543, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1511, Status: 3, Value: (0.02734375,-0.01171875,-0.03125)},Magnetic: {Time: 1515, Status: 2, Value: (-2.75,-26.8125,-35.125)},Gravity: {Time: 1508, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1536, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
